Ref,Val,Package,PosX,PosY,Rot,Side
"FRAME3","FRAME-LETTERNO_PACKAGE","DUMMY",93.8911,-149.4536,0.0000,top
"HS1","","HEATSINK_PRT-9576",130.7211,-102.4636,0.0000,top
"J1","","SCREWTERMINAL-3.5MM-2",112.9411,-120.2436,-90.0000,top
"J2","","2X5-SHROUDED",171.3611,-101.1936,180.0000,top
"JP4","1X6 FEMALE PTH","1X06-SIP_LOCK",143.4211,-129.1336,0.0000,top
"JP5","1X8 FEMALE PTH","1X08_LOCK",156.1211,-80.8736,180.0000,top
"JP6","1X8 FEMALE PTH","1X08_LOCK",138.3411,-129.1336,180.0000,top
"JP7","1X10 FEMALE PTH","1X10_LOCK",134.5311,-80.8736,180.0000,top
"JP8","2X6 FEMALE","2X6",181.5211,-93.5736,90.0000,top
"JP9","2X6 FEMALE","2X6",173.9011,-80.8736,180.0000,top
"JP10","1x8 FEMALE PTH","1X08_LOCK",158.6611,-129.1336,0.0000,top
"JP11","2X6 FEMALE","2X6",178.9811,-116.4336,-90.0000,top
"JP12","2X6 FEMALE","2X6",181.5211,-111.3536,90.0000,top
"Q1","60V/32A/35mΩ","TO220V",130.7211,-98.6536,180.0000,top
"R1","1OHM-AXIAL-2.0-10W-5%","AXIAL-2.0",143.4211,-120.2436,0.0000,top
"R2","1k","0603",158.6611,-108.8136,0.0000,top
"R3","787","0603",158.6611,-111.3536,180.0000,top
"R4","8.2k","0603",158.6611,-106.2736,0.0000,top
"SUPPLY2","2PT_GND_TIE","2PT_GND_TIE",112.9411,-126.5936,180.0000,top
"U$2","","CREATIVE_COMMONS@1",144.6911,-159.6136,0.0000,top
"VR1","10k","POT-PTH-ALPS",158.6611,-94.8436,-90.0000,top
