Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","0603-CAP",67.8561,-130.6576,-90.0000,top
"C2","4.7uF","0603-CAP",50.3301,-118.9736,90.0000,top
"C3","47uF","EIA3528",71.8261,-132.3087,-90.0000,top
"C4","1.0uF","0603-CAP",71.9201,-140.3096,0.0000,top
"C5","4.7uF","0603-CAP",57.0611,-120.4976,-90.0000,top
"C6","0.1uF","0603-CAP",57.9501,-138.0236,90.0000,top
"C7","0.1uF","0603-CAP",72.0471,-123.2916,90.0000,top
"C8","0.1uF","0603-CAP",80.6831,-144.3736,90.0000,top
"C9","10uF","EIA3216",59.8551,-124.0536,90.0000,top
"C10","0.1uF","0603-CAP",60.1091,-119.4816,90.0000,top
"C11","0.1uF","0603-CAP",78.5241,-115.0366,90.0000,top
"C12","0.1uF","0603-CAP",125.0061,-135.9916,90.0000,top
"C13","0.1uF","0603-CAP",127.0381,-135.9916,90.0000,top
"C14","0.1uF","0603-CAP",129.3241,-128.3716,-90.0000,top
"C15","0.1uF","0603-CAP",186.6011,-144.3736,90.0000,top
"C16","47uF","EIA3528",177.7441,-132.3087,-90.0000,top
"C17","4.7uF","0603-CAP",156.2481,-118.9736,90.0000,top
"C18","4.7uF","0603-CAP",162.9791,-120.4976,-90.0000,top
"C19","0.1uF","0603-CAP",163.8681,-138.0236,90.0000,top
"C20","0.1uF","0603-CAP",173.7741,-130.6576,-90.0000,top
"C21","1.0uF","0603-CAP",177.8381,-140.3096,0.0000,top
"C22","10uF","EIA3216",165.7731,-124.0536,90.0000,top
"C23","0.1uF","0603-CAP",230.9241,-135.9916,90.0000,top
"C24","0.1uF","0603-CAP",232.9561,-135.9916,90.0000,top
"C25","0.1uF","0603-CAP",235.2421,-128.3716,-90.0000,top
"C26","0.1uF","0603-CAP",184.4421,-115.0366,90.0000,top
"C27","0.1uF","0603-CAP",166.0271,-119.4816,90.0000,top
"C28","0.1uF","0603-CAP",177.9651,-123.2916,90.0000,top
"C29","0.1uF","0603-CAP",80.6831,-64.3636,90.0000,top
