"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R316,R380,R442,R589,R107,R23,R547,R505,R65,R337,R338,R1,R568,R611,R128,R22,R421,R211,R548,R485,R43,R212,R64,R464,R106,R463,R317,R569,R610,R190,R296,R253,R85,R149,R400,R44,R148,R422,R359,R506,R527,R254,R295,R526,R169,R233,R590,R275,R484,R274,R127,R170,R191,R86,R401,R358,R379,R232,R443,R2";"0805";60;".75";;;
2;"JP262,JP119,JP8,JP163,JP101,JP226,JP182,JP172,JP92,JP29,JP217,JP154,JP64,JP136,JP173,JP190,JP145,JP100,JP47,JP181,JP11,JP235,JP245,JP83,JP236,JP191,JP55,JP19,JP128,JP155,JP10,JP73,JP200,JP28,JP208,JP254,JP82,JP20,JP65,JP46,JP37,JP146,JP209,JP253,JP164,JP110,JP244,JP109,JP118,JP127,JP9,JP91,JP227,JP263,JP199,JP74,JP38,JP56,JP137,JP218";"STAND-OFF";60;"STAND-OFF";;;
3;"FID52,FID7,FID31,FID6,FID29,FID39,FID59,FID34,FID53,FID58,FID48,FID4,FID20,FID45,FID36,FID50,FID30,FID19,FID5,FID43,FID54,FID22,FID32,FID17,FID33,FID47,FID46,FID44,FID25,FID37,FID24,FID18,FID35,FID8,FID27,FID51,FID42,FID12,FID55,FID11,FID60,FID2,FID49,FID3,FID13,FID23,FID15,FID28,FID40,FID1,FID38,FID57,FID10,FID21,FID26,FID9,FID41,FID14,FID16,FID56";"FIDUCIAL-1X2";60;"FIDUCIAL1X2";;;
4;"JP167,JP80,JP21,JP111,JP194,JP266,JP76,JP77,JP184,JP68,JP210,JP215,JP7,JP102,JP27,JP39,JP185,JP158,JP113,JP120,JP238,JP247,JP216,JP129,JP85,JP248,JP166,JP233,JP165,JP139,JP179,JP270,JP22,JP140,JP203,JP261,JP62,JP49,JP131,JP175,JP122,JP58,JP212,JP193,JP89,JP23,JP156,JP126,JP99,JP135,JP53,JP35,JP84,JP153,JP59,JP117,JP202,JP13,JP251,JP31,JP242,JP220,JP171,JP176,JP221,JP143,JP265,JP81,JP269,JP93,JP257,JP36,JP67,JP41,JP103,JP234,JP206,JP207,JP130,JP161,JP54,JP246,JP50,JP12,JP4,JP107,JP75,JP57,JP32,JP252,JP189,JP144,JP188,JP219,JP174,JP44,JP201,JP224,JP66,JP225,JP260,JP157,JP198,JP255,JP86,JP26,JP239,JP112,JP95,JP264,JP211,JP90,JP18,JP149,JP183,JP152,JP63,JP94,JP17,JP98,JP71,JP116,JP14,JP104,JP72,JP237,JP197,JP192,JP162,JP148,JP147,JP138,JP230,JP108,JP228,JP256,JP30,JP1,JP121,JP6,JP170,JP40,JP45,JP229,JP5,JP48,JP125,JP243,JP134,JP180";"1X02_NO_SILK";150;"";;;
5;"R432,R52,R221,R588,R167,R157,R308,R557,R367,R139,R504,R104,R598,R581,R283,R160,R42,R329,R623,R210,R220,R371,R369,R618,R73,R556,R390,R21,R454,R537,R431,R482,R33,R534,R72,R473,R441,R619,R410,R55,R34,R451,R116,R503,R54,R115,R202,R12,R159,R389,R620,R94,R558,R348,R538,R198,R314,R409,R597,R524,R138,R307,R95,R608,R545,R224,R429,R567,R284,R347,R119,R11,R200,R188,R10,R63,R495,R555,R240,R263,R601,R140,R76,R117,R20,R461,R136,R559,R147,R328,R517,R30,R388,R493,R327,R244,R576,R252,R14,R440,R230,R398,R326,R599,R125,R621,R201,R413,R245,R325,R35,R455,R462,R494,R566,R264,R335,R356,R336,R496,R471,R452,R377,R392,R272,R118,R75,R629,R177,R578,R602,R203,R475,R350,R577,R294,R231,R497,R51,R430,R178,R293,R474,R93,R315,R419,R241,R114,R161,R282,R222,R286,R32,R514,R262,R391,R525,R179,R492,R609,R261,R366,R516,R513,R433,R630,R368,R357,R97,R56,R223,R387,R243,R180,R265,R168,R378,R306,R580,R539,R242,R15,R434,R476,R199,R126,R450,R287,R303,R77,R31,R96,R324,R408,R453,R515,R535,R600,R135,R98,R411,R189,R579,R158,R345,R62,R346,R483,R420,R518,R285,R546,R83,R53,R41,R370,R305,R304,R146,R251,R219,R137,R209,R84,R472,R182,R266,R181,R156,R536,R622,R273,R560,R105,R412,R13,R349,R74,R587,R399";"0603-RES";240;"10K";;;
6;"JP133,JP250,JP178,JP232,JP214,JP223,JP142,JP88,JP169,JP16,JP160,JP241,JP115,JP79,JP106,JP61,JP196,JP3,JP25,JP97,JP151,JP124,JP52,JP187,JP205,JP34,JP43,JP259,JP268,JP70";"1X04_NO_SILK";30;"";;;
7;"R341,R383,R131,R26,R446,R173,R299,R278,R194,R152,R425,R530,R89,R614,R572,R551,R467,R68,R257,R5,R47,R320,R488,R110,R362,R404,R593,R509,R236,R215";"0603-RES";30;"2.49K";;;
8;"R8,R490,R574,R112,R532,R322,R385,R49,R259,R343,R616,R280,R70,R469,R427,R301,R553,R154,R175,R448,R133,R217,R406,R595,R196,R28,R91,R238,R511,R364";"0603-RES";30;"240";;;
9;"R584,R80,R227,R122,R206,R353,R101,R521,R374,R458,R395,R269,R479,R185,R626,R38,R605,R143,R500,R416,R542,R59,R17,R164,R563,R437,R248,R332,R290,R311";"0603-RES";30;"6.8K";;;
10;"C15,C140,C90,C125,C75,C150,C120,C35,C30,C70,C85,C20,C105,C145,C55,C40,C95,C45,C10,C135,C50,C25,C100,C110,C80,C60,C130,C115,C1,C65";"0603-CAP";30;".1uF";;;
11;"R176,R155,R376,R502,R81,R417,R281,R39,R145,R302,R186,R333,R82,R207,R92,R18,R607,R355,R543,R60,R628,R554,R397,R9,R103,R228,R565,R291,R354,R480,R260,R165,R102,R208,R187,R292,R586,R19,R522,R449,R229,R523,R375,R544,R271,R144,R197,R239,R386,R250,R606,R418,R134,R40,R439,R481,R71,R407,R533,R123,R491,R596,R312,R564,R501,R396,R428,R124,R113,R334,R50,R29,R617,R575,R365,R313,R249,R460,R459,R61,R344,R512,R270,R323,R627,R585,R166,R470,R438,R218";"0603-RES";90;"1K";;;
12;"C146,C136,C2,C46,C91,C141,C21,C56,C111,C51,C81,C71,C76,C31,C106,C16,C61,C6,C36,C131,C101,C26,C96,C11,C116,C86,C41,C66,C126,C121";"0603-CAP";30;"1uf";;;
13;"C107,C72,C92,C47,C67,C7,C117,C12,C22,C52,C102,C82,C27,C3,C132,C62,C97,C127,C87,C57,C37,C112,C17,C42,C32,C77,C147,C137,C142,C122";"PANASONIC_D";30;"47uF";;;
14;"R319,R507,R508,R24,R256,R109,R171,R172,R276,R235,R381,R234,R298,R66,R445,R214,R361,R25,R129,R4,R550,R592,R88,R360,R151,R591,R318,R529,R423,R424,R570,R339,R403,R528,R549,R486,R465,R613,R87,R213,R45,R466,R487,R340,R193,R444,R130,R402,R297,R277,R3,R192,R612,R571,R46,R67,R150,R255,R382,R108";"0603-RES";60;"20K";;;
15;"C103,C64,C24,C13,C98,C78,C28,C38,C49,C74,C34,C123,C59,C54,C58,C99,C39,C104,C94,C53,C138,C114,C124,C134,C68,C143,C128,C29,C148,C33,C108,C63,C89,C149,C79,C113,C84,C129,C43,C4,C139,C44,C73,C9,C109,C69,C118,C18,C93,C83,C23,C14,C8,C5,C144,C88,C133,C119,C48,C19";"0603-CAP";60;"680pF";;;
16;"PWR_LED27,PWR_LED5,PWR_LED20,PWR_LED11,PWR_LED21,PWR_LED22,PWR_LED25,PWR_LED8,PWR_LED1,PWR_LED26,PWR_LED12,PWR_LED13,PWR_LED4,PWR_LED10,PWR_LED19,PWR_LED28,PWR_LED9,PWR_LED7,PWR_LED18,PWR_LED6,PWR_LED24,PWR_LED16,PWR_LED29,PWR_LED17,PWR_LED0,PWR_LED14,PWR_LED15,PWR_LED3,PWR_LED2,PWR_LED23";"LED-0603";30;"YELLOW";;;
17;"R48,R321,R405,R615,R552,R531,R27,R468,R384,R216,R363,R195,R6,R447,R510,R279,R342,R237,R573,R300,R90,R132,R153,R174,R426,R69,R258,R111,R594,R489";"0603-RES";30;"390";;;
18;"LOGO2,LOGO6,LOGO11,LOGO19,LOGO12,LOGO27,LOGO9,LOGO18,LOGO3,LOGO16,LOGO29,LOGO4,LOGO30,LOGO17,LOGO10,LOGO20,LOGO1,LOGO8,LOGO25,LOGO24,LOGO7,LOGO5,LOGO26,LOGO23,LOGO14,LOGO28,LOGO15,LOGO21,LOGO13,LOGO22";"OSHW-LOGO-S";30;"OSHW-LOGOS";;;
19;"R184,R226,R289,R142,R625,R79,R331,R163,R247,R205,R457,R604,R373,R100,R16,R541,R394,R562,R310,R415,R478,R352,R583,R121,R520,R436,R58,R37,R268,R499";"TRIMPOT-3MM-2";30;"10K";;;
20;"IC44,IC10,IC22,IC8,IC56,IC40,IC26,IC14,IC4,IC50,IC6,IC36,IC42,IC20,IC16,IC24,IC38,IC60,IC2,IC54,IC34,IC28,IC18,IC52,IC58,IC48,IC12,IC46,IC32,IC30";"SOT223";30;"V_REG_317SMD";;;
21;"TP14,TP11,TP12,TP1,TP16,TP6,TP20,TP5,TP17,TP4,TP25,TP9,TP29,TP13,TP30,TP2,TP7,TP22,TP10,TP3,TP27,TP28,TP23,TP18,TP15,TP8,TP24,TP19,TP21,TP26";"TP_15TH";30;"TEST-POINTTP_15TH_THRU";;;
22;"IC5,IC13,IC53,IC35,IC15,IC7,IC41,IC39,IC43,IC17,IC3,IC49,IC59,IC33,IC57,IC27,IC55,IC31,IC9,IC23,IC19,IC21,IC37,IC29,IC47,IC25,IC51,IC11,IC45,IC1";"SO24W";30;"A3967SLB";;;
23;"SJ8,SJ30,SJ18,SJ6,SJ44,SJ58,SJ36,SJ26,SJ32,SJ28,SJ42,SJ60,SJ2,SJ50,SJ12,SJ10,SJ40,SJ54,SJ56,SJ4,SJ22,SJ48,SJ46,SJ24,SJ20,SJ34,SJ52,SJ16,SJ14,SJ38";"SJ_2S-NO";30;"SOLDERJUMPERNO";;;
24;"R288,R477,R603,R330,R36,R78,R456,R561,R120,R57,R183,R540,R435,R582,R414,R393,R351,R246,R267,R309,R624,R99,R204,R162,R225,R519,R372,R498,R7,R141";"0603-RES";30;"330";;;
25;"JP204,JP51,JP240,JP231,JP78,JP195,JP159,JP249,JP123,JP177,JP42,JP222,JP105,JP60,JP96,JP186,JP267,JP141,JP258,JP150,JP15,JP213,JP132,JP24,JP114,JP69,JP33,JP87,JP2,JP168";"1X03_NO_SILK";30;"";;;
26;"U$5,U$37,U$23,U$53,U$29,U$19,U$51,U$47,U$17,U$11,U$35,U$9,U$3,U$7,U$41,U$45,U$33,U$15,U$27,U$55,U$25,U$59,U$31,U$39,U$43,U$13,U$21,U$49,U$57,U$1";"SCHMALZHAUS_SMALL";30;"";;;
27;"SJ29,SJ45,SJ39,SJ7,SJ49,SJ15,SJ3,SJ27,SJ47,SJ33,SJ57,SJ37,SJ23,SJ41,SJ9,SJ43,SJ53,SJ25,SJ55,SJ19,SJ59,SJ51,SJ35,SJ31,SJ11,SJ13,SJ17,SJ5,SJ21,SJ1";"SJ_2S-TRACE";30;"SOLDERJUMPERTRACE";;;
28;"E$6,E$4";"FIDUCIAL-1X2";2;"";;;
29;"E$1";"FIDUCIAL-1.5X3";1;"";;;
30;"U$60,U$28,U$8,U$40,U$46,U$50,U$32,U$30,U$4,U$16,U$38,U$24,U$54,U$26,U$10,U$2,U$58,U$18,U$20,U$44,U$14,U$56,U$42,U$6,U$22,U$36,U$12,U$34,U$48,U$52";"SFE-NEW-WEBLOGO";30;"LOGO-SFENEW";;;
