"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D17,D23,D33,D32,D12,D7,D8,D27,D38,D13,D18,D28,D3,D37,D2,D22";"LED-0603";16;"GREEN";;;
2;"D16,D31,D36,D6,D26,D1,D21,D11";"SMA-DIODE";8;"MBRA140";;;
3;"LOGO11,LOGO7,LOGO27,LOGO23,LOGO31,LOGO15,LOGO19,LOGO1,LOGO25,LOGO2,LOGO21,LOGO29,LOGO13,LOGO5,LOGO17,LOGO9";"OSHW-LOGO-S";16;"OSHW-LOGOS";;;
4;"@HOLE15,@HOLE26,@HOLE9,@HOLE2,@HOLE10,@HOLE31,@HOLE17,@HOLE6,@HOLE5,@HOLE13,@HOLE16,@HOLE24,@HOLE19,@HOLE23,@HOLE1,@HOLE14,@HOLE3,@HOLE29,@HOLE8,@HOLE28,@HOLE30,@HOLE11,@HOLE18,@HOLE4,@HOLE20,@HOLE25,@HOLE12,@HOLE0,@HOLE22,@HOLE7,@HOLE21,@HOLE27";"";32;"";;;
5;"U23,U15,U19,U27,U11,U7,U1,U31";"SSOP24";8;"TB6612FNG";;;
6;"FID10,FID29,FID18,FID17,FID1,FID30,FID14,FID21,FID25,FID6,FID13,FID5,FID22,FID9,FID2,FID26,FID32,FID19,FID20,FID4,FID3,FID12,FID7,FID31,FID16,FID28,FID11,FID15,FID27,FID8,FID23,FID24";"FIDUCIAL-1X2";32;"FIDUCIAL1X2";;;
7;"R13,R3,R1,R8,R16,R5,R14,R6,R10,R9,R4,R15,R2,R7,R12,R11";"0603-RES";16;"680";;;
8;"D14,D24,D30,D19,D20,D5,D25,D15,D34,D10,D39,D9,D29,D35,D40,D4";"LED-0603";16;"RED";;;
9;"C1,C22,C4,C13,C7,C16,C10,C19";"EIA3216";8;"10uF";;;
10;"JP10,JP2,JP16,JP6,JP14,JP8,JP12,JP4";"1X02";8;"M02PTH";;;
11;"C9,C11,C6,C23,C8,C24,C21,C14,C20,C12,C2,C5,C3,C18,C17,C15";"0603-CAP";16;"0.1uF";;;
12;"SJ1,SJ6,SJ8,SJ3,SJ2,SJ5,SJ4,SJ7";"PAD-JUMPER-2-NO_YES_SILK";8;"VSYS ENABLE";;;
13;"JP5,JP7,JP11,JP1,JP13,JP9,JP15,JP3";"1X04";8;"";;;
14;"U32,U24,U4,U20,U8,U12,U16,U28";"UFDFN-20";8;"TXB0108";;;
15;"LOGO20,LOGO24,LOGO12,LOGO4,LOGO16,LOGO28,LOGO8,LOGO32,LOGO6,LOGO22,LOGO30,LOGO14,LOGO10,LOGO26,LOGO3,LOGO18";"SFE_LOGO_NAME_FLAME_.1";16;"SFE_LOGO_NAME_FLAME.1_INCH";;;
16;"E$5,E$4,E$3,E$6";"FIDUCIAL-1X2";4;"";;;
17;"E$1,E$2";"FIDUCIAL-1.5X3";2;"";;;
18;"U26,U30,U10,U3,U14,U22,U6,U18";"DF40C-70DP-0.4(51)";8;"EDISON_CONNECTOR_FULLHEADER";;;
19;"U13,U25,U29,U17,U21,U2,U9,U5";"EDISON_DAUGHTER";8;"EDISON_CONNECTOR_FULLMOUNTING_HOLES";;;
