"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C48,C43,C27,C29,C5,C45,C13,C24,C7,C19,C35,C11,C3,C40,C16,C21,C32,C37";"0603-CAP";18;"100pF";;;
2;"U9,U5,U3,U11,U7,U1";"ELECTRIC_IMP_IMP002";6;"imp002";;;
3;"R26,R12,R33,R40,R24,R5,R10,R19,R38,R4,R31,R17";"0603-RES";12;"33k";;;
4;"C17,C33,C25,C2,C41,C9";"0805";6;"22uF";;;
5;"FID12,FID4,FID9,FID5,FID7,FID10,FID3,FID2,FID11,FID8,FID1,FID6";"FIDUCIAL-1X2";12;"FIDUCIAL1X2";;;
6;"C12,C14,C20,C44,C4,C6,C22,C38,C46,C36,C30,C28";"0603-CAP";12;"1.0uF";;;
7;"Q4,Q2,Q12,Q10,Q8,Q6";"PT17-21C-L41-TR8";6;"PT17-21C-L41-TR8";;;
8;"R41,R20,R6,R34,R27,R13";"0603-RES";6;"62k";;;
9;"C8,C23,C31,C39,C15,C47";"0603-CAP";6;"DNP";;;
10;"C26,C42,C34,C1,C10,C18";"1210";6;"10uF";;;
11;"D2,D5,D7,D11,D9,D3";"LTST-C195KGJRKT";6;"LED-RGLTST-C195KGJRKT";;;
12;"D4,D6,D12,D1,D8,D10";"SMA-DIODE";6;"MBRA140";;;
13;"JP1,JP24,JP19,JP14,JP9,JP29";"1X15";6;"M15";;;
14;"JP20,JP5,JP15,JP30,JP25,JP10";"1X01";6;"M01PTH";;;
15;"R14,R21,R28,R35,R42,R7";"0603-RES";6;"10K";;;
16;"JP13,JP3,JP8,JP23,JP18,JP28";"JST-2-SMD";6;"M02-JST-2MM-SMT";;;
17;"STANDOFF12,STANDOFF16,STANDOFF21,STANDOFF6,STANDOFF4,STANDOFF7,STANDOFF3,STANDOFF5,STANDOFF17,STANDOFF14,STANDOFF2,STANDOFF10,STANDOFF22,STANDOFF13,STANDOFF18,STANDOFF15,STANDOFF1,STANDOFF23,STANDOFF9,STANDOFF20,STANDOFF8,STANDOFF24,STANDOFF19,STANDOFF11";"STAND-OFF";24;"STAND-OFF";;;
18;"LOGO5,LOGO9,LOGO3,LOGO1,LOGO11,LOGO7";"OSHW-LOGO-S";6;"OSHW-LOGOS";;;
19;"L4,L3,L2,L5,L1,L6";"VLF4012A";6;"2.2uH";;;
20;"X4,X6,X3,X2,X5,X1";"USB-MINIB";6;"USBSMD";;;
21;"Q3,Q11,Q9,Q5,Q1,Q7";"SOT23-3";6;"DMG2307L";;;
22;"U2,U6,U4,U8,U10,U12";"WSON-8-PAD";6;"TPS62172";;;
23;"R16,R22,R37,R2,R3,R36,R8,R29,R15,R30,R23,R9";"0603-RES";12;"330";;;
24;"LOGO6,LOGO8,LOGO10,LOGO12,LOGO2,LOGO4";"SFE_LOGO_FLAME_.1";6;"SFE_LOGO_FLAME.1_INCH";;;
25;"SJ7,SJ9,SJ11,SJ5,SJ1,SJ3";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";6;"JUMPER-PAD-2-NC_BY_PASTE";;;
26;"JP4,JP17,JP22,JP26,JP27,JP2,JP7,JP6,JP12,JP21,JP16,JP11";"1X02";12;"M02PTH";;;
27;"SJ8,SJ10,SJ6,SJ2,SJ12,SJ4";"PAD-JUMPER-3-NO_YES_SILK_FULL_BOX";6;"JUMPER-PAD-3-NOFULL_BOX_SILK";;;
28;"R25,R1,R39,R11,R32,R18";"0603-RES";6;"100k";;;
29;"E$5,E$3";"FIDUCIAL-1X2";2;"";;;
30;"E$1";"FIDUCIAL-1.5X3";1;"";;;
31;"TP8,TP3,TP2,TP5,TP10,TP12,TP9,TP6,TP1,TP7,TP11,TP4";"PAD.03X.05";12;"TEST-POINT3X5";;;
32;"U$2,U$5,U$1,U$4,U$9,U$3";"SFE-NEW-WEBLOGO";6;"SFE_LOGO_NAME_WEB";;;
