Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","0402-CAP",96.4311,-134.2136,-90.0000,top
"C2","4.7uF","0402-CAP",117.2591,-134.2136,-90.0000,top
"C3","1uF","0402-CAP",90.0811,-139.2936,90.0000,top
"C4","1uF","0402-CAP",110.9091,-139.2936,90.0000,top
"C5","10uF","EIA3216",119.7991,-141.8336,180.0000,top
"C6","4.7uF","0402-CAP",138.0871,-134.2136,-90.0000,top
"C7","10uF","EIA3216",98.9711,-141.8336,180.0000,top
"C8","1uF","0402-CAP",131.7371,-139.2936,90.0000,top
"C9","10uF","EIA3216",140.6271,-141.8336,180.0000,top
"C10","4.7uF","0402-CAP",158.9151,-134.2136,-90.0000,top
"C11","1uF","0402-CAP",152.5651,-139.2936,90.0000,top
"C12","10uF","EIA3216",161.4551,-141.8336,180.0000,top
"C13","4.7uF","0402-CAP",179.7431,-134.2136,-90.0000,top
"C14","1uF","0402-CAP",173.3931,-139.2936,90.0000,top
"C15","10uF","EIA3216",182.2831,-141.8336,180.0000,top
"C16","4.7uF","0402-CAP",200.5711,-134.2136,-90.0000,top
"C17","1uF","0402-CAP",194.2211,-139.2936,90.0000,top
"C18","10uF","EIA3216",203.1111,-141.8336,180.0000,top
"C19","4.7uF","0402-CAP",96.4311,-121.0056,-90.0000,top
"C20","1uF","0402-CAP",90.0811,-126.0856,90.0000,top
"C21","10uF","EIA3216",98.9711,-128.6256,180.0000,top
"C22","4.7uF","0402-CAP",117.2591,-121.0056,-90.0000,top
"C23","1uF","0402-CAP",110.9091,-126.0856,90.0000,top
"C24","10uF","EIA3216",119.7991,-128.6256,180.0000,top
"C25","4.7uF","0402-CAP",138.0871,-121.0056,-90.0000,top
"C26","1uF","0402-CAP",131.7371,-126.0856,90.0000,top
"C27","10uF","EIA3216",140.6271,-128.6256,180.0000,top
"C28","4.7uF","0402-CAP",158.9151,-121.0056,-90.0000,top
"C29","1uF","0402-CAP",152.5651,-126.0856,90.0000,top
"C30","10uF","EIA3216",161.4551,-128.6256,180.0000,top
"C31","4.7uF","0402-CAP",179.7431,-121.0056,-90.0000,top
"C32","1uF","0402-CAP",173.3931,-126.0856,90.0000,top
"C33","10uF","EIA3216",182.2831,-128.6256,180.0000,top
"C34","4.7uF","0402-CAP",200.5711,-121.0056,-90.0000,top
"C35","1uF","0402-CAP",194.2211,-126.0856,90.0000,top
"C36","10uF","EIA3216",203.1111,-128.6256,180.0000,top
"C37","4.7uF","0402-CAP",96.4311,-107.7976,-90.0000,top
"C38","1uF","0402-CAP",90.0811,-112.8776,90.0000,top
"C39","10uF","EIA3216",98.9711,-115.4176,180.0000,top
"C40","4.7uF","0402-CAP",117.2591,-107.7976,-90.0000,top
"C41","1uF","0402-CAP",110.9091,-112.8776,90.0000,top
"C42","10uF","EIA3216",119.7991,-115.4176,180.0000,top
"C43","4.7uF","0402-CAP",138.0871,-107.7976,-90.0000,top
"C44","1uF","0402-CAP",131.7371,-112.8776,90.0000,top
"C45","10uF","EIA3216",140.6271,-115.4176,180.0000,top
"C46","4.7uF","0402-CAP",158.9151,-107.7976,-90.0000,top
"C47","1uF","0402-CAP",152.5651,-112.8776,90.0000,top
"C48","10uF","EIA3216",161.4551,-115.4176,180.0000,top
"C49","4.7uF","0402-CAP",179.7431,-107.7976,-90.0000,top
"C50","1uF","0402-CAP",173.3931,-112.8776,90.0000,top
"C51","10uF","EIA3216",182.2831,-115.4176,180.0000,top
"C52","4.7uF","0402-CAP",200.5711,-107.7976,-90.0000,top
"C53","1uF","0402-CAP",194.2211,-112.8776,90.0000,top
"C54","10uF","EIA3216",203.1111,-115.4176,180.0000,top
"C55","4.7uF","0402-CAP",96.4311,-94.5896,-90.0000,top
"C56","1uF","0402-CAP",90.0811,-99.6696,90.0000,top
"C57","10uF","EIA3216",98.9711,-102.2096,180.0000,top
"C58","4.7uF","0402-CAP",117.2591,-94.5896,-90.0000,top
"C59","1uF","0402-CAP",110.9091,-99.6696,90.0000,top
"C60","10uF","EIA3216",119.7991,-102.2096,180.0000,top
"C61","4.7uF","0402-CAP",138.0871,-94.5896,-90.0000,top
"C62","1uF","0402-CAP",131.7371,-99.6696,90.0000,top
"C63","10uF","EIA3216",140.6271,-102.2096,180.0000,top
"C64","4.7uF","0402-CAP",158.9151,-94.5896,-90.0000,top
"C65","1uF","0402-CAP",152.5651,-99.6696,90.0000,top
"C66","10uF","EIA3216",161.4551,-102.2096,180.0000,top
"C67","4.7uF","0402-CAP",179.7431,-94.5896,-90.0000,top
