Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,ESP32_THING,B1,ESP32_THING,ESP32_THING,1, ,
2,,0.1UF-0603-100V-10%,C7 C8 C9 C10 C11 C17 C18,0.1UF-0603-100V-10%,0603,7, ,
3,,1.0UF-0603-16V-10%,C12 C13 C14,1.0UF-0603-16V-10%,0603,3, ,
4,,100UF-POLAR-RADIAL-2.5MM-25V-20%,C15,100UF-POLAR-RADIAL-2.5MM-25V-20%,CPOL-RADIAL-2.5MM-6.5MM,1, ,
5,,10UF-1210-50V-20%,C4 C5 C6 C16,10UF-1210-50V-20%,1210,4, ,
6,,33NF-0603-50V-10%,C1 C2 C3,33NF-0603-50V-10%,0603,3, ,
7,,DIODE-PTH,D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12,DIODE-PTH,DIODE-1N4001,12, ,
8,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,
9,,STAND-OFF,H1 H2 H3 H4,STAND-OFF,STAND-OFF,4, ,
10,,OPAMP-DUALU,IC1 IC2,OPAMP-DUALU,SO08,2, ,
11,,CONN_03SCREW,J3,CONN_03SCREW,SCREWTERMINAL-3.5MM-3,1, ,
12,,CONN_063.5MM-6,J1,CONN_063.5MM-6,SCREWTERMINAL-3.5MM-6,1, ,
13,,POWER_JACKPTH_LOCK,J2,POWER_JACKPTH_LOCK,POWER_JACK_PTH_LOCK,1, ,
14,,JUMPER-SMT_2_NC_PASTE_NO-SILK,JP2 JP3 JP4,JUMPER-SMT_2_NC_PASTE_NO-SILK,SMT-JUMPER_2_NC_PASTE_NO-SILK,3, ,
15,,JUMPER-SMT_2_NO_SILK,JP5,JUMPER-SMT_2_NO_SILK,SMT-JUMPER_2_NO_SILK,1, ,
16,,JUMPER-SMT_3_1-NC_TRACE_SILK,JP1,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,1, ,
17,,OSHW-LOGOM,LOGO2,OSHW-LOGOM,OSHW-LOGO-M,1, ,
18,,SFE_LOGO_NAME_FLAME.2_INCH,LOGO1,SFE_LOGO_NAME_FLAME.2_INCH,SFE_LOGO_NAME_FLAME_.2,1, ,
19,,10KOHM-0603-1/10W-1%,R1 R2 R3 R4 R5 R6,10KOHM-0603-1/10W-1%,0603,6, ,
20,,1KOHM-0603-1/10W-1%,R13,1KOHM-0603-1/10W-1%,0603,1, ,
21,,1KOHM-HORIZ-1/4W-1%,R10 R11 R12,1KOHM-HORIZ-1/4W-1%,AXIAL-0.3,3, ,
22,,220OHM-0603-1/10W-1%,R7 R8 R9,220OHM-0603-1/10W-1%,0603,3, ,
23,,MC33926,U1 U2 U3,MC33926,32-PQFN,3, ,
24,,R-78E5.0-1.0,U4,R-78E5.0-1.0,DC-DC_CONVERTER_78XX,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-01
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,24
Component Count:,65 (0 SMD/ 0 THT)
Fitted Components:,65 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,65
