"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R119,R98,R81,R100,R89,R70,R3,R126,R6,R16,R53,R27,R106,R65,R9,R124,R87,R10,R31,R8,R120,R11,R7,R25,R62,R38,R112,R49,R102,R63,R114,R121,R94,R128,R93,R37,R88,R69,R111,R13,R77,R107,R12,R117,R4,R32,R2,R55,R74,R91,R72,R44,R14,R127,R19,R96,R122,R78,R64,R24,R52,R92,R46,R50,R15,R60,R22,R104,R71,R95,R28,R116,R45,R41,R17,R108,R39,R84,R54,R61,R30,R40,R57,R123,R29,R26,R5,R18,R125,R113,R85,R20,R21,R99,R109,R23,R75,R67,R51,R76,R48,R82,R33,R86,R68,R34,R73,R105,R118,R43,R1,R97,R56,R90,R42,R36,R103,R101,R58,R115,R47,R110,R80,R35,R79,R59,R83,R66";"0603-RES";128;"330";;;
2;"JP207,JP261,JP87,JP135,JP183,JP99,JP351,JP243,JP339,JP27,JP267,JP159,JP255,JP153,JP237,JP303,JP369,JP177,JP21,JP9,JP129,JP171,JP3,JP141,JP81,JP45,JP225,JP297,JP363,JP345,JP189,JP57,JP201,JP273,JP333,JP315,JP321,JP195,JP33,JP375,JP123,JP279,JP357,JP69,JP15,JP309,JP231,JP111,JP147,JP75,JP93,JP213,JP249,JP117,JP63,JP285,JP291,JP219,JP327,JP105,JP165,JP381,JP51,JP39";"1X04";64;"";;;
3;"C98,C74,C152,C131,C188,C11,C47,C17,C80,C158,C26,C35,C107,C23,C83,C179,C176,C164,C116,C113,C110,C53,C104,C119,C137,C125,C92,C146,C143,C32,C173,C29,C161,C185,C41,C20,C167,C101,C5,C182,C140,C71,C170,C65,C38,C89,C14,C134,C4,C56,C77,C44,C86,C59,C8,C62,C155,C128,C191,C149,C95,C50,C122,C68";"EIA3216";64;"10uF";;;
4;"JP349,JP104,JP49,JP91,JP110,JP331,JP295,JP145,JP278,JP308,JP199,JP103,JP61,JP98,JP212,JP194,JP235,JP350,JP254,JP157,JP32,JP2,JP253,JP187,JP241,JP205,JP320,JP344,JP92,JP8,JP1,JP38,JP152,JP128,JP86,JP373,JP134,JP289,JP362,JP73,JP206,JP284,JP121,JP62,JP361,JP283,JP31,JP356,JP4,JP230,JP314,JP56,JP55,JP115,JP122,JP259,JP223,JP355,JP20,JP163,JP133,JP67,JP97,JP313,JP127,JP319,JP290,JP68,JP176,JP224,JP13,JP242,JP326,JP151,JP229,JP146,JP140,JP43,JP80,JP193,JP44,JP236,JP325,JP74,JP260,JP217,JP139,JP302,JP374,JP211,JP25,JP380,JP116,JP85,JP272,JP343,JP296,JP338,JP200,JP79,JP247,JP188,JP332,JP266,JP37,JP218,JP158,JP265,JP337,JP169,JP181,JP19,JP175,JP248,JP182,JP14,JP271,JP307,JP301,JP367,JP170,JP26,JP277,JP379,JP368,JP109,JP164,JP50";"1X09";128;"";;;
5;"JP143,JP262,JP101,JP70,JP214,JP179,JP256,JP232,JP142,JP161,JP71,JP89,JP221,JP298,JP257,JP52,JP328,JP184,JP148,JP280,JP358,JP34,JP370,JP365,JP238,JP329,JP299,JP88,JP125,JP155,JP130,JP77,JP323,JP112,JP292,JP281,JP346,JP124,JP119,JP364,JP359,JP6,JP215,JP185,JP196,JP371,JP274,JP352,JP377,JP239,JP244,JP166,JP172,JP83,JP353,JP59,JP286,JP334,JP178,JP17,JP340,JP317,JP376,JP136,JP347,JP65,JP40,JP202,JP47,JP268,JP197,JP137,JP233,JP341,JP113,JP64,JP154,JP293,JP106,JP173,JP191,JP53,JP310,JP118,JP250,JP382,JP76,JP227,JP226,JP269,JP220,JP16,JP305,JP263,JP46,JP304,JP149,JP29,JP311,JP335,JP287,JP41,JP167,JP190,JP100,JP23,JP209,JP208,JP131,JP94,JP58,JP322,JP11,JP203,JP316,JP82,JP383,JP28,JP107,JP160,JP245,JP35,JP275,JP251,JP5,JP95,JP22,JP10";"FIDUCIAL-1X2";128;"FIDUCIAL1X2";;;
6;"F30,F42,F32,F8,F16,F60,F25,F59,F63,F41,F39,F62,F51,F18,F38,F4,F46,F56,F50,F37,F29,F55,F58,F47,F52,F9,F10,F1,F19,F28,F35,F6,F45,F57,F14,F33,F15,F12,F7,F3,F5,F36,F13,F44,F11,F64,F23,F22,F34,F21,F54,F24,F31,F20,F53,F61,F40,F27,F2,F26,F43,F17,F48,F49";"PTC-1206";64;"500mA";;;
7;"LED3,LED43,LED119,LED107,LED19,LED21,LED83,LED97,LED87,LED29,LED99,LED103,LED57,LED37,LED27,LED23,LED17,LED15,LED89,LED33,LED5,LED45,LED55,LED51,LED73,LED67,LED123,LED35,LED95,LED9,LED49,LED31,LED13,LED75,LED81,LED125,LED63,LED1,LED7,LED91,LED53,LED41,LED69,LED47,LED113,LED65,LED79,LED77,LED61,LED11,LED39,LED93,LED111,LED105,LED25,LED121,LED85,LED115,LED71,LED109,LED127,LED117,LED101,LED59";"LED-0603";64;"Red";;;
8;"S29,S39,S15,S50,S61,S27,S52,S42,S26,S4,S55,S12,S34,S21,S14,S25,S49,S24,S18,S54,S46,S60,S30,S6,S64,S19,S20,S45,S33,S3,S44,S16,S37,S40,S13,S56,S10,S7,S58,S51,S47,S63,S31,S32,S28,S57,S8,S59,S48,S9,S62,S11,S43,S1,S38,S35,S23,S22,S53,S36,S41,S17,S5,S2";"AYZ0202";64;"";;;
9;"C105,C16,C183,C145,C174,C184,C69,C165,C52,C72,C24,C136,C169,C39,C51,C94,C22,C102,C34,C9,C181,C166,C33,C90,C160,C3,C147,C18,C192,C45,C54,C30,C1,C13,C123,C97,C103,C186,C130,C25,C2,C139,C180,C48,C127,C135,C106,C190,C60,C27,C142,C178,C111,C156,C28,C21,C121,C100,C82,C115,C10,C153,C189,C157,C93,C78,C162,C79,C81,C19,C117,C76,C175,C37,C118,C61,C43,C64,C108,C129,C88,C187,C163,C70,C73,C55,C133,C12,C138,C75,C40,C63,C154,C7,C46,C141,C42,C96,C124,C67,C112,C120,C109,C99,C85,C159,C58,C150,C172,C6,C84,C91,C49,C15,C148,C168,C171,C66,C151,C114,C87,C177,C57,C144,C126,C31,C132,C36";"0603-CAP";128;"0.1uF";;;
10;"JP222,JP108,JP42,JP384,JP126,JP324,JP258,JP210,JP36,JP234,JP78,JP312,JP168,JP336,JP300,JP282,JP240,JP120,JP252,JP276,JP84,JP48,JP372,JP162,JP138,JP354,JP288,JP306,JP342,JP270,JP216,JP180,JP90,JP150,JP156,JP144,JP72,JP132,JP186,JP378,JP114,JP174,JP264,JP18,JP24,JP318,JP294,JP348,JP96,JP366,JP204,JP12,JP228,JP330,JP30,JP7,JP54,JP192,JP246,JP198,JP66,JP102,JP60,JP360";"USB-B-MICRO-SMD_V03";64;"USB_MICROB_PLUGCONN-11752";;;
