"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED5,LED2,LED3";"LED-1206";3;"Green";;;
2;"U$16,U$17,U$18,U$10,U$1,U$9,U$3,U$11,U$15,U$2,U$4,U$5";"STAND-OFF";12;"STAND-OFF";;;
3;"D12,D6,D3,D11,D8,D10,D7,D4,D2";"DIODE-1N4001";9;"1N4007";;;
4;"Q7,Q11,Q8,Q2,Q12,Q4";"TO-92";6;"MPSA18";;;
5;"U$21,U$13,U$6,U$20,U$14,U$7";"SMB-DIODE";6;"DIODE-ZENERSMB";;;
6;"C26,C1,C3,C24,C15,C11,C14,C18,C23,C27,C7,C17";"0603-CAP";12;"0.1uF";;;
7;"C19,C12,C6,C9,C5,C4,C8,C20,C21";"CAP-PTH-LARGE";9;"0.01uF";;;
8;"R45,R42,R36,R9,R27,R8,R15,R30,R21";"AXIAL-0.3";9;"10M";;;
9;"R26,R29,R14,R41,R17,R44";"AXIAL-0.3";6;"1M";;;
10;"Q6,Q10,Q3";"SOT23-3";3;"MMBT4403";;;
11;"C10,C13,C2,C16,C22,C25";"EIA3216";6;"10uF";;;
12;"X3,X2,X1";"USB-MINIB";3;"USBSMD";;;
13;"LOGO6,LOGO2,LOGO4";"SFE_LOGO_NAME_FLAME_.1";3;"SFE_LOGO_NAME_FLAME.1_INCH";;;
14;"R2,R7,R31,R10,R32,R1";"0603-RES";6;"1k";;;
15;"E$3,E$2";"FIDUCIAL-1X2";2;"";;;
16;"JP3,JP2,JP1";"1X06";3;"debug";;;
17;"F3,F1,F2";"PTC-1206";3;"PTCSMD";;;
18;"R24,R39,R12";"0603";3;"330";;;
19;"LED4,LED6,LED1";"LED-1206";3;"Red";;;
20;"R40,R6,R25";"AXIAL-0.3";3;"10k";;;
21;"U1,U7,U5";"TRANSFORMER";3;"TRANSFORMERAUDIO";;;
22;"FID3,FID2,FID5,FID6,FID1,FID4";"FIDUCIAL-1X2";6;"FIDUCIAL1X2";;;
23;"R19,R4,R34";"0603-RES";3;"150k";;;
24;"U$12,U$19,U$8";"GEIGER_TUBE";3;"GEIGER_TUBELND712";;;
25;"S6,S1,S4";"GPI-152-3013";3;"SWITCH-DPDTGPI";;;
26;"S2,S5,S3";"TACTILE_SWITCH_SMD";3;"Reset";;;
27;"R33,R18,R3";"0603-RES";3;"100k";;;
28;"R23,R38,R13";"0603-RES";3;"330";;;
29;"D5,D1,D9";"DIODE-HV";3;"1N4007";;;
30;"R11,R22,R37";"0603-RES";3;"10k";;;
31;"R5,R35,R20";"0603-RES";3;"1.8k";;;
32;"R28,R43,R16";"AXIAL-0.3";3;"15k";;;
33;"U10,U11,U4";"SSOP28DB";3;"FT232RL-BASICSSOP";;;
34;"U9,U3,U17";"2X3";3;"AVR_SPI_PRG_6PTH";;;
35;"LOGO5,LOGO3,LOGO1";"OSHW-LOGO-M";3;"OSHW-LOGOM";;;
36;"U6,U8,U2";"TQFP32-08";3;"";;;
37;"Q5,Q9,Q1";"SOT23-3";3;"MPSA42";;;
38;"E$1";"FIDUCIAL-1.5X3";1;"";;;
