Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,FRAME-LETTER,FRAME2,FRAME-LETTER,CREATIVE_COMMONS,1, ,
2,,LOGO-SFESK,JP2 JP7,LOGO-SFESK,SFE-LOGO-FLAME,2, ,
3,,M06SIP,JP1,M06SIP,1X06,1, ,
4,,STAND-OFF,JP4 JP6,STAND-OFF,STAND-OFF,2, ,
5,,OSHW-LOGOS,LOGO1,OSHW-LOGOS,OSHW-LOGO-S,1, ,
6,,JST_VERTICAL,U1,JST_VERTICAL,JST-6-SMD-VERT-1.0MM,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-03
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
