Ref,Val,Package,PosX,PosY,Rot,Side
"U$1","","SFE-NEW-WEB-SOLDERMASK",109.1311,-145.6436,180.0000,bottom
"U$3","","SFE-LOGO-FLAME",102.1461,-143.1036,180.0000,bottom
"U$5","","SFE-NEW-WEB-SOLDERMASK",127.4191,-145.6436,180.0000,bottom
"U$6","","SFE-NEW-WEB-SOLDERMASK",109.1311,-145.6436,180.0000,bottom
"U$7","","SFE-NEW-WEB-SOLDERMASK",109.1311,-145.6436,180.0000,bottom
"U$8","","SFE-NEW-WEB",109.1311,-145.6436,180.0000,bottom
"U$9","","SFE-LOGO-FLAME",120.4341,-143.1036,180.0000,bottom
"U$10","","SFE-NEW-WEB-SOLDERMASK",127.4191,-145.6436,180.0000,bottom
"U$11","","SFE-NEW-WEB-SOLDERMASK",127.4191,-145.6436,180.0000,bottom
"U$12","","SFE-NEW-WEB",127.4191,-145.6436,180.0000,bottom
"U$14","","SFE-NEW-WEB-SOLDERMASK",145.7071,-145.6436,180.0000,bottom
"U$15","","SFE-LOGO-FLAME",138.7221,-143.1036,180.0000,bottom
"U$16","","SFE-NEW-WEB-SOLDERMASK",145.7071,-145.6436,180.0000,bottom
"U$17","","SFE-NEW-WEB-SOLDERMASK",145.7071,-145.6436,180.0000,bottom
"U$18","","SFE-NEW-WEB",145.7071,-145.6436,180.0000,bottom
"U$20","","SFE-NEW-WEB-SOLDERMASK",163.9951,-145.6436,180.0000,bottom
"U$21","","SFE-LOGO-FLAME",157.0101,-143.1036,180.0000,bottom
"U$22","","SFE-NEW-WEB-SOLDERMASK",163.9951,-145.6436,180.0000,bottom
"U$23","","SFE-NEW-WEB-SOLDERMASK",163.9951,-145.6436,180.0000,bottom
"U$24","","SFE-NEW-WEB",163.9951,-145.6436,180.0000,bottom
"U$26","","SFE-NEW-WEB-SOLDERMASK",182.2831,-145.6436,180.0000,bottom
"U$27","","SFE-LOGO-FLAME",175.2981,-143.1036,180.0000,bottom
"U$28","","SFE-NEW-WEB-SOLDERMASK",182.2831,-145.6436,180.0000,bottom
"U$29","","SFE-NEW-WEB-SOLDERMASK",182.2831,-145.6436,180.0000,bottom
"U$30","","SFE-NEW-WEB",182.2831,-145.6436,180.0000,bottom
"U$32","","SFE-NEW-WEB-SOLDERMASK",200.5711,-145.6436,180.0000,bottom
"U$33","","SFE-LOGO-FLAME",193.5861,-143.1036,180.0000,bottom
