"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$31,U$13,U$70,U$27,U$51,U$16,U$12,U$14,U$50,U$45,U$29,U$39,U$54,U$48,U$68,U$61,U$43,U$59,U$2,U$55,U$20,U$10,U$5,U$38,U$15,U$17,U$46,U$35,U$62,U$41,U$18,U$64,U$63,U$28,U$53,U$47,U$7,U$52,U$19,U$37,U$22,U$34,U$1,U$11,U$49,U$23,U$67,U$44,U$33,U$32,U$4,U$25,U$66,U$42,U$57,U$24,U$3,U$30,U$58,U$69,U$60,U$26,U$36,U$9,U$6,U$40,U$65,U$8,U$21,U$56";"STAND-OFF-TIGHT";70;"";;;
2;"R104,R22,R19,R29,R89,R91,R95,R52,R82,R49,R44,R26,R55,R80,R65,R56,R64,R62,R103,R46,R32,R70,R98,R13,R35,R25,R53,R2,R28,R7,R50,R68,R83,R92,R11,R8,R79,R43,R34,R67,R17,R38,R23,R94,R1,R14,R97,R47,R37,R100,R85,R10,R4,R71,R41,R58,R16,R20,R77,R59,R5,R61,R101,R73,R88,R31,R74,R40,R86,R76";"0603-RES";70;"DNP";;;
3;"JP57,JP33,JP31,JP2,JP45,JP7,JP69,JP15,JP35,JP19,JP37,JP47,JP9,JP53,JP29,JP63,JP4,JP67,JP27,JP11,JP51,JP13,JP39,JP55,JP23,JP1,JP49,JP43,JP59,JP61,JP41,JP17,JP21,JP65,JP25";"1X07";35;"";;;
4;"SJ8,SJ7,SJ3,SJ4,SJ2,SJ19,SJ26,SJ25,SJ24,SJ14,SJ32,SJ23,SJ12,SJ31,SJ15,SJ30,SJ18,SJ22,SJ28,SJ6,SJ13,SJ10,SJ29,SJ33,SJ21,SJ9,SJ34,SJ20,SJ5,SJ16,SJ35,SJ11,SJ27,SJ1,SJ17";"SJ_3_PASTE1&2";35;"";;;
5;"C115,C63,C119,C42,C18,C43,C135,C79,C110,C30,C114,C86,C38,C118,C107,C127,C102,C14,C50,C83,C62,C78,C82,C39,C98,C67,C75,C126,C35,C131,C71,C123,C6,C55,C91,C27,C11,C26,C23,C34,C7,C74,C58,C90,C111,C22,C99,C94,C59,C139,C15,C10,C87,C46,C54,C138,C130,C2,C134,C31,C3,C106,C19,C66,C122,C47,C95,C70,C51,C103";"0603-CAP";70;"0.1uF";;;
6;"C65,C33,C93,C37,C49,C21,C105,C57,C17,C81,C113,C89,C85,C101,C25,C9,C117,C77,C69,C53,C109,C1,C5,C29,C97,C125,C13,C137,C41,C73,C121,C61,C133,C129,C45";"0603-CAP";35;"2.2nF";;;
7;"FID30,FID70,FID51,FID19,FID13,FID66,FID48,FID63,FID42,FID64,FID25,FID22,FID28,FID59,FID21,FID40,FID17,FID38,FID55,FID27,FID58,FID3,FID49,FID16,FID10,FID44,FID52,FID68,FID36,FID34,FID57,FID20,FID15,FID43,FID67,FID1,FID61,FID24,FID37,FID54,FID2,FID4,FID8,FID53,FID26,FID69,FID45,FID11,FID12,FID31,FID5,FID18,FID23,FID7,FID65,FID29,FID9,FID41,FID32,FID60,FID62,FID56,FID46,FID50,FID35,FID6,FID47,FID14,FID39,FID33";"MICRO-FIDUCIAL";70;"FIDUCIALUFIDUCIAL";;;
8;"R63,R87,R36,R39,R6,R60,R51,R45,R48,R54,R57,R84,R105,R81,R102,R66,R30,R93,R24,R15,R12,R96,R72,R78,R27,R3,R9,R42,R33,R75,R21,R99,R18,R90,R69";"0603-RES";35;"10K";;;
9;"C120,C68,C32,C112,C108,C28,C52,C20,C44,C36,C56,C12,C100,C84,C80,C116,C24,C104,C40,C132,C48,C4,C8,C60,C128,C64,C88,C76,C136,C96,C140,C16,C124,C72,C92";"0603-CAP";35;"10nF";;;
10;"U4,U25,U1,U11,U30,U35,U3,U24,U29,U16,U33,U18,U15,U19,U32,U8,U14,U20,U31,U26,U21,U23,U9,U27,U10,U28,U5,U6,U22,U2,U12,U7,U34,U13,U17";"QFN-24_ITG3200_1_1";35;"ITG-32001:1";;;
11;"E$4,E$5";"FIDUCIAL-1X2";2;"";;;
12;"E$1";"FIDUCIAL-1.5X3";1;"";;;
13;"LOGO32,LOGO20,LOGO46,LOGO34,LOGO62,LOGO28,LOGO14,LOGO4,LOGO44,LOGO70,LOGO26,LOGO36,LOGO12,LOGO38,LOGO40,LOGO24,LOGO48,LOGO52,LOGO6,LOGO66,LOGO18,LOGO42,LOGO50,LOGO54,LOGO64,LOGO10,LOGO60,LOGO2,LOGO68,LOGO16,LOGO22,LOGO8,LOGO58,LOGO56,LOGO30";"SFE-LOGO-FLAME";35;"LOGO-SFESK";;;
14;"LOGO61,LOGO57,LOGO55,LOGO13,LOGO39,LOGO69,LOGO23,LOGO11,LOGO47,LOGO49,LOGO31,LOGO19,LOGO45,LOGO67,LOGO17,LOGO27,LOGO53,LOGO1,LOGO43,LOGO9,LOGO5,LOGO41,LOGO35,LOGO3,LOGO21,LOGO29,LOGO59,LOGO33,LOGO63,LOGO51,LOGO7,LOGO65,LOGO25,LOGO15,LOGO37";"OSHW-LOGO-S";35;"OSHW-LOGOS";;;
15;"JP6,JP5,JP44,JP52,JP10,JP3,JP8,JP68,JP60,JP12,JP66,JP54,JP14,JP38,JP32,JP28,JP56,JP58,JP16,JP26,JP40,JP24,JP70,JP62,JP50,JP22,JP64,JP20,JP34,JP18,JP46,JP48,JP36,JP42,JP30";"SJ_2S-NO";35;"";;;
