"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP10,JP109,JP32,JP90,JP61,JP19,JP75,JP79,JP30,JP78,JP16,JP12,JP7,JP74,JP94,JP88,JP67,JP95,JP62,JP11,JP91,JP8,JP21,JP48,JP104,JP5,JP18,JP38,JP31,JP66,JP49,JP37,JP72,JP76,JP81,JP92,JP35,JP63,JP73,JP80,JP46,JP93,JP103,JP17,JP20,JP52,JP45,JP39,JP50,JP47,JP59,JP34,JP108,JP24,JP51,JP36,JP1,JP105,JP106,JP6,JP87,JP33,JP4,JP22,JP101,JP86,JP25,JP23,JP44,JP102,JP64,JP100,JP53,JP60,JP89,JP77,JP65,JP9,JP58,JP107";"1X01_LONGPAD";80;"";;;
2;"JP43,JP26,JP2,JP99,JP40,JP68,JP110,JP82,JP57,JP13,JP15,JP71,JP54,JP85,JP96,JP29";"1X06-SMD";16;"RA 6Pin SMD";;;
3;"R11,R53,R24,R56,R33,R28,R32,R15,R12,R61,R51,R13,R50,R25,R43,R6,R39,R55,R22,R48,R8,R31,R1,R54,R23,R21,R59,R34,R62,R27,R19,R60,R17,R3,R10,R46,R41,R36,R7,R49,R9,R16,R20,R2,R40,R29,R30,R63,R14,R57,R45,R37,R35,R26,R38,R58,R64,R42,R47,R44,R5,R4,R18,R52";"0603-RES";64;"15";;;
4;"U6,U5,U2,U4,U3,U1,U7,U8";"SO016";8;"TPIC6C596";;;
5;"FID5,FID12,FID6,FID1,FID4,FID11,FID8,FID10,FID2,FID15,FID9,FID7,FID3,FID14,FID13,FID16";"FIDUCIAL-1X2";16;"FIDUCIAL1X2";;;
6;"JP98,JP111,JP14,JP28,JP70,JP27,JP3,JP112,JP69,JP55,JP97,JP41,JP84,JP83,JP42,JP56";"1X01_LONGPAD";16;"Anchor";;;
7;"LOGO10,LOGO8,LOGO1,LOGO6,LOGO12,LOGO16,LOGO14,LOGO4";"SFE_LOGO_NAME_FLAME_.1";8;"SFE_LOGO_NAME_FLAME.1_INCH";;;
8;"E$1";"FIDUCIAL-1.5X3";1;"";;;
9;"E$4,E$5";"FIDUCIAL-1X2";2;"";;;
10;"LOGO9,LOGO3,LOGO5,LOGO7,LOGO15,LOGO11,LOGO2,LOGO13";"OSHW-LOGO-S";8;"OSHW-LOGOS";;;
