"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y2";"CRYSTAL-SMD-5X3";1;"12.288MHz";;;
2;"ST10";"PETAL-LONG-1-2SIDE";1;"VIN";;;
3;"ST2";"PETAL-LONG-1-2SIDE";1;"TRIG3/SCL";;;
4;"JP3";"1X02";1;"POWER";;;
5;"TP10";"1X01NS";1;"3.3V";;;
6;"C29,C28,C26,C27,C13,C3";"0402-CAP";6;"1uF";;;
7;"R8,R9,R26,R24,R25";"0402-RES";5;"330";;;
8;"ST1";"PETAL-LONG-1-2SIDE";1;"TRIG2/SDA";;;
9;"R14,R16,R5,R7,R15,R6,R13";"0402-RES";7;"100k";;;
10;"C20,C8,C19,C4,C21,C24,C6,C1,C23,C18,C25";"0402-CAP";11;"0.1uF";;;
11;"TP8";"1X01NS";1;"SPKR-";;;
12;"D1";"SOD-523";1;"";;;
13;"U1";"TQFP32-08";1;"ATMEGA328";;;
14;"R3,R22";"0402-RES";2;"10K";;;
15;"U$12";"CREATIVE_COMMONS";1;"CREATIVE_COMMONS";;;
16;"S2";"ENCODER_LED_3";1;"EC12PLRGBSDVBF-D";;;
17;"R11,R10";"0402-RES";2;"20";;;
18;"C17";"0402-CAP";1;"470pF";;;
19;"C5,C22,C7";"EIA3216";3;"10uF";;;
20;"ST9";"PETAL-LONG-1-2SIDE";1;"3.3V";;;
21;"S1";"AYZ0202";1;"POWER";;;
22;"R21,R1";"0402-RES";2;"2K";;;
23;"U$1";"LOGO-LILYPAD";1;"LOGO-LPLP";;;
24;"C16";"0402-CAP";1;"47nF";;;
25;"LED1";"LED-0603";1;"RED";;;
26;"R20,R2";"0402-RES";2;"1K";;;
27;"L3,L1,L2,L4";"0805";4;"";;;
28;"LED2";"LED-0603";1;"YELLOW";;;
29;"C10,C9";"0402-CAP";2;"4.7uF";;;
30;"C2";"EIA3528";1;"47uF";;;
31;"Y1";"RESONATOR-SMD";1;"8MHz";;;
32;"U6";"QFN-20-0.5MM";1;"TPA2016D2RTJ";;;
33;"U5";"SC70";1;"SP6214 1.8V";;;
34;"R12";"0402-RES";1;"10";;;
35;"TP11";"1X01NS";1;"VIN";;;
36;"LOGO1,LOGO3";"SFE-LOGO-FLAME";2;"LOGO-SFESK";;;
37;"ST11";"PETAL-LONG-1-2SIDE";1;"GND";;;
38;"ST5";"PETAL-LONG-1-2SIDE";1;"SPKL-";;;
39;"ST7";"PETAL-LONG-1-2SIDE";1;"SPKR-";;;
40;"R18,R19";"0402-RES";2;"4.7K";;;
41;"SJ1,SJ2,SJ5,SJ4,SJ3";"SJ_2S-NO";5;"";;;
42;"ST8";"PETAL-LONG-1-2SIDE";1;"SPKR+";;;
43;"R4";"0402-RES";1;"1M";;;
44;"C30,C33,C31,C32";"0402-CAP";4;"1nF";;;
45;"TP4";"1X01NS";1;"TRIG4/TXO";;;
46;"U3";"SOT23-5";1;"MIC5219 3.3V";;;
47;"JP2";"1X06-SMD";1;"FTDI";;;
48;"TP6";"1X01NS";1;"SPKL-";;;
49;"TP3";"1X01NS";1;"TRIG3/SCL";;;
50;"C15,C14";"0402-CAP";2;"10nF";;;
51;"TP9";"1X01NS";1;"SPKR+";;;
52;"JP7,JP8";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
53;"TP7";"1X01NS";1;"SPKL+";;;
54;"JP1";"JST-2-SMD";1;"LiPo";;;
55;"R1X0";"AXIAL-0.3";1;"DNP";;;
56;"ST4";"PETAL-LONG-1-2SIDE";1;"TRIG5/RXI";;;
57;"TP1";"1X01NS";1;"TRIG1";;;
58;"TP12";"1X01NS";1;"GND";;;
59;"C11,C12";"0402-CAP";2;"22pF";;;
60;"ST12";"PETAL-LONG-1-2SIDE";1;"TRIG1";;;
61;"U7";"MICRO-SD-SOCKET-PP";1;"USD-SOCKET";;;
62;"U2";"SOT23-5";1;"MCP73831";;;
63;"JP6";"SFE-NEW-WEB";1;"LOGO-SFENW2";;;
64;"U4";"LQFP-48";1;"VS1053";;;
65;"JP4";"2X3-NS";1;"PROG";;;
66;"TP5";"1X01NS";1;"TRIG5/RXI";;;
67;"TP2";"1X01NS";1;"TRIG2/SDA";;;
68;"ST6";"PETAL-LONG-1-2SIDE";1;"SPKL+";;;
69;"ST3";"PETAL-LONG-1-2SIDE";1;"TRIG4/TXO";;;
70;"JP5";"AUDIO-JACK-3.5MM-SMD";1;"HEADPHONE";;;
71;"LOGO2";"SFE-NEW-WEBLOGO";1;"LOGO-SFENEW";;;
72;"U$4";"OSHW-LOGO-M";1;"OSHW-LOGOM";;;
73;"TP13";"PAD.03X.05";1;"DTR";;;
74;"TP14";"PAD.03X.05";1;"1.8V";;;
