"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"0402";1;"0.1uF";;;
2;"C2";"0603";1;"10uF";;;
3;"R3,R4";"0603";2;"10k";;;
4;"LOGO1,LOGO2";"SFE_LOGO_FLAME_.1";2;"SFE_LOGO_FLAME.1_INCH";;;
5;"JP6,JP2";"MICRO-FIDUCIAL";2;"FIDUCIALUFIDUCIAL";;;
6;"R2,R1";"0603";2;"4.7k";;;
7;"J2,J1";"1X06_NO_SILK";2;"";;;
8;"JP3,JP4";"STAND-OFF";2;"STAND-OFF";;;
9;"FRAME2";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
10;"U1";"LGA-16-3X3";1;"LIS3DH";;;
11;"SJ2";"PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";1;"";;;
12;"U$1";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
13;"SJ1";"SJ_2S-NO";1;"";;;
