Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","","1X06",107.6071,-156.3116,180.0000,bottom
"JP2","","1X06",94.9071,-146.1516,0.0000,bottom
"JP5","","1X06",123.3551,-156.3116,180.0000,bottom
"JP6","","1X06",110.6551,-146.1516,0.0000,bottom
"JP9","","1X06",139.1031,-156.3116,180.0000,bottom
"JP10","","1X06",126.4031,-146.1516,0.0000,bottom
"JP13","","1X06",154.8511,-156.3116,180.0000,bottom
"JP14","","1X06",142.1511,-146.1516,0.0000,bottom
"JP17","","1X06",170.5991,-156.3116,180.0000,bottom
"JP18","","1X06",157.8991,-146.1516,0.0000,bottom
"JP21","","1X06",186.3471,-156.3116,180.0000,bottom
"JP22","","1X06",173.6471,-146.1516,0.0000,bottom
"JP25","","1X06",202.0951,-156.3116,180.0000,bottom
"JP26","","1X06",189.3951,-146.1516,0.0000,bottom
"JP29","","1X06",107.6071,-143.1036,180.0000,bottom
"JP30","","1X06",94.9071,-132.9436,0.0000,bottom
"JP33","","1X06",123.3551,-143.1036,180.0000,bottom
"JP34","","1X06",110.6551,-132.9436,0.0000,bottom
"JP37","","1X06",139.1031,-143.1036,180.0000,bottom
"JP38","","1X06",126.4031,-132.9436,0.0000,bottom
"JP41","","1X06",154.8511,-143.1036,180.0000,bottom
"JP42","","1X06",142.1511,-132.9436,0.0000,bottom
"JP45","","1X06",170.5991,-143.1036,180.0000,bottom
"JP46","","1X06",157.8991,-132.9436,0.0000,bottom
"JP49","","1X06",186.3471,-143.1036,180.0000,bottom
"JP50","","1X06",173.6471,-132.9436,0.0000,bottom
"JP53","","1X06",202.0951,-143.1036,180.0000,bottom
"JP54","","1X06",189.3951,-132.9436,0.0000,bottom
"JP57","","1X06",107.6071,-129.8956,180.0000,bottom
"JP58","","1X06",94.9071,-119.7356,0.0000,bottom
"JP61","","1X06",123.3551,-129.8956,180.0000,bottom
"JP62","","1X06",110.6551,-119.7356,0.0000,bottom
"JP65","","1X06",139.1031,-129.8956,180.0000,bottom
"JP66","","1X06",126.4031,-119.7356,0.0000,bottom
"JP69","","1X06",154.8511,-129.8956,180.0000,bottom
"JP70","","1X06",142.1511,-119.7356,0.0000,bottom
