Ref,Val,Package,PosX,PosY,Rot,Side
"LOGO1","OSHW-LOGOS","OSHW-LOGO-S",95.5421,-122.9741,90.0000,bottom
"LOGO2","LOGO-SFENW2","SFE-NEW-WEB",101.5746,-137.2616,90.0000,bottom
"LOGO3","LOGO-SFESK","SFE-LOGO-FLAME",102.5271,-124.5616,90.0000,bottom
"LOGO4","LOGO-SFESK","SFE-LOGO-FLAME",118.2751,-124.5616,90.0000,bottom
"LOGO5","OSHW-LOGOS","OSHW-LOGO-S",111.2901,-122.9741,90.0000,bottom
"LOGO6","LOGO-SFENW2","SFE-NEW-WEB",117.3226,-137.2616,90.0000,bottom
"LOGO7","LOGO-SFESK","SFE-LOGO-FLAME",134.0231,-124.5616,90.0000,bottom
"LOGO8","OSHW-LOGOS","OSHW-LOGO-S",127.0381,-122.9741,90.0000,bottom
"LOGO9","LOGO-SFENW2","SFE-NEW-WEB",133.0706,-137.2616,90.0000,bottom
"LOGO10","LOGO-SFESK","SFE-LOGO-FLAME",149.7711,-124.5616,90.0000,bottom
"LOGO11","OSHW-LOGOS","OSHW-LOGO-S",142.7861,-122.9741,90.0000,bottom
"LOGO12","LOGO-SFENW2","SFE-NEW-WEB",148.8186,-137.2616,90.0000,bottom
"LOGO13","LOGO-SFESK","SFE-LOGO-FLAME",165.5191,-124.5616,90.0000,bottom
"LOGO14","OSHW-LOGOS","OSHW-LOGO-S",158.5341,-122.9741,90.0000,bottom
"LOGO15","LOGO-SFENW2","SFE-NEW-WEB",164.5666,-137.2616,90.0000,bottom
"LOGO16","LOGO-SFESK","SFE-LOGO-FLAME",181.2671,-124.5616,90.0000,bottom
"LOGO17","OSHW-LOGOS","OSHW-LOGO-S",174.2821,-122.9741,90.0000,bottom
"LOGO18","LOGO-SFENW2","SFE-NEW-WEB",180.3146,-137.2616,90.0000,bottom
"LOGO19","LOGO-SFESK","SFE-LOGO-FLAME",197.0151,-124.5616,90.0000,bottom
"LOGO20","OSHW-LOGOS","OSHW-LOGO-S",190.0301,-122.9741,90.0000,bottom
"LOGO21","LOGO-SFENW2","SFE-NEW-WEB",196.0626,-137.2616,90.0000,bottom
"LOGO22","LOGO-SFESK","SFE-LOGO-FLAME",102.5271,-93.5736,90.0000,bottom
"LOGO23","OSHW-LOGOS","OSHW-LOGO-S",95.5421,-91.9861,90.0000,bottom
"LOGO24","LOGO-SFENW2","SFE-NEW-WEB",101.5746,-106.2736,90.0000,bottom
"LOGO25","LOGO-SFESK","SFE-LOGO-FLAME",118.2751,-93.5736,90.0000,bottom
"LOGO26","OSHW-LOGOS","OSHW-LOGO-S",111.2901,-91.9861,90.0000,bottom
"LOGO27","LOGO-SFENW2","SFE-NEW-WEB",117.3226,-106.2736,90.0000,bottom
"LOGO28","LOGO-SFESK","SFE-LOGO-FLAME",134.0231,-93.5736,90.0000,bottom
"LOGO29","OSHW-LOGOS","OSHW-LOGO-S",127.0381,-91.9861,90.0000,bottom
"LOGO30","LOGO-SFENW2","SFE-NEW-WEB",133.0706,-106.2736,90.0000,bottom
"LOGO31","LOGO-SFESK","SFE-LOGO-FLAME",149.7711,-93.5736,90.0000,bottom
"LOGO32","OSHW-LOGOS","OSHW-LOGO-S",142.7861,-91.9861,90.0000,bottom
"LOGO33","LOGO-SFENW2","SFE-NEW-WEB",148.8186,-106.2736,90.0000,bottom
"LOGO34","LOGO-SFESK","SFE-LOGO-FLAME",165.5191,-93.5736,90.0000,bottom
"LOGO35","OSHW-LOGOS","OSHW-LOGO-S",158.5341,-91.9861,90.0000,bottom
"LOGO36","LOGO-SFENW2","SFE-NEW-WEB",164.5666,-106.2736,90.0000,bottom
"LOGO37","LOGO-SFESK","SFE-LOGO-FLAME",181.2671,-93.5736,90.0000,bottom
"LOGO38","OSHW-LOGOS","OSHW-LOGO-S",174.2821,-91.9861,90.0000,bottom
"LOGO39","LOGO-SFENW2","SFE-NEW-WEB",180.3146,-106.2736,90.0000,bottom
