"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C164,C17,C73,C120,C10,C115,C47,C148,C149,C91,C80,C159,C7,C116,C32,C21,C50,C124,C104,C94,C170,C131,C172,C146,C126,C69,C105,C142,C93,C168,C65,C150,C113,C25,C27,C82,C39,C62,C84,C109,C153,C28,C58,C54,C95,C38,C106,C71,C3,C72,C157,C83,C139,C102,C16,C160,C117,C61,C6,C98,C29,C5,C76,C137,C175,C40,C161,C87,C138,C43,C135,C127,C171,C128,C60,C36,C51,C14,C49,C18,C30,C162,C52,C19,C63,C85,C173,C41,C9,C151,C140,C129,C96,C118,C74,C107";"0402-TIGHT";96;"0.1uF";;;
2;"L11,L1,L16,L10,L2,L8,L14,L4,L13,L3,L6,L7,L12,L5,L15,L9";"0402-TIGHT";16;"30Ω";;;
3;"FD44,FD21,FD40,FD12,FD32,FD28,FD1,FD25,FD16,FD17,FD56,FD61,FD60,FD49,FD4,FD48,FD64,FD36,FD5,FD24,FD52,FD41,FD37,FD8,FD29,FD53,FD20,FD9,FD45,FD33,FD13,FD57,FD55,FD15,FD47,FD14,FD10,FD11,FD59,FD19,FD42,FD54,FD7,FD39,FD22,FD26,FD58,FD51,FD63,FD6,FD31,FD50,FD23,FD2,FD46,FD34,FD27,FD3,FD38,FD43,FD35,FD30,FD18,FD62";"FIDUCIAL-MICRO";64;"FIDUCIALUFIDUCIAL";;;
4;"C155,C13,C12,C46,C166,C56,C45,C34,C156,C90,C133,C35,C167,C24,C68,C89,C1,C112,C67,C78,C100,C111,C134,C145,C101,C144,C2,C57,C79,C123,C122,C23";"0402-TIGHT";32;"15pF";;;
5;"U20,U4,U28,U2,U22,U8,U32,U12,U24,U18,U30,U26,U16,U14,U6,U10";"TQFP64";16;"ATSAMD51J20A-A";;;
6;"U$59,U$17,U$77,U$83,U$35,U$11,U$71,U$89,U$41,U$95,U$65,U$53,U$23,U$47,U$29,U$1";"MICROMOD_MI_LOGO_.35";16;"";;;
7;"C92,C136,C169,C53,C119,C81,C163,C158,C125,C130,C31,C141,C59,C20,C37,C64,C114,C108,C147,C4,C75,C42,C174,C26,C103,C97,C8,C152,C86,C70,C15,C48";"0402-TIGHT";32;"10uF";;;
8;"Y15,Y10,Y8,Y12,Y2,Y13,Y5,Y1,Y3,Y6,Y16,Y9,Y4,Y7,Y14,Y11";"CRYSTAL-SMD-3.2X1.5MM";16;"32.768kHz";;;
9;"C143,C99,C88,C154,C176,C165,C44,C66,C132,C33,C11,C22,C121,C77,C110,C55";"0402-TIGHT";16;"4.7uF";;;
10;"U$69,U$87,U$27,U$93,U$15,U$81,U$51,U$45,U$57,U$7,U$21,U$39,U$63,U$9,U$33,U$75";"SFE_LOGO_FLAME_.1";16;"";;;
11;"J1,J12,J13,J8,J3,J14,J4,J6,J10,J15,J16,J11,J2,J5,J7,J9";"M.2-CARD-E-22";16;"MICROMOD-2222";;;
12;"D9,D7,D13,D11,D27,D23,D21,D31,D25,D17,D19,D29,D1,D5,D2,D15";"LED-0603";16;"BLUE";;;
13;"U$3,U$50,U$38,U$14,U$26,U$6,U$62,U$86,U$56,U$20,U$80,U$68,U$44,U$74,U$92,U$32,U$91,U$73,U$5,U$67,U$13,U$61,U$25,U$49,U$79,U$2,U$55,U$85,U$43,U$19,U$37,U$31";"SAMD510";32;"";;;
14;"U$70,U$88,U$22,U$82,U$52,U$10,U$8,U$34,U$94,U$28,U$58,U$40,U$46,U$64,U$76,U$16";"STAT0";16;"";;;
15;"E$3,E$1,E$4,E$2";"FIDUCIAL-1X2";4;"";;;
16;"E$5,E$6";"FIDUCIAL-1.5X3";2;"";;;
17;"R38,R42,R46,R10,R31,R11,R7,R15,R62,R47,R43,R50,R27,R35,R59,R14,R26,R3,R19,R30,R6,R34,R23,R58,R51,R2,R18,R63,R55,R39,R22,R54";"0402-TIGHT";32;"1k";;;
18;"U$18,U$60,U$90,U$84,U$4,U$12,U$48,U$30,U$72,U$96,U$66,U$54,U$24,U$42,U$36,U$78";"MICROMOD_LOGO_.35";16;"";;;
19;"R61,R13,R49,R17,R33,R9,R53,R45,R5,R37,R29,R1,R41,R21,R57,R25";"0402-TIGHT";16;"10k";;;
20;"LOGO30,LOGO12,LOGO32,LOGO14,LOGO3,LOGO5,LOGO20,LOGO24,LOGO10,LOGO22,LOGO18,LOGO16,LOGO28,LOGO8,LOGO26,LOGO6";"SFE_LOGO_NAME_.1";16;"SFE_LOGO_NAME.1_INCH";;;
21;"D8,D28,D14,D3,D26,D12,D6,D22,D16,D24,D20,D18,D30,D32,D10,D4";"SOD-323";16;"1A/23V/620mV";;;
22;"R48,R44,R4,R40,R16,R28,R8,R60,R12,R56,R64,R52,R36,R24,R32,R20";"0402-TIGHT";16;"100k";;;
23;"LOGO1,LOGO31,LOGO2,LOGO4,LOGO23,LOGO25,LOGO11,LOGO29,LOGO9,LOGO7,LOGO19,LOGO15,LOGO17,LOGO27,LOGO13,LOGO21";"OSHW-LOGO-MINI";16;"OSHW-LOGOMINI";;;
24;"U9,U13,U21,U7,U25,U11,U23,U27,U15,U17,U29,U31,U1,U19,U3,U5";"WSON-8-6X5-NO_CENTERPAD";16;"W25QXX128MBIT-6X5-NO_CENTER";;;
