"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D12,D5,D14,D16,D10,D7,D9,D2,D11,D1,D8,D4,D3,D13,D15,D6";"LED-0603";16;"BLUE";;;
2;"U$67,U$25,U$8,U$60,U$46,U$102,U$39,U$88,U$32,U$9,U$18,U$53,U$95,U$81,U$109,U$74,U$14,U$63,U$35,U$70,U$105,U$56,U$28,U$21,U$91,U$84,U$49,U$112,U$77,U$98,U$4,U$42";"RP20400";32;"";;;
3;"C130,C193,C226,C98,C194,C241,C225,C161,C210,C242,C11,C145,C66,C13,C17,C146,C65,C49,C33,C209,C34,C81,C129,C177,C114,C162,C82,C50,C178,C97,C16,C113";"0402-TIGHT";32;"15pF";;;
4;"R65,R128,R74,R38,R73,R92,R119,R37,R46,R110,R3,R136,R56,R101,R109,R20,R28,R64,R91,R1,R118,R19,R82,R8,R127,R100,R137,R6,R55,R83,R29,R47,R21,R48,R129,R117,R102,R45,R39,R66,R57,R144,R7,R99,R90,R27,R138,R54,R72,R111,R9,R36,R135,R81,R18,R63,R75,R30,R108,R84,R120,R17,R126,R93";"0402-TIGHT";64;"1k";;;
5;"FD37,FD53,FD62,FD21,FD58,FD10,FD30,FD2,FD9,FD14,FD49,FD46,FD57,FD34,FD13,FD50,FD54,FD18,FD42,FD41,FD29,FD25,FD22,FD26,FD45,FD6,FD38,FD61,FD5,FD17,FD1,FD33,FD28,FD7,FD40,FD12,FD24,FD15,FD23,FD47,FD20,FD56,FD8,FD52,FD19,FD31,FD39,FD63,FD59,FD32,FD51,FD48,FD44,FD43,FD3,FD27,FD60,FD36,FD64,FD11,FD4,FD16,FD35,FD55";"FIDUCIAL-MICRO";64;"FIDUCIALUFIDUCIAL";;;
6;"LOGO39,LOGO24,LOGO27,LOGO30,LOGO48,LOGO42,LOGO12,LOGO2,LOGO18,LOGO45,LOGO6,LOGO33,LOGO21,LOGO36,LOGO9,LOGO15";"SFE_LOGO_FLAME_.1";16;"SFE_LOGO_FLAME.1_INCH";;;
7;"J2,J8,J13,J9,J5,J12,J1,J16,J15,J7,J6,J10,J14,J4,J11,J3";"M.2-CARD-E-22";16;"MICROMOD-2222";;;
8;"U$31,U$87,U$101,U$45,U$6,U$59,U$17,U$52,U$66,U$11,U$94,U$38,U$73,U$108,U$80,U$24";"STAT0";16;"";;;
9;"U$92,U$43,U$1,U$15,U$71,U$2,U$99,U$22,U$57,U$29,U$36,U$64,U$78,U$106,U$50,U$85,U$65,U$44,U$86,U$51,U$7,U$16,U$100,U$93,U$72,U$30,U$107,U$5,U$23,U$79,U$37,U$58";"MICROMOD_MI_LOGO_.35";32;"";;;
10;"Y15,Y14,Y3,Y16,Y11,Y12,Y7,Y8,Y6,Y5,Y9,Y13,Y4,Y1,Y2,Y10";"CRYSTAL-SMD-2X2.5MM";16;"12MHz";;;
11;"C189,C77,C221,C173,C253,C125,C45,C61,C205,C93,C157,C237,C141,C109,C4,C28,C239,C158,C174,C207,C1,C47,C31,C95,C220,C78,C175,C126,C143,C62,C60,C142,C172,C222,C204,C111,C238,C110,C223,C108,C46,C3,C255,C79,C30,C63,C76,C254,C252,C27,C236,C206,C140,C127,C124,C188,C190,C159,C94,C156,C15,C92,C191,C44";"0402-TIGHT";64;"2.2uF";;;
12;"C229,C85,C69,C37,C101,C213,C165,C181,C20,C149,C245,C133,C6,C53,C197,C117,C233,C138,C186,C240,C26,C42,C250,C99,C36,C70,C100,C90,C167,C201,C248,C64,C168,C152,C84,C216,C202,C83,C166,C227,C19,C48,C122,C9,C214,C132,C56,C22,C14,C38,C128,C144,C246,C12,C71,C247,C228,C41,C139,C32,C39,C169,C116,C230,C24,C147,C187,C67,C199,C120,C208,C198,C88,C163,C176,C51,C105,C91,C179,C102,C40,C231,C218,C5,C211,C55,C80,C29,C54,C215,C137,C68,C35,C200,C23,C184,C251,C96,C150,C57,C134,C2,C73,C192,C154,C86,C112,C256,C8,C115,C180,C160,C18,C183,C219,C7,C170,C59,C87,C136,C171,C121,C232,C107,C131,C118,C25,C75,C104,C151,C72,C89,C182,C148,C123,C217,C103,C43,C244,C52,C155,C224,C196,C58,C234,C21,C74,C185,C249,C164,C119,C203,C106,C10,C195,C135,C243,C153,C212,C235";"0402-TIGHT";160;"0.1uF";;;
13;"U16,U4,U43,U25,U3,U19,U7,U37,U13,U10,U34,U22,U46,U31,U40,U28";"QFN-56";16;"RP2040";;;
14;"U$68,U$40,U$47,U$96,U$19,U$33,U$10,U$75,U$61,U$103,U$82,U$12,U$110,U$26,U$89,U$54,U$83,U$62,U$27,U$41,U$76,U$55,U$13,U$97,U$111,U$20,U$48,U$3,U$90,U$34,U$104,U$69";"MICROMOD_LOGO_.3";32;"";;;
15;"E$1,E$3,E$2,E$4";"FIDUCIAL-1X2";4;"";;;
16;"E$5,E$6";"FIDUCIAL-1.5X3";2;"";;;
17;"R60,R33,R2,R69,R105,R141,R96,R42,R14,R78,R123,R51,R114,R132,R87,R24";"0402-TIGHT";16;"200OHM-0402T-1/16W-1%";;;
18;"R104,R140,R50,R68,R85,R31,R95,R113,R23,R121,R58,R67,R32,R86,R76,R112,R94,R10,R11,R77,R103,R130,R12,R139,R59,R22,R122,R40,R49,R131,R41,R13";"0402-TIGHT";32;"27";;;
19;"R115,R142,R5,R107,R70,R26,R43,R106,R53,R44,R124,R62,R52,R89,R80,R88,R4,R61,R97,R134,R25,R15,R133,R98,R79,R143,R35,R116,R125,R71,R34,R16";"0402-TIGHT";32;"10k";;;
20;"U42,U27,U9,U18,U15,U12,U24,U48,U39,U30,U45,U21,U36,U2,U6,U33";"MSOP10";16;"FSUSB30MUX_MSOP10";;;
21;"LOGO31,LOGO10,LOGO46,LOGO22,LOGO16,LOGO28,LOGO37,LOGO13,LOGO3,LOGO19,LOGO7,LOGO34,LOGO40,LOGO43,LOGO25,LOGO4";"OSHW-LOGO-MINI";16;"OSHW-LOGOMINI";;;
22;"LOGO5,LOGO11,LOGO41,LOGO14,LOGO23,LOGO8,LOGO17,LOGO44,LOGO29,LOGO20,LOGO47,LOGO32,LOGO38,LOGO1,LOGO35,LOGO26";"SFE_LOGO_NAME_FLAME_.1";16;"SFE_LOGO_NAME_FLAME.1_INCH";;;
23;"U14,U11,U41,U26,U44,U35,U23,U1,U29,U38,U17,U32,U8,U20,U47,U5";"WSON-8-6X5-SKINNY_CENTERPAD";16;"W25QXX128MBIT";;;
