Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","0805",118.7831,-133.4516,0.0000,top
"C2","10nF","0603",114.7191,-140.4366,-90.0000,top
"C3","22uF","0805",123.2281,-135.3566,0.0000,top
"C4","10nF","0603",123.2281,-131.5466,0.0000,top
"C5","0.1uF","0603",127.6731,-138.5316,90.0000,top
"C6","0.1uF","0603",112.1791,-140.4366,90.0000,top
"C7","0.1uF","0603",116.2431,-152.5016,180.0000,top
"C8","0.1uF","0603",140.6271,-140.4366,90.0000,top
"C9","0.1uF","0603",156.1211,-138.5316,90.0000,top
"C10","22uF","0805",147.2311,-133.4516,0.0000,top
"C11","10nF","0603",143.1671,-140.4366,-90.0000,top
"C12","22uF","0805",151.6761,-135.3566,0.0000,top
"C13","10nF","0603",151.6761,-131.5466,0.0000,top
"C14","0.1uF","0603",144.6911,-152.5016,180.0000,top
"C15","0.1uF","0603",169.0751,-140.4366,90.0000,top
"C16","0.1uF","0603",184.5691,-138.5316,90.0000,top
"C17","22uF","0805",175.6791,-133.4516,0.0000,top
"C18","10nF","0603",171.6151,-140.4366,-90.0000,top
"C19","22uF","0805",180.1241,-135.3566,0.0000,top
"C20","10nF","0603",180.1241,-131.5466,0.0000,top
"C21","0.1uF","0603",173.1391,-152.5016,180.0000,top
"C22","0.1uF","0603",112.1791,-104.3686,90.0000,top
"C23","0.1uF","0603",127.6731,-102.4636,90.0000,top
"C24","22uF","0805",118.7831,-97.3836,0.0000,top
"C25","10nF","0603",114.7191,-104.3686,-90.0000,top
"C26","22uF","0805",123.2281,-99.2886,0.0000,top
"C27","10nF","0603",123.2281,-95.4786,0.0000,top
"C28","0.1uF","0603",116.2431,-116.4336,180.0000,top
"C29","0.1uF","0603",140.6271,-104.3686,90.0000,top
"C30","0.1uF","0603",156.1211,-102.4636,90.0000,top
"C31","22uF","0805",147.2311,-97.3836,0.0000,top
"C32","10nF","0603",143.1671,-104.3686,-90.0000,top
"C33","22uF","0805",151.6761,-99.2886,0.0000,top
"C34","10nF","0603",151.6761,-95.4786,0.0000,top
"C35","0.1uF","0603",144.6911,-116.4336,180.0000,top
"C36","0.1uF","0603",169.0751,-104.3686,90.0000,top
"C37","0.1uF","0603",184.5691,-102.4636,90.0000,top
"C38","22uF","0805",175.6791,-97.3836,0.0000,top
"C39","10nF","0603",171.6151,-104.3686,-90.0000,top
"C40","22uF","0805",180.1241,-99.2886,0.0000,top
