Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,PROD_ID
1,,1UF-25V-10%(0805){dblquote},C2 C3,1uF,0805-CAP,2, ,,
2,,CAP0603-CAP,C4 C6,1uF,0603-CAP,2, ,,CAP-00868
3,,2.2UF-25V-+80/-20(0805),C1,2.2uF,0805-CAP,1, ,,
4,,"4.7UF-16V-20%,+80%-(1206)",C5,4.7uF,1206-CAP,1, ,,CAP-10300
5,,FRAME-LETTER,FRAME1,FRAME-LETTER,CREATIVE_COMMONS,1, ,,
6,,SPARK_PHOTONTEMPLATE_WIDE,JP3,SPARK_PHOTONTEMPLATE_WIDE,SPARK_PHOTON_TEMPLATE_WIDE,1, ,,
7,,OSHW-LOGOS,LOGO3,OSHW-LOGOS,OSHW-LOGO-S,1, ,,
8,,SFE_LOGO_NAME_FLAME.1_INCH,LOGO1 LOGO2,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,2, ,,
9,,OLED0.66,OLED1,OLED0.66,OLED-0.66-64X48,1, ,,LCD-12019
10,,RESISTOR0603-RES,R2,10k,0603-RES,1, ,,RES-00824
11,,10KOHM1/10W1%(0603)0603,R5 R7,10K,0603-RES,2, ,,
12,,RESISTOR0603-RES,R1,390k,0603-RES,1, ,,RES-12024
13,,JUMPER-PAD-2-NC_BY_TRACE,SJ3,JUMPER-PAD-2-NC_BY_TRACE,PAD-JUMPER-2-NC_BY_TRACE_YES_SILK,1, ,,
14,,JUMPER-PAD-2-NOYES_SILK,SJ5,JUMPER-PAD-2-NOYES_SILK,PAD-JUMPER-2-NO_YES_SILK,1, ,,
15,,JUMPER-PAD-3-2OF3_NC_BY_PASTE,SJ1 SJ2,JUMPER-PAD-3-2OF3_NC_BY_PASTE,PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX,2, ,,
16,,JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL,SJ8 SJ10,JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL,PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,2, ,,
17,,JUMPER-PAD-3-NOYES_SILK,SJ4,JUMPER-PAD-3-NOYES_SILK,PAD-JUMPER-3-NO_YES_SILK,1, ,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-12
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,17
Component Count:,23 (0 SMD/ 0 THT)
Fitted Components:,23 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,23
