Ref,Val,Package,PosX,PosY,Rot,Side
"D1","","LED_BARGAPH_10",161.2011,-91.0337,180.0000,top
"FRAME1","FRAME-LETTER","CREATIVE_COMMONS",137.0711,-150.7237,0.0000,top
"JP1","M01PTH","1X01",170.0911,-121.5137,0.0000,top
"JP2","M01PTH","1X01",121.8311,-129.1337,-90.0000,top
"JP3","M01PTH","1X01",145.9611,-121.5137,90.0000,top
"JP4","M01PTH","1X01",121.8311,-110.0837,180.0000,top
"JP5","","1X04",121.8311,-105.0037,90.0000,top
"JP6","","1X04",121.8311,-124.0537,90.0000,top
"JP7","","1X04",145.9611,-116.4337,90.0000,top
"JP8","","1X04",170.0911,-116.4337,90.0000,top
"JP9","LOGO-SFENEW","SFE-NEW-WEBLOGO",131.9911,-122.5297,90.0000,top
"JP11","","1X06",173.9011,-129.1337,180.0000,top
"JP12","","1X08",156.1211,-129.1337,180.0000,top
"JP13","","1X08",156.1211,-80.8737,0.0000,top
"JP14","M10"","1X10",129.4511,-80.8737,0.0000,top
"JP15","","1X04",123.1011,-91.0337,0.0000,top
"R1","330","1_6W-RES",131.9911,-84.6837,180.0000,top
"R2","330","1_6W-RES",140.8811,-99.9237,180.0000,top
"R3","330","1_6W-RES",133.2611,-99.9237,180.0000,top
"R4","330","RPACK-SIP-PTH-5",159.9311,-99.9237,-90.0000,top
"R5","330","RPACK-SIP-PTH-5",176.4411,-99.9237,-90.0000,top
"S1","SWITCH-MOMENTARY-2PTH","TACTILE-PTH",123.6091,-84.6837,180.0000,top
"SG1","BUZZERPTH","BUZZER-12MM",140.8811,-91.0337,0.0000,top
