"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP15,JP35,JP7,JP30,JP55,JP50,JP10,JP45,JP25";"SMT-JUMPER_3_2-NC_PASTE_SILK";9;"";;;
2;"R14,R28,R16,R1,R7,R5,R13,R4,R26,R25,R31,R17,R29,R8,R32,R3,R20,R19";"0603";18;"4.7k";;;
3;"C13,C2,C9,C16,C25,C19,C27,C30,C1,C7,C15,C4,C31,C33,C18,C28,C21,C6";"0603";18;"0.1uF";;;
4;"U10,U6,U7,U9,U1,U3,U2,U11,U5";"QFN-16_0.5MM";9;"MMA8452Q";;;
5;"J38,J10,J42,J3,J26,J6,J22,J34,J18";"1X04_NO_SILK";9;"PTH";;;
6;"C26,C14,C5,C20,C8,C3,C32,C29,C17";"0603";9;"4.7uF";;;
7;"J5,J33,J12,J44,J4,J36,J28,J37,J24,J2,J9,J25,J8,J17,J21,J20,J41,J40";"1X04_1MM_RA";18;"SMD";;;
8;"JP11,JP31,JP1,JP4,JP21,JP22,JP41,JP27,JP3,JP42,JP46,JP26,JP5,JP32,JP52,JP12,JP51,JP47";"STAND-OFF";18;"STAND-OFF";;;
9;"J11,J43,J39,J19,J23,J1,J7,J27,J35";"1X02_NO_SILK";9;"";;;
10;"JP14,JP48,JP8,JP6,JP53,JP33,JP13,JP34,JP44,JP29,JP9,JP28,JP43,JP49,JP54,JP2,JP24,JP23";"MICRO-FIDUCIAL";18;"FIDUCIALUFIDUCIAL";;;
11;"U$3,U$13,U$9,U$5,U$2,U$11,U$19,U$17,U$21,U$18,U$4,U$22,U$1,U$10,U$6,U$14,U$12,U$20";"SPARKX-MEDIUM";18;"SPARKX-LOGO4";;;
12;"R27,R33,R21,R15,R2,R6,R18,R30,R9";"0603";9;"10k";;;
13;"SJ5,SJ9,SJ10,SJ1,SJ11,SJ7,SJ2,SJ6,SJ3";"SJ_2S-NO";9;"";;;
14;"LOGO1,LOGO6,LOGO3,LOGO9,LOGO2,LOGO10,LOGO11,LOGO5,LOGO7";"OSHW-LOGO-MINI";9;"OSHW-LOGOMINI";;;
