"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H1,H2";"STAND-OFF";4;"STAND-OFF";;;
2;"TP5,TP2,TP3,TP4,TP1,TP6";"TP_15TH";6;"";;;
3;"C5,C7,C3,C8";"0402";4;"1.0uF";;;
4;"C9,C6,C2,C4";"0402";4;"0.1uF";;;
5;"U$1";"QWIIC_5MM";1;"QWIIC_LOGO_5MM";;;
6;"FD1,FD3,FD2,FD4";"FIDUCIAL-MICRO";4;"FIDUCIALUFIDUCIAL";;;
7;"U1";"WSON-12";1;"DRV8835";;;
8;"C1";"0805";1;"10uF";;;
9;"J4,J3";"JST04_1MM_RA";2;"Qwiic";;;
10;"U2";"QFN-40";1;"CY8C4245LQI-483";;;
11;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
12;"U$14";"MAX8";1;"";;;
13;"R2,R3";"0603";2;"4.7k";;;
14;"U$13";"11V7";1;"";;;
15;"LOGO2";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
16;"R1";"0603";1;"470";;;
17;"J2";"SCREWTERMINAL-3.5MM-4";1;"Motor Connections";;;
18;"R4,R5";"0603";2;"1";;;
19;"U$15";"VIN6";1;"";;;
20;"U$2";"STAT4";1;"";;;
21;"U$19";"SFE_LOGO_FLAME_.1";1;"";;;
22;"D1";"LED-0603";1;"BLUE";;;
23;"J1";"SCREWTERMINAL-3.5MM-2";1;"Power In";;;
24;"U$16";"I2C0";1;"";;;
25;"JP3,JP1,JP2";"SMT-JUMPER_2_NO_NO-SILK";3;"JUMPER-PAD-2";;;
26;"JP4";"SMT-JUMPER_2_NC_TRACE_NO-SILK";1;"JUMPER-PAD-2";;;
27;"LOGO3";"SFE_LOGO_NAME_.1";1;"SFE_LOGO_NAME.1_INCH";;;
28;"U$8";"38";1;"";;;
29;"U$11";"B112";1;"";;;
30;"U$18";"QWIIC_MOTOR_DRIVER0";1;"";;;
31;"U$4";"VIN2";1;"";;;
32;"U$7";"27";1;"";;;
33;"U$5";"05";1;"";;;
34;"U$10";"A211";1;"";;;
35;"U$17";"PU1";1;"";;;
36;"U$6";"16";1;"";;;
37;"U$12";"B213";1;"";;;
38;"U$9";"A110";1;"";;;
39;"JP6";"SMT-JUMPER_3_2-NC_TRACE_NO-SILK";1;"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";;;
40;"U$3";"GND3";1;"";;;
