"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J75,J37,J145,J103,J7,J129,J87,J115,J121,J151,J85,J43,J81,J153,J109,J141,J61,J79,J9,J39,J21,J49,J19,J111,J135,J163,J51,J127,J55,J25,J13,J165,J139,J133,J63,J105,J91,J69,J123,J157,J147,J31,J93,J4,J33,J57,J67,J97,J117,J159,J73,J2,J45,J27,J99,J15";"1X04_1MM_RA";56;"SMD";;;
2;"R112,R106,R23,R58,R17,R154,R46,R142,R94,R11,R35,R40,R83,R137,R52,R89,R143,R41,R118,R16,R77,R161,R53,R148,R131,R76,R65,R5,R29,R28,R47,R70,R71,R155,R10,R95,R124,R22,R125,R149,R166,R130,R113,R167,R82,R136,R107,R119,R34,R64,R100,R88,R59,R160,R4,R101";"0603";56;"2.2k";;;
3;"R153,R165,R111,R129,R57,R9,R1,R75,R147,R39,R69,R141,R123,R63,R21,R15,R27,R99,R87,R45,R93,R117,R81,R159,R105,R33,R51,R135";"0603";28;"1k";;;
4;"U$18,U$193,U$427,U$85,U$247,U$409,U$139,U$157,U$67,U$481,U$337,U$49,U$301,U$463,U$121,U$283,U$319,U$445,U$211,U$391,U$355,U$175,U$31,U$373,U$499,U$229,U$103,U$265";"OPENLOG0";28;"";;;
5;"U4,U9,U15,U16,U3,U20,U7,U10,U18,U11,U1,U17,U21,U27,U28,U6,U8,U2,U23,U5,U24,U12,U26,U19,U25,U14,U13,U22";"TQFP32-08";28;"ATMEGA328P";;;
6;"Q12,Q9,Q13,Q7,Q14,Q22,Q11,Q27,Q6,Q23,Q17,Q28,Q18,Q24,Q1,Q20,Q16,Q25,Q8,Q3,Q26,Q4,Q21,Q5,Q19,Q10,Q2,Q15";"RESONATOR-SMD";28;"16MHZ";;;
7;"I2C21,I2C4,I2C14,I2C15,I2C10,I2C8,I2C13,I2C26,I2C22,I2C23,I2C0,I2C9,I2C19,I2C18,I2C11,I2C1,I2C16,I2C24,I2C3,I2C25,I2C6,I2C5,I2C7,I2C27,I2C17,I2C12,I2C2,I2C20";"SMT-JUMPER_3_2-NC_TRACE_SILK";28;"";;;
8;"FID85,FID38,FID97,FID1,FID42,FID10,FID93,FID77,FID57,FID66,FID5,FID25,FID109,FID101,FID34,FID89,FID54,FID81,FID17,FID30,FID98,FID106,FID21,FID45,FID58,FID86,FID69,FID61,FID74,FID2,FID62,FID105,FID14,FID33,FID22,FID9,FID18,FID37,FID6,FID94,FID73,FID102,FID41,FID82,FID13,FID65,FID50,FID78,FID29,FID46,FID70,FID110,FID26,FID53,FID49,FID90,FID112,FID19,FID67,FID83,FID108,FID4,FID79,FID20,FID72,FID55,FID100,FID40,FID8,FID60,FID71,FID44,FID84,FID47,FID63,FID39,FID24,FID64,FID43,FID7,FID48,FID92,FID31,FID103,FID52,FID95,FID56,FID75,FID107,FID88,FID87,FID68,FID96,FID23,FID11,FID36,FID59,FID35,FID28,FID51,FID27,FID76,FID111,FID91,FID12,FID80,FID104,FID16,FID15,FID3,FID32,FID99";"FIDUCIAL-MICRO";112;"FIDUCIALUFIDUCIAL";;;
9;"D52,D20,D42,D44,D1,D22,D48,D8,D4,D46,D24,D56,D38,D30,D10,D18,D16,D50,D12,D28,D36,D54,D40,D6,D32,D14,D34,D26";"LED-0603";28;"RED";;;
10;"U$501,U$177,U$447,U$429,U$87,U$19,U$159,U$411,U$375,U$69,U$123,U$465,U$357,U$213,U$141,U$105,U$339,U$321,U$249,U$51,U$195,U$393,U$33,U$303,U$285,U$267,U$483,U$231,U$100,U$352,U$460,U$262,U$226,U$172,U$406,U$82,U$208,U$298,U$64,U$334,U$46,U$28,U$316,U$442,U$280,U$478,U$15,U$154,U$118,U$190,U$136,U$370,U$496,U$244,U$424,U$388";"SCL2";56;"";;;
