"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q2";"SOT23-3";2;"BSS138";;;
2;"U$43,U$42";"SCL22";2;"";;;
3;"U$15,U$16";"49";2;"";;;
4;"U$74,U$75";"3#3V32";2;"";;;
5;"FD2,FD1,FD3,FD4";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
6;"U$35,U$34";"1318";2;"";;;
7;"J10,J1,J8,J9";"1X04_1MM_RA";4;"Qwiic Right Angle";;;
8;"U$31,U$30";"1116";2;"";;;
9;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
10;"U$11,U$12";"27";2;"";;;
11;"U$10,U$9";"TX6";2;"";;;
12;"U$57,U$56";"A424";2;"";;;
13;"R4,R3";"0603-RES";2;"4.7K";;;
14;"R2,R1";"0603";2;"4.7k";;;
15;"J2";"1X08_NO_SILK";1;"";;;
16;"U$58,U$59";"A325";2;"";;;
17;"U$50,U$52,U$53,U$51";"5V3";4;"";;;
18;"U$46,U$44,U$45,U$47";"GND2";4;"";;;
19;"U$27,U$26";"914";2;"";;;
20;"U$18,U$17";"510";2;"";;;
21;"U$73,U$72";"5V31";2;"";;;
22;"U$19,U$20";"611";2;"";;;
23;"LOGO2";"REVISION";1;"REVISION";;;
24;"U$65,U$64";"A028";2;"";;;
25;"J3";"1X10_NO_SILK";1;"";;;
26;"U$14,U$13";"38";2;"";;;
27;"LOGO3,LOGO4";"QWIIC_6MM";2;"QWIIC_LOGO_6MM";;;
28;"U$78,U$79";"IRF34";2;"";;;
29;"U$28,U$29";"1015";2;"";;;
30;"U$66,U$67";"VIN29";2;"";;;
31;"U$69,U$36,U$70,U$37,U$68,U$71";"GND30";6;"";;;
32;"U$54,U$55";"A523";2;"";;;
33;"U$1";"SFE_LOGO_FLAME_.2";1;"";;;
34;"U$24,U$25";"813";2;"";;;
35;"U$3";"QWIIC_BOARD_MOUNT_HOLES";1;"QWIIC_BOARD_OUTLINEH";;;
36;"U$61,U$60";"A226";2;"";;;
37;"U$77,U$76";"RES33";2;"";;;
38;"J6";"1X07_NO_SILK";1;"";;;
39;"U$62,U$63";"A127";2;"";;;
40;"J4";"1X06_NO_SILK";1;"";;;
41;"U$23,U$21";"712";2;"";;;
42;"U1";"UNO_R3_SHIELD_NOLABELS";1;"ARDUINO UNO";;;
43;"U$6";"3#3V_I2C_PORTS1";1;"";;;
44;"U$38,U$39";"ARF20";2;"";;;
45;"U$7,U$8";"RX5";2;"";;;
46;"U$48,U$49";"3#3V4";2;"";;;
47;"U$32,U$33";"1217";2;"";;;
48;"U$40,U$41";"SDA21";2;"";;;
49;"U$4,U$5";"SHIELD0";2;"";;;
50;"I2C0";"SMT-JUMPER_3_2-NC_TRACE_SILK";1;"";;;
51;"U$22";"I2C0";1;"";;;
52;"U$2";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
53;"LOGO1";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
