"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R7,R4,R8";"AXIAL-0.3EZ";4;"1k";;;
2;"C2";"CPOL-RADIAL-100UF-25V";1;"220uF";;;
3;"R5,R1,R2";"AXIAL-0.3EZ";3;"270";;;
4;"JP2,JP1";"SCREWTERMINAL-3.5MM-2_LOCK";2;"";;;
5;"JP6,JP5";"1X02";2;"";;;
6;"JP8";"1X04";1;"UART";;;
7;"JP4";"1X02";1;"SW2";;;
8;"LED1";"LED3MM";1;"green";;;
9;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
10;"J1";"POWER_JACK_PTH_LOCK";1;"POWER_JACKPTH_LOCK";;;
11;"JP7";"1X04";1;"I2C";;;
12;"LED2";"LED3MM";1;"yellow";;;
13;"JP3";"1X02";1;"SW1";;;
14;"IC3";"DIL14";1;"7406N";;;
15;"JP9";"2X13";1;"M13X22X13";;;
16;"JP10,JP11";"SFE-NEW-WEBLOGO";2;"LOGO-SFENEW";;;
17;"C1";"CPOL-RADIAL-100UF-25V";1;"100uF";;;
18;"R6";"AXIAL-0.3EZ";1;"470";;;
19;"C3";"CAP-PTH-SMALL-KIT";1;"0.1uF";;;
20;"IC2";"TO220-IGO";1;"LM2940CT-5.0";;;
21;"IC1";"DIL16";1;"L293D";;;
22;"U$4";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
