"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"JP3,JP23,JP39,JP5,JP40,JP41,JP78,JP6,JP80,JP21,JP61,JP58,JP98,JP4,JP77,JP59,JP79,JP99,JP42,JP60,JP96,JP22,JP20,JP97";"STAND-OFF";24;"STAND-OFF";;;
2;"F6,F4,F1,F3,F5,F2";"1210";6;"6V/2A";;;
3;"JP66,JP47,JP104,JP28,JP85,JP1";"SFE_LOGO_NAME_.1";6;"SFE_LOGO_NAME.1_INCH";;;
4;"U3,U10,U7,U13,U2,U16";"SOT23-5";6;"AP2112-3.3V";;;
5;"U$159,U$123,U$195,U$87,U$71,U$41,U$216,U$180,U$69,U$30,U$108,U$144";"RX11";12;"";;;
6;"C44,C8,C69,C108,C14,C70,C76,C107,C88,C98,C39,C1,C21,C24,C57,C38,C43,C60,C102,C50,C4,C63,C2,C12,C62,C31,C32,C18,C51,C41,C58,C114,C64,C10,C82,C25,C83,C77,C89,C96,C81,C95,C23,C19,C45,C101,C79,C100";"0603";48;"0.1uF";;;
7;"C20,C15,C103,C6,C40,C46,C78,C27,C84,C26,C66,C47,C3,C59,C104,C97,C65,C85";"EIA3216";18;"10uF";;;
8;"JP81,JP9,JP25,JP44,JP101,JP100,JP63,JP8,JP43,JP24,JP82,JP62";"FIDUCIAL-1X2";12;"FIDUCIAL1X2";;;
9;"U$18,U$200,U$92,U$128,U$164,U$46,U$1,U$61,U$102,U$138,U$210,U$174";"SCL1";12;"";;;
10;"JP107,JP69,JP50,JP13,JP88,JP31";"1X06_SMD_STRAIGHT_COMBO";6;"";;;
11;"U$167,U$121,U$54,U$193,U$131,U$67,U$39,U$95,U$85,U$203,U$157,U$13";"3#3V_MAX2";12;"";;;
12;"U$37,U$48,U$83,U$155,U$191,U$119,U$178,U$28,U$65,U$142,U$106,U$214";"MOSI7";12;"";;;
13;"Y1,Y6,Y3,Y2,Y5,Y4";"CRYSTAL-SMD-3.2X1.5MM";6;"32.768kHz";;;
14;"LED12,LED4,LED8,LED10,LED1,LED6";"LED-1206";6;"BLUE";;;
15;"JP45,JP83,JP26,JP2,JP64,JP102";"1X10_SMD_COMBINED";6;"M10SMD_COMBO";;;
16;"Q3,Q6,Q2,Q5,Q1,Q4";"SOT23-3";6;"2.5A/30V/105mΩ";;;
17;"D22,D14,D3,D10,D18,D6";"LED-1206";6;"Yellow";;;
18;"R61,R32,R19,R49,R67,R1,R25,R16,R44,R12,R68,R37,R20,R56,R43,R55,R31,R6";"0603";18;"4.7k";;;
19;"U$68,U$166,U$130,U$94,U$52,U$202";"BYP0";6;"";;;
20;"U$156,U$192,U$38,U$84,U$50,U$120,U$212,U$104,U$140,U$26,U$176,U$63";"SCK9";12;"";;;
21;"C110,C67,C53,C91,C29,C16,C48,C86,C105,C34,C72,C9";"0603";12;"1.0uF";;;
22;"JP55,JP15,JP36,JP74,JP112,JP93";"1X08_NO_SILK@1";6;"";;;
23;"C22,C61,C99,C80,C42,C5";"PANASONIC_D";6;"47uF";;;
24;"R9,R47,R59,R71,R23,R35";"0603";6;"220k";;;
25;"J31,J6,J19,J13,J25,J3";"POWER_JACK_SMD_OVERPASTE_TOE";6;"POWER_JACKTOE";;;
26;"R53,R65,R17,R29,R41,R14";"0603";6;"715";;;
27;"U$160,U$42,U$124,U$72,U$88,U$196,U$29,U$143,U$66,U$107,U$215,U$179";"TX10";12;"";;;
28;"R21,R22,R58,R46,R7,R70,R33,R8,R69,R57,R34,R45";"0603";12;"5.1k";;;
29;"D16,D8,D24,D12,D4,D20";"SOD-323";6;"3A/10V/280mV";;;
30;"R39,R11,R3,R27,R63,R51";"0603";6;"100k";;;
31;"U$190,U$36,U$82,U$47,U$154,U$118,U$27,U$213,U$177,U$105,U$141,U$64";"MISO8";12;"";;;
32;"JP38,JP95,JP76,JP19,JP114,JP57";"1X08_NO_SILK";6;"";;;
33;"JP84,JP103,JP46,JP10,JP65,JP27";"1X08_SMD_COMBINED_NC";6;"";;;
34;"JP111,JP92,JP12,JP35,JP54,JP73";"1X10_NO_SILK";6;"M10NO_SILK";;;
35;"C7,C90,C71,C109,C52,C33";"0603";6;"10uF";;;
36;"C68,C106,C17,C30,C87,C49";"0603";6;"10nF";;;
37;"R50,R26,R52,R2,R4,R62,R64,R13,R10,R28,R38,R40";"0603";12;"10k";;;
38;"R24,R72,R5,R36,R48,R60";"0603";6;" ";;;
39;"JP67,JP29,JP7,JP48,JP86,JP105";"SFE_LOGO_FLAME_.1";6;"SFE_LOGO_FLAME.1_INCH";;;
40;"E$1,E$3,E$4,E$2";"FIDUCIAL-1X2";4;"";;;
41;"JP18,JP113,JP56,JP37,JP75,JP94";"1X06_NO_SILK@1";6;"";;;
42;"U$40,U$158,U$194,U$70,U$122,U$86";"MEAS3";6;"";;;
