"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID6,FID1,FID14,FID7,FID12,FID4,FID3,FID10,FID16,FID5,FID11,FID2,FID8,FID15,FID13,FID9";"FIDUCIAL-1X2";16;"FIDUCIAL1X2";;;
2;"R15,R13,R12,R16,R14,R1,R5,R3,R7,R11,R2,R9,R8,R4,R6,R10";"0603-RES";16;"330";;;
3;"STANDOFF3,STANDOFF14,STANDOFF7,STANDOFF10,STANDOFF1,STANDOFF12,STANDOFF5,STANDOFF9,STANDOFF6,STANDOFF16,STANDOFF13,STANDOFF15,STANDOFF8,STANDOFF11,STANDOFF2,STANDOFF4";"STAND-OFF";16;"STAND-OFF";;;
4;"LOGO18,LOGO9,LOGO12,LOGO15,LOGO4,LOGO24,LOGO21,LOGO6";"SFE-NEW-WEB";8;"LOGO-SFENW2";;;
5;"D3,D15,D11,D5,D7,D13,D9,D1";"LED-0603";8;"GREEN";;;
6;"D6,D8,D2,D16,D14,D10,D4,D12";"LED-0603";8;"RED";;;
7;"JP13,JP4,JP10,JP7,JP6,JP5,JP2,JP12,JP14,JP15,JP8,JP1,JP11,JP16,JP9,JP3";"1X20";16;"M20";;;
8;"LOGO10,LOGO22,LOGO2,LOGO7,LOGO13,LOGO19,LOGO16,LOGO1";"OSHW-LOGO-S";8;"OSHW-LOGOS";;;
9;"E$8,E$3";"FIDUCIAL-1X2";2;"";;;
10;"U3,U6,U1,U2,U4,U5,U7,U8";"RN-52";8;"BLUETOOTH-RN-52";;;
11;"E$1";"FIDUCIAL-1.5X3";1;"";;;
12;"LOGO3,LOGO11,LOGO17,LOGO5,LOGO8,LOGO14,LOGO23,LOGO20";"SFE-NEW-WEBLOGO";8;"LOGO-SFENEW";;;
