"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C23,C9,C24,C3,C15,C2,C20,C11,C13,C17,C4,C1,C14,C7,C21,C18,C16,C19,C10,C8,C5,C22,C6";"0603";24;"0.1uF";;;
2;"U$245,U$276,U$400,U$12,U$431,U$214,U$679,U$307,U$555,U$183,U$617,U$338,U$462,U$59,U$586,U$121,U$710,U$369,U$493,U$648,U$152,U$741,U$524,U$90,U$461,U$337,U$58,U$647,U$523,U$182,U$740,U$585,U$11,U$492,U$554,U$89,U$306,U$616,U$399,U$678,U$151,U$213,U$709,U$275,U$368,U$244,U$120,U$430";"#ALRT#AD1#12";48;"";;;
3;"U$688,U$161,U$285,U$595,U$316,U$533,U$564,U$471,U$657,U$719,U$347,U$502,U$626,U$130,U$29,U$440,U$223,U$378,U$254,U$409,U$99,U$37,U$192,U$68,U$72,U$630,U$599,U$661,U$35,U$351,U$444,U$165,U$382,U$537,U$134,U$506,U$475,U$289,U$258,U$103,U$413,U$320,U$227,U$196,U$41,U$723,U$692,U$568";"#SCL#62132";48;"";;;
4;"U$94,U$125,U$683,U$404,U$249,U$435,U$528,U$280,U$22,U$187,U$621,U$714,U$497,U$15,U$652,U$342,U$590,U$63,U$559,U$218,U$156,U$466,U$311,U$373";"QWIIC_5.5MM";24;"";;;
5;"JP208,JP56,JP142,JP19,JP83,JP91,JP52,JP87,JP24,JP2,JP65,JP181,JP25,JP154,JP118,JP15,JP172,JP137,JP127,JP213,JP106,JP191,JP28,JP110,JP9,JP109,JP101,JP209,JP7,JP159,JP151,JP204,JP123,JP160,JP145,JP195,JP92,JP146,JP37,JP190,JP78,JP64,JP196,JP33,JP46,JP187,JP199,JP74,JP132,JP164,JP168,JP178,JP42,JP34,JP79,JP124,JP82,JP20,JP47,JP186,JP200,JP8,JP51,JP29,JP55,JP133,JP69,JP105,JP214,JP119,JP177,JP141,JP100,JP169,JP6,JP96,JP61,JP3,JP70,JP155,JP150,JP60,JP38,JP128,JP88,JP43,JP182,JP114,JP115,JP73,JP136,JP97,JP173,JP205,JP16,JP163";"STAND-OFF";96;"STAND-OFF";;;
6;"J66,J21,J16,J46,J71,J111,J31,J81,J76,J86,J56,J101,J61,J11,J96,J41,J36,J1,J91,J51,J26,J106,J116,J6";"1X04_NO_SILK";24;"PTH";;;
7;"U$717,U$221,U$376,U$686,U$655,U$159,U$562,U$314,U$593,U$407,U$190,U$624,U$500,U$97,U$283,U$252,U$128,U$469,U$531,U$26,U$32,U$66,U$345,U$438,U$659,U$163,U$504,U$380,U$194,U$30,U$225,U$535,U$628,U$597,U$721,U$287,U$349,U$566,U$690,U$132,U$101,U$411,U$39,U$70,U$256,U$318,U$442,U$473";"#GND#62130";48;"";;;
8;"U$193,U$286,U$348,U$565,U$100,U$31,U$131,U$162,U$69,U$689,U$720,U$317,U$224,U$255,U$410,U$534,U$627,U$441,U$596,U$503,U$472,U$38,U$658,U$379,U$724,U$662,U$290,U$631,U$352,U$507,U$569,U$693,U$197,U$104,U$445,U$538,U$321,U$600,U$36,U$414,U$259,U$135,U$383,U$166,U$73,U$42,U$228,U$476";"#ADD0#0";48;"";;;
9;"U13,U9,U3,U6,U18,U15,U16,U20,U4,U5,U14,U11,U24,U21,U19,U12,U7,U23,U1,U22,U17,U10,U8,U2";"WLCSP";24;"AS6212";;;
10;"J49,J37,J62,J112,J69,J59,J34,J7,J57,J2,J22,J17,J77,J72,J114,J67,J79,J12,J94,J119,J19,J102,J107,J82,J44,J99,J39,J64,J3,J87,J74,J52,J9,J84,J92,J47,J27,J54,J89,J117,J109,J29,J104,J32,J42,J24,J14,J97";"JST04_1MM_RA";48;"QWIIC_RA";;;
