"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$130,U$173,U$85,U$129,U$37,U$174,U$36,U$86";"#GND#10";8;"";;;
2;"Q6,Q2,Q8,Q4";"SOT23-3";4;"20V/4.2A/52mΩ/1.4W";;;
3;"U$44,U$137,U$9,U$93";"RESET32540";4;"";;;
4;"LOGO10,LOGO1,LOGO4,LOGO7";"QWIIC_8MM";4;"QWIIC_LOGO_8MM";;;
5;"R17,R34,R59,R11,R52,R23,R41,R70";"0603";8;"1k";;;
6;"R1,R56,R38,R21,R2,R39,R20,R57";"0603";8;"5.1k";;;
7;"R71,R53,R35,R18";"0603";4;"100";;;
8;"U$148,U$24,U$60,U$104";"SFE_LOGO_FLAME_.3";4;"";;;
9;"U$56,U$21,U$144,U$100";"MAIN_BOARD5523";4;"";;;
10;"U$25,U$154,U$110,U$66,U$119,U$32,U$75,U$163";"SWD6522";8;"";;;
11;"F4,F3,F2,F1";"1210";4;"6V/2A";;;
12;"H26,H12,H32,H1,H20,H19,H24,H21,H7,H14,H16,H18,H17,H29,H5,H15,H28,H27,H6,H9";"STAND-OFF-TIGHT";20;"STAND-OFFTIGHT";;;
13;"FD10,FD7,FD14,FD6,FD2,FD11,FD3,FD15,FD12,FD5,FD9,FD13,FD1,FD4,FD8,FD16";"FIDUCIAL-1X2";16;"FIDUCIAL1X2";;;
14;"U$22,U$146,U$58,U$102";"QWIIC_3MM";4;"";;;
15;"C12,C34,C25,C16,C31,C9,C13,C22";"0603";8;"10uF";;;
16;"UNK3V3_MEAS3,UNK5V_MEAS1,UNK5V_MEAS2,UNK5V_MEAS3,UNK3V3_MEAS2,UNK3V3_MEAS1,UNK3V3_MEAS0,UNK5V_MEAS0";"COMBO-JUMPER_2_NC_TRACE";8;"JUMPER-COMBO_2_NC_TRACE";;;
17;"R13,R66,R58,R12,R22,R47,R4,R51,R69,R65,R48,R72,R9,R36,R19,R30,R40,R33,R29,R54";"0603";20;"100k";;;
18;"D6,D4,D19,D13";"LED-0603";4;"Yellow";;;
19;"J24,J48,J7,J36";"1X04_NO_SILK";4;"";;;
20;"U$152,U$64,U$31,U$108";"#5V_MEAS#6522";4;"";;;
21;"D24,D15,D3,D9,D12,D11,D8,D17,D18,D2,D23,D21";"LED-0603";12;"RED";;;
22;"J22,J9,J46,J34,J13,J31,J19,J43";"1X01_NO_SILK";8;"";;;
23;"U11,U2,U16,U6";"SOT23-5";4;"MCP73831";;;
24;"U$133,U$89,U$40,U$4";"3V332533";4;"";;;
25;"U$120,U$34,U$76,U$164";"SFE_LOGO_NAME_FLAME_.1";4;"";;;
26;"U1,U18,U13,U8";"STG3856";4;"STG3856QTR";;;
27;"U14,U19,U3,U9";"SOT-23-6";4;"ESD Diode";;;
28;"U$16,U$161,U$73,U$117,U$118,U$74,U$29,U$162";"#GND#3";8;"";;;
29;"U$167,U$79,U$2,U$123";"#RXI#6";4;"";;;
30;"J35,J23,J12,J47";"1X02_NO_SILK";4;"";;;
31;"U$140,U$47,U$14,U$96";"MICROMOD_MI_LOGO_1";4;"";;;
32;"J10,J20,J44,J32";"MICROSD-EXTERNALPIN";4;"MICRO-SD-PUSH-PUSH-EXT-PIN";;;
33;"R43,R25,R10,R61";"0603";4;"20k";;;
34;"U$41,U$5,U$90,U$134";"VIN32532";4;"";;;
35;"H11,H30,H8,H22,H23,H10,H25,H3,H13,H4,H31,H2";"STAND-OFF-REFLOW-M2.5";12;"STAND-OFF-REFLOW-M2.5_2.5MM_TALL";;;
36;"U$103,U$59,U$23,U$147";"STANDOFF501";4;"";;;
37;"R55,R5,R16,R37";"0603";4;"4.7k";;;
38;"S7,S3,S1,S5";"TACTILE_SWITCH_SMD_5.2MM";4;"Reset";;;
39;"C32,C6,C3,C20,C7,C28,C19,C4,C23,C29,C11,C14";"0603";12;"4.7uF";;;
40;"J1,J15,J27,J39";"M.2-CONNECTOR-E";4;"MICROMOD-2222-C";;;
41;"D20,D1,D7,D14";"SOD-323";4;"3.3V";;;
42;"J8,J16,J40,J28";"JST-2-SMD";4;"";;;
43;"U$48,U$15,U$141,U$97";"0523";4;"";;;
44;"U10,U15,U4,U20";"SOT25";4;"AP7347DQ-33W5-7K-3.3V";;;
45;"U$45,U$10,U$94,U$138";"PROCESSOR525";4;"";;;
46;"C24,C15,C8,C33";"0805";4;"10uF";;;
47;"J4,J38,J26,J14";"JST04_1MM_RA";4;"QWIIC_RIGHT_ANGLE";;;
48;"R3,R45,R63,R27";"0603";4;"2.0k";;;
49;"U12,U17,U7,U5";"UDFN-8";4;"AP7361C-33";;;
50;"U$42,U$135,U$91,U$6";"CHG32531";4;"";;;
51;"U$132,U$88,U$39,U$176";"#VBAT#9";4;"";;;
52;"D22,D10,D5,D16";"SMA-DIODE";4;"3A/40V/500mV";;;
53;"U$139,U$95,U$11,U$46";"FUNCTION_ZERO520";4;"";;;
54;"J5,J18,J42,J30";"2X5-PTH-1.27MM";4;"CORTEX_JTAG_DEBUG_MINIMUM_PTH";;;
55;"U$78,U$166,U$122,U$1";"#TXO#7";4;"";;;
56;"U$61,U$27,U$105,U$149";"CHARGE501";4;"";;;
57;"U$165,U$35,U$121,U$77";"QWC4";4;"";;;
58;"U$33,U$153,U$65,U$109";"500MA6520";4;"";;;
59;"J41,J3,J29,J17";"USB-C-16P-2LAYER-PADS";4;"";;;
60;"C27,C1,C26,C17,C35,C36,C18,C2";"0603";8;"1.0uF";;;
61;"S4,S6,S8,S2";"TACTILE_SWITCH_SMD_5.2MM";4;"BOOT";;;
62;"R32,R49,R44,R15,R14,R8,R26,R62,R50,R31,R67,R68";"0603";12;"2.2k";;;
63;"C10,C30,C21,C5";"0603";4;"0.1uF";;;
64;"U$80,U$124,U$12,U$168";"##SEL##5";4;"";;;
65;"J2,J25,J37,J11";"JST04_1MM_VERT";4;"Vertical Qwiic Connector";;;
66;"U$175,U$87,U$131,U$38";"##RST##8";4;"";;;
67;"U$107,U$151,U$26,U$63";"#3V3_MEAS#6522";4;"";;;
68;"R24,R7,R42,R28,R60,R64,R46,R6";"0603";8;"10k";;;
69;"U$92,U$43,U$136,U$8";"BOOT32541";4;"";;;
