"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"@HOLE18,@HOLE11,@HOLE13,@HOLE3,@HOLE7,@HOLE20,@HOLE17,@HOLE5,@HOLE4,@HOLE9,@HOLE16,@HOLE12,@HOLE21,@HOLE8,@HOLE10,@HOLE1,@HOLE6,@HOLE22,@HOLE19,@HOLE0,@HOLE15,@HOLE14,@HOLE2";"";23;"";;;
2;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
3;"U$12";"PROTRACTOR#JPG";1;"";;;
4;"U$6";"SCHOTTKYDIODE#PNG";1;"";;;
5;"E$2,E$3";"STAND-OFF";2;"";;;
6;"U$1";"BJT_NPN#PNG";1;"";;;
7;"U$2";"BJT_PNP#PNG";1;"";;;
8;"U$5";"PCHANNELMOSFET#PNG";1;"";;;
9;"U$13";"MORSE#PNG";1;"";;;
10;"U$4";"NCHANNELMOSFET#PNG";1;"";;;
11;"U$9";"SFE_LOGO_NAME_.2";1;"";;;
12;"U$11";"SFE_LOGO_FLAME_.2";1;"";;;
13;"LOGO1";"OSHW-LOGO-M";1;"OSHW-LOGOM";;;
14;"U$7";"ZENER#PNG";1;"";;;
15;"U$3";"DIODE#PNG";1;"";;;
