"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D37,D6,D12,D62,D18,D43,D52,D16,D60,D23,D53,D48,D10,D25,D7,D30,D36,D42,D44,D28,D19,D14,D34,D38,D20,D63,D1,D29,D45,D49,D15,D50,D3,D58,D9,D32,D13,D55,D51,D22,D46,D56,D2,D31,D40,D8,D17,D33,D57,D64,D35,D59,D26,D21,D54,D39,D47,D5,D11,D41,D61,D4,D24,D27";"LED-0402";64;"RED";;;
2;"J19,J13,J55,J118,J109,J79,J85,J175,J94,J70,J16,J76,J151,J169,J40,J127,J52,J100,J121,J148,J130,J10,J2,J82,J31,J166,J178,J46,J103,J61,J133,J88,J73,J22,J64,J34,J187,J163,J124,J157,J4,J106,J28,J145,J181,J7,J25,J190,J58,J97,J112,J91,J184,J43,J37,J67,J154,J139,J136,J172,J160,J49,J115,J142";"JST04_1MM_RA";64;"QWIIC_RIGHT_ANGLE";;;
3;"J150,J30,J20,J26,J177,J107,J102,J138,J101,J66,J117,J137,J171,J6,J87,J149,J111,J153,J144,J114,J176,J188,J44,J143,J21,J84,J86,J53,J50,J192,J185,J74,J158,J57,J12,J122,J162,J119,J78,J81,J62,J105,J147,J5,J141,J14,J146,J71,J51,J68,J17,J11,J38,J29,J104,J189,J152,J8,J155,J3,J135,J123,J45,J165,J48,J191,J120,J99,J35,J168,J69,J27,J89,J182,J173,J183,J42,J24,J83,J60,J33,J108,J77,J59,J15,J1,J180,J9,J39,J98,J75,J186,J156,J32,J41,J179,J129,J56,J131,J96,J116,J125,J132,J63,J54,J161,J113,J90,J128,J36,J65,J18,J159,J23,J92,J170,J47,J126,J110,J93,J164,J80,J72,J167,J95,J174,J140,J134";"1X01_1MM_NO_SILK";128;"";;;
4;"U$568,U$458,U$359,U$678,U$656,U$51,U$117,U$29,U$579,U$62,U$535,U$337,U$106,U$425,U$139,U$601,U$128,U$315,U$18,U$557,U$282,U$216,U$150,U$623,U$392,U$436,U$194,U$524,U$183,U$249,U$326,U$480,U$546,U$172,U$700,U$689,U$205,U$590,U$304,U$161,U$73,U$469,U$513,U$414,U$348,U$2,U$381,U$667,U$370,U$293,U$645,U$271,U$260,U$612,U$502,U$447,U$403,U$227,U$95,U$491,U$40,U$238,U$634,U$84,U$515,U$691,U$438,U$416,U$339,U$636,U$702,U$163,U$592,U$680,U$570,U$20,U$625,U$306,U$647,U$108,U$284,U$42,U$218,U$64,U$4,U$614,U$229,U$130,U$493,U$86,U$658,U$526,U$207,U$394,U$251,U$405,U$537,U$174,U$141,U$471,U$559,U$273,U$152,U$350,U$669,U$185,U$449,U$603,U$504,U$427,U$31,U$317,U$97,U$581,U$383,U$548,U$240,U$75,U$361,U$262,U$196,U$119,U$482,U$460,U$295,U$328,U$53,U$372";"#GND#0";128;"";;;
5;"U18,U47,U39,U7,U8,U57,U44,U12,U19,U58,U15,U28,U37,U22,U43,U29,U11,U24,U36,U45,U27,U10,U55,U61,U50,U26,U9,U34,U53,U49,U16,U1,U6,U23,U31,U2,U64,U17,U13,U62,U14,U32,U54,U60,U52,U4,U48,U56,U30,U25,U20,U41,U63,U3,U33,U42,U40,U5,U35,U51,U21,U59,U38,U46";"LPS28DFW";64;"LPS28DFW";;;
6;"LOGO141,LOGO63,LOGO51,LOGO12,LOGO3,LOGO57,LOGO192,LOGO174,LOGO108,LOGO114,LOGO69,LOGO54,LOGO159,LOGO144,LOGO102,LOGO15,LOGO33,LOGO180,LOGO150,LOGO186,LOGO138,LOGO105,LOGO81,LOGO78,LOGO123,LOGO42,LOGO120,LOGO99,LOGO129,LOGO24,LOGO72,LOGO39,LOGO90,LOGO153,LOGO117,LOGO93,LOGO111,LOGO18,LOGO189,LOGO36,LOGO87,LOGO171,LOGO60,LOGO45,LOGO66,LOGO48,LOGO6,LOGO177,LOGO147,LOGO168,LOGO30,LOGO27,LOGO75,LOGO162,LOGO126,LOGO132,LOGO21,LOGO165,LOGO156,LOGO183,LOGO135,LOGO96,LOGO9,LOGO84";"BLANK";64;"SFE_LOGO_NAME_FLAMEBLANK";;;
7;"H61,H22,H28,H60,H50,H11,H14,H44,H64,H37,H15,H54,H35,H52,H10,H47,H1,H31,H25,H63,H29,H27,H12,H13,H42,H59,H9,H56,H58,H39,H24,H48,H33,H57,H49,H7,H18,H23,H21,H2,H53,H38,H5,H34,H62,H43,H45,H6,H26,H16,H30,H17,H4,H19,H55,H3,H36,H41,H20,H40,H46,H51,H32,H8";"STAND-OFF";64;"STAND-OFF";;;
8;"FD14,FD180,FD28,FD220,FD78,FD122,FD234,FD218,FD222,FD156,FD244,FD192,FD44,FD98,FD214,FD38,FD184,FD212,FD224,FD232,FD142,FD110,FD204,FD124,FD132,FD170,FD52,FD50,FD6,FD20,FD162,FD12,FD100,FD112,FD114,FD120,FD146,FD54,FD240,FD94,FD136,FD84,FD62,FD148,FD4,FD46,FD182,FD172,FD18,FD254,FD144,FD118,FD88,FD64,FD66,FD202,FD198,FD60,FD140,FD126,FD72,FD168,FD26,FD164,FD248,FD188,FD190,FD256,FD230,FD216,FD76,FD152,FD16,FD48,FD104,FD106,FD236,FD92,FD40,FD116,FD90,FD82,FD96,FD68,FD186,FD206,FD128,FD34,FD194,FD250,FD42,FD22,FD150,FD102,FD134,FD108,FD80,FD242,FD238,FD226,FD246,FD36,FD70,FD174,FD86,FD252,FD130,FD30,FD178,FD10,FD154,FD200,FD2,FD32,FD176,FD160,FD208,FD210,FD56,FD196,FD58,FD138,FD166,FD74,FD158,FD228,FD24,FD8,FD131,FD221,FD105,FD9,FD99,FD247,FD29,FD155,FD117,FD173,FD175,FD161,FD71,FD49,FD3,FD17,FD147,FD47,FD135,FD193,FD163,FD133,FD97,FD123,FD101,FD129,FD69,FD197,FD119,FD55,FD33,FD57,FD157,FD83,FD137,FD65,FD185,FD139,FD63,FD169,FD67,FD235,FD195,FD85,FD205,FD229,FD227,FD243,FD201,FD143,FD125,FD27,FD239,FD7,FD75,FD107,FD191,FD225,FD59,FD89,FD21,FD255,FD145,FD45,FD171,FD81,FD39,FD93,FD151,FD115,FD113,FD251,FD233,FD219,FD159,FD121,FD5,FD111,FD91,FD35,FD249,FD241,FD253,FD223,FD61,FD77,FD217,FD177,FD31,FD187,FD41,FD189,FD181,FD19,FD213,FD73,FD87,FD23,FD1,FD43,FD167,FD37,FD237,FD207,FD95,FD53,FD183,FD245,FD141,FD209,FD103,FD231,FD51,FD25,FD13,FD15,FD211,FD179,FD11,FD203,FD149,FD199,FD79,FD127,FD109,FD215,FD165,FD153";"FIDUCIAL-MICRO";256;"FIDUCIALUFIDUCIAL";;;
9;"U$193,U$259,U$72,U$303,U$699,U$215,U$15,U$534,U$622,U$61,U$479,U$39,U$94,U$545,U$600,U$611,U$556,U$237,U$325,U$1,U$270,U$402,U$424,U$336,U$633,U$523,U$50,U$83,U$105,U$160,U$248,U$182,U$347,U$490,U$446,U$149,U$314,U$677,U$501,U$666,U$567,U$369,U$28,U$281,U$116,U$512,U$578,U$589,U$138,U$171,U$380,U$655,U$644,U$226,U$435,U$127,U$688,U$457,U$391,U$413,U$292,U$358,U$204,U$468,U$459,U$525,U$30,U$228,U$569,U$426,U$316,U$217,U$690,U$558,U$3,U$41,U$338,U$63,U$261,U$173,U$305,U$19,U$151,U$624,U$272,U$74,U$85,U$184,U$382,U$679,U$349,U$635,U$470,U$129,U$327,U$360,U$613,U$162,U$492,U$294,U$107,U$393,U$404,U$646,U$701,U$195,U$371,U$52,U$536,U$580,U$96,U$657,U$448,U$514,U$415,U$250,U$591,U$140,U$602,U$283,U$503,U$668,U$206,U$481,U$118,U$239,U$547,U$437";"#INT#0";128;"";;;
10;"R36,R41,R241,R285,R86,R71,R196,R236,R227,R187,R302,R62,R212,R107,R146,R6,R126,R40,R97,R160,R55,R161,R237,R290,R87,R15,R151,R210,R147,R191,R76,R82,R175,R185,R247,R261,R197,R150,R306,R96,R111,R216,R20,R195,R77,R200,R157,R316,R145,R266,R307,R81,R92,R230,R115,R317,R166,R296,R21,R186,R217,R232,R156,R251,R297,R250,R177,R215,R172,R70,R265,R206,R272,R90,R301,R207,R121,R165,R201,R260,R91,R85,R135,R2,R95,R35,R116,R245,R46,R132,R310,R292,R267,R311,R25,R56,R60,R171,R1,R282,R80,R291,R61,R181,R27,R22,R155,R105,R280,R235,R50,R231,R277,R101,R52,R240,R142,R182,R287,R10,R17,R5,R255,R315,R295,R222,R45,R305,R271,R26,R72,R167,R67,R137,R125,R257,R16,R152,R66,R176,R276,R170,R256,R275,R12,R106,R162,R312,R136,R127,R131,R102,R30,R281,R75,R226,R112,R140,R180,R47,R300,R122,R221,R270,R110,R211,R120,R262,R320,R51,R242,R130,R42,R190,R286,R32,R117,R31,R11,R192,R100,R37,R202,R205,R225,R220,R246,R57,R252,R141,R7,R65";"0402-TIGHT";192;"2.2k";;;
