"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP43,TP55,TP29,TP10,TP60,TP48,TP23,TP46,TP17,TP7,TP26,TP37,TP57,TP35,TP47,TP22,TP25,TP15,TP33,TP4,TP2,TP56,TP54,TP53,TP32,TP11,TP50,TP39,TP44,TP20,TP21,TP31,TP1,TP41,TP9,TP16,TP36,TP28,TP8,TP40,TP30,TP45,TP14,TP51,TP6,TP13,TP3,TP18,TP34,TP12,TP24,TP58,TP49,TP42,TP59,TP19,TP52,TP38,TP5,TP27";"TP_15TH";60;"TEST-POINTTP_15TH_THRU";;;
2;"U$429,U$117,U$546,U$351,U$29,U$156,U$234,U$312,U$468,U$702,U$507,U$390,U$741,U$663,U$78,U$273,U$195,U$624,U$585,U$780";"D136";20;"";;;
3;"H8,H11,H9,H4,H29,H50,H48,H6,H49,H10,H20,H47,H55,H7,H31,H42,H16,H39,H14,H17,H13,H12,H36,H15,H53,H26,H2,H19,H33,H3,H46,H51,H18,H59,H52,H41,H54,H30,H45,H32,H56,H22,H21,H35,H34,H44,H43,H57,H25,H58,H1,H27,H5,H37,H23,H60,H40,H38,H24,H28";"STAND-OFF";60;"STAND-OFF";;;
4;"C30,C10,C26,C46,C34,C27,C7,C43,C38,C19,C62,C31,C79,C3,C58,C1,C70,C78,C71,C63,C67,C6,C11,C14,C15,C47,C35,C66,C74,C39,C18,C55,C54,C50,C75,C22,C23,C59,C42,C51";"0603";40;"10uF";;;
5;"FD44,FD40,FD52,FD69,FD9,FD5,FD12,FD17,FD49,FD76,FD32,FD64,FD48,FD68,FD41,FD28,FD72,FD8,FD20,FD45,FD77,FD13,FD16,FD37,FD65,FD61,FD56,FD53,FD80,FD60,FD21,FD2,FD57,FD33,FD29,FD25,FD73,FD3,FD36,FD24,FD62,FD1,FD79,FD58,FD6,FD47,FD4,FD66,FD63,FD19,FD23,FD14,FD42,FD38,FD27,FD7,FD22,FD10,FD51,FD59,FD74,FD54,FD43,FD50,FD11,FD15,FD18,FD26,FD55,FD67,FD31,FD75,FD78,FD34,FD35,FD39,FD30,FD46,FD71,FD70";"FIDUCIAL-MICRO";80;"FIDUCIALUFIDUCIAL";;;
6;"R98,R59,R47,R13,R32,R88,R24,R17,R83,R58,R52,R92,R93,R44,R48,R42,R79,R19,R63,R54,R62,R23,R94,R72,R78,R57,R43,R39,R37,R22,R28,R49,R1,R97,R89,R73,R69,R27,R38,R4,R53,R87,R68,R12,R77,R29,R18,R7,R9,R8,R14,R74,R33,R84,R82,R2,R67,R34,R99,R64";"0402";60;"10k";;;
7;"U$633,U$87,U$477,U$45,U$516,U$204,U$126,U$42,U$360,U$711,U$165,U$321,U$399,U$438,U$672,U$750,U$243,U$282,U$594,U$555,U$487,U$331,U$97,U$721,U$760,U$58,U$136,U$409,U$253,U$19,U$370,U$214,U$448,U$292,U$643,U$565,U$526,U$175,U$604,U$682";"OFF13";40;"";;;
8;"U$471,U$120,U$666,U$237,U$276,U$588,U$549,U$198,U$315,U$32,U$81,U$159,U$393,U$354,U$432,U$627,U$744,U$5,U$705,U$510";"3#3V10";20;"";;;
9;"C45,C36,C12,C13,C53,C68,C61,C41,C56,C60,C32,C21,C5,C73,C8,C48,C25,C80,C72,C57,C29,C49,C77,C65,C2,C9,C4,C17,C20,C28,C76,C40,C64,C24,C16,C69,C33,C44,C37,C52";"0402";40;"1.0uF";;;
10;"U$46,U$127,U$361,U$673,U$439,U$712,U$244,U$283,U$88,U$595,U$166,U$322,U$517,U$634,U$43,U$751,U$400,U$205,U$478,U$556,U$681,U$57,U$135,U$330,U$447,U$174,U$252,U$486,U$213,U$291,U$18,U$720,U$642,U$525,U$369,U$603,U$408,U$759,U$564,U$96";"ON12";40;"";;;
11;"U$636,U$363,U$675,U$753,U$714,U$285,U$129,U$441,U$90,U$49,U$519,U$402,U$597,U$51,U$324,U$168,U$480,U$558,U$207,U$246";"SCL8";20;"";;;
12;"U$125,U$476,U$515,U$164,U$593,U$554,U$242,U$281,U$359,U$203,U$44,U$320,U$437,U$398,U$41,U$86,U$749,U$710,U$671,U$632";"GND11";20;"";;;
13;"U$37,U$239,U$317,U$668,U$200,U$122,U$356,U$161,U$551,U$590,U$512,U$707,U$34,U$83,U$278,U$746,U$395,U$473,U$629,U$434";"D41";20;"";;;
14;"U$754,U$637,U$364,U$130,U$325,U$403,U$598,U$91,U$676,U$442,U$559,U$715,U$286,U$50,U$247,U$169,U$520,U$208,U$52,U$481";"SDA9";20;"";;;
15;"J116,J53,J137,J123,J25,J67,J109,J74,J11,J102,J39,J18,J7,J130,J32,J60,J88,J95,J81,J46";"1X02_NO_SILK";20;"";;;
16;"J55,J111,J83,J41,J27,J48,J125,J20,J104,J13,J132,J4,J118,J69,J139,J76,J62,J34,J97,J90";"1X04_1.27MM_NO_SILK";20;"";;;
17;"LOGO52,LOGO56,LOGO60,LOGO64,LOGO76,LOGO68,LOGO24,LOGO36,LOGO16,LOGO20,LOGO48,LOGO32,LOGO40,LOGO8,LOGO72,LOGO28,LOGO44,LOGO4,LOGO12,LOGO80";"QWIIC_3MM";20;"QWIIC_LOGO_3MM";;;
18;"U$553,U$748,U$670,U$124,U$592,U$163,U$397,U$39,U$436,U$514,U$85,U$40,U$709,U$631,U$319,U$358,U$202,U$280,U$475,U$241";"D65";20;"";;;
19;"U$401,U$89,U$323,U$440,U$245,U$47,U$167,U$557,U$518,U$48,U$128,U$206,U$752,U$362,U$284,U$635,U$596,U$479,U$713,U$674";"PWR16";20;"";;;
20;"U$305,U$500,U$656,U$734,U$266,U$71,U$773,U$461,U$617,U$539,U$110,U$8,U$383,U$344,U$695,U$188,U$422,U$227,U$578,U$149";"D177";20;"";;;
21;"S18,S14,S28,S8,S26,S34,S32,S4,S36,S12,S22,S10,S6,S38,S20,S2,S30,S40,S16,S24";"TACTILE_SWITCH_SMD_4.6X2.8MM";20;"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";;;
22;"U31,U34,U10,U1,U49,U13,U58,U25,U16,U52,U37,U55,U43,U40,U4,U7,U19,U46,U28,U22";"SOT23-5";20;"3.3V";;;
23;"U$771,U$615,U$654,U$108,U$537,U$225,U$459,U$69,U$303,U$186,U$420,U$381,U$576,U$693,U$28,U$147,U$498,U$264,U$732,U$342";"D21";20;"";;;
24;"R100,R86,R60,R16,R46,R11,R66,R61,R90,R70,R56,R91,R50,R65,R31,R3,R55,R95,R96,R25,R20,R80,R36,R35,R5,R81,R40,R51,R26,R75,R10,R6,R30,R76,R41,R71,R45,R85,R15,R21";"0402";40;"1K";;;
25;"J22,J78,J92,J36,J113,J127,J71,J64,J8,J57,J85,J15,J120,J106,J43,J134,J29,J1,J99,J50";"JST04_1MM_RA";20;"";;;
26;"U30,U42,U45,U15,U24,U39,U9,U36,U21,U6,U3,U27,U51,U33,U48,U60,U57,U18,U12,U54";"QFN-32_SAMD";20;"ATSAMD21E18A-U";;;
27;"LOGO18,LOGO42,LOGO46,LOGO58,LOGO54,LOGO50,LOGO34,LOGO30,LOGO66,LOGO70,LOGO38,LOGO74,LOGO6,LOGO78,LOGO62,LOGO2,LOGO22,LOGO26,LOGO10,LOGO14";"SFE_LOGO_FLAME_.2";20;"SFE_LOGO_FLAME.2_INCH";;;
