"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C73,C24,C121,C72,C41,C153,C120,C89,C57,C1,C152,C56,C40,C4,C105,C137,C136,C88,C25,C104";"0402-TIGHT";20;"1.0nF";;;
2;"U7,U34,U41,U27,U55,U20,U13,U62,U69,U48";"LGA-8-2.5X2.5";10;"BME280";;;
3;"U$602,U$377,U$527,U$302,U$227,U$677,U$77,U$2,U$152,U$452";"SFE_LOGO_FLAME_.2";10;"";;;
4;"U$229,U$379,U$79,U$154,U$679,U$304,U$529,U$604,U$454,U$6";"#_44#49";10;"";;;
5;"D13,D28,D33,D43,D1,D38,D18,D48,D23,D8";"WS2812-2020";10;"WS2812";;;
6;"U$662,U$512,U$137,U$73,U$587,U$212,U$437,U$362,U$737,U$287";"CHG0";10;"";;;
7;"R2,R12,R53,R118,R11,R28,R1,R80,R92,R40,R79,R119,R67,R41,R66,R54,R106,R93,R27,R105";"0402-TIGHT";20;"5.1k";;;
8;"C49,C114,C17,C129,C146,C66,C145,C82,C33,C9,C81,C113,C65,C34,C130,C98,C10,C18,C50,C97";"0402-TIGHT";20;"4.7uF";;;
9;"U64,U22,U29,U8,U15,U36,U50,U1,U57,U43";"SOT-23-6";10;"ESD Diode";;;
10;"J55,J7,J43,J31,J25,J13,J2,J49,J19,J37";"THING_PLUS";10;"THING_PLUS_LOGICAL";;;
11;"C96,C31,C12,C92,C78,C94,C125,C85,C149,C111,C109,C135,C158,C16,C107,C48,C14,C155,C45,C93,C156,C21,C30,C139,C39,C7,C64,C80,C2,C140,C142,C23,C151,C42,C154,C122,C108,C141,C87,C95,C69,C74,C101,C29,C106,C62,C144,C127,C123,C75,C27,C76,C59,C58,C71,C79,C46,C47,C3,C61,C159,C119,C77,C44,C13,C91,C63,C128,C43,C103,C55,C124,C32,C15,C53,C160,C112,C157,C138,C26,C90,C143,C37,C126,C5,C110,C28,C117,C133,C60";"0402-TIGHT";90;"0.1uF";;;
12;"U$71,U$435,U$660,U$735,U$135,U$285,U$210,U$585,U$510,U$360";"IO414130630715";10;"";;;
13;"FD21,FD40,FD24,FD36,FD13,FD1,FD8,FD17,FD37,FD5,FD29,FD25,FD28,FD9,FD12,FD2,FD16,FD32,FD20,FD33,FD30,FD4,FD31,FD34,FD11,FD3,FD15,FD23,FD38,FD19,FD10,FD14,FD27,FD26,FD18,FD22,FD35,FD7,FD39,FD6";"FIDUCIAL-MICRO";40;"FIDUCIALUFIDUCIAL";;;
14;"R10,R17,R82,R108,R43,R95,R69,R121,R56,R30";"0402-TIGHT";10;"2.0K";;;
15;"U$653,U$353,U$728,U$203,U$278,U$128,U$578,U$428,U$503,U$64";"RGB30710";10;"";;;
16;"D9,D24,D44,D2,D19,D39,D14,D34,D29,D49";"LED-0603";10;"BLUE";;;
17;"U$219,U$594,U$669,U$744,U$444,U$14,U$144,U$369,U$294,U$519";"RESET0";10;"";;;
18;"C67,C51,C147,C131,C6,C35,C115,C83,C19,C99";"0402-TIGHT";10;"1.0uF";;;
19;"U$276,U$426,U$651,U$62,U$201,U$726,U$351,U$576,U$501,U$126";"#MEAS#30701";10;"";;;
20;"U$667,U$592,U$142,U$3,U$367,U$442,U$217,U$292,U$742,U$517";"#_VU#0";10;"";;;
21;"J8,J26,J20,J32,J50,J14,J44,J1,J38,J56";"USB-C-16P-4LAYER-ISOLATED";10;"USB-C";;;
22;"U$169,U$319,U$94,U$469,U$544,U$694,U$619,U$26,U$394,U$244";"#TXO_#57";10;"";;;
23;"U$665,U$740,U$290,U$515,U$590,U$215,U$140,U$365,U$440,U$12";"#_35#0";10;"";;;
24;"H32,H29,H31,H21,H5,H26,H34,H4,H14,H2,H28,H3,H11,H1,H20,H22,H17,H30,H7,H10,H25,H23,H12,H8,H36,H27,H19,H33,H39,H18,H40,H35,H16,H13,H38,H6,H24,H9,H37,H15";"STAND-OFF-TIGHT";40;"STAND-OFFTIGHT";;;
25;"U$239,U$389,U$164,U$89,U$19,U$614,U$314,U$464,U$689,U$539";"#A2_#54";10;"";;;
26;"U$673,U$748,U$523,U$373,U$54,U$298,U$598,U$223,U$148,U$448,U$513,U$663,U$288,U$213,U$74,U$738,U$138,U$588,U$363,U$438";"##RST#_#0";20;"";;;
27;"U$216,U$141,U$741,U$441,U$291,U$366,U$63,U$666,U$591,U$516";"#_VB#0";10;"";;;
28;"U$95,U$695,U$470,U$245,U$170,U$620,U$545,U$395,U$320,U$27";"#RXI_#59";10;"";;;
29;"U$690,U$90,U$315,U$165,U$240,U$20,U$465,U$615,U$540,U$390";"#A3_#54";10;"";;;
30;"U14,U21,U35,U70,U49,U63,U56,U28,U6,U42";"LGA-14L";10;"ISM330DHCX";;;
31;"R65,R52,R26,R130,R8,R39,R104,R78,R91,R117";"0402-TIGHT";10;"1k";;;
32;"R76,R44,R64,R70,R49,R63,R110,R116,R23,R89,R90,R96,R50,R6,R15,R3,R101,R36,R129,R19,R38,R122,R16,R32,R45,R18,R58,R109,R123,R25,R24,R62,R103,R77,R75,R57,R51,R14,R37,R102,R83,R97,R88,R71,R127,R114,R31,R128,R84,R115";"0402-TIGHT";50;"10k";;;
33;"U$68,U$207,U$507,U$132,U$357,U$657,U$582,U$732,U$282,U$432";"X2114";10;"";;;
34;"U$733,U$133,U$583,U$508,U$69,U$208,U$658,U$433,U$283,U$358";"Y2115";10;"";;;
35;"U$749,U$524,U$599,U$374,U$75,U$674,U$449,U$299,U$224,U$149";"#3";10;"";;;
36;"U$688,U$163,U$313,U$88,U$238,U$613,U$538,U$388,U$463,U$18";"#A1_#54";10;"";;;
37;"J24,J36,J48,J18,J60,J54,J6,J30,J12,J42";"JST04_1MM_RA";10;"QWIIC_RA";;;
38;"C86,C102,C118,C11,C150,C70,C38,C22,C134,C54";"0402-TIGHT";10;"10uF";;;
39;"U$159,U$11,U$609,U$459,U$84,U$309,U$234,U$534,U$684,U$384";"#_25#49";10;"";;;
40;"U$533,U$158,U$233,U$608,U$83,U$10,U$458,U$383,U$308,U$683";"#_4#49";10;"";;;
41;"U$610,U$460,U$13,U$385,U$310,U$235,U$685,U$85,U$535,U$160";"#_SCL#49";10;"";;;
42;"U66,U45,U4,U31,U10,U59,U38,U24,U52,U17";"SOT23-5";10;"MCP73831";;;
43;"U$4,U$453,U$303,U$78,U$228,U$603,U$678,U$153,U$378,U$528";"#_EN#47";10;"";;;
44;"U$430,U$66,U$505,U$655,U$205,U$580,U$130,U$355,U$280,U$730";"PWR30712";10;"";;;
45;"LOGO35,LOGO45,LOGO10,LOGO30,LOGO15,LOGO25,LOGO20,LOGO50,LOGO40,LOGO2";"FOUR_LAYER_WARNING";10;"FOUR_LAYER_WARNING";;;
46;"U51,U2,U23,U9,U65,U30,U58,U44,U37,U16";"NINA_B306";10;"U-BLOX_NINA_B306";;;
47;"U$322,U$172,U$622,U$97,U$472,U$247,U$397,U$697,U$24,U$547";"#PICO_#60";10;"";;;
48;"FB3,FB6,FB8,FB1,FB2,FB9,FB4,FB7,FB5,FB10";"0402";10;"120Ω";;;
49;"U$168,U$468,U$93,U$318,U$23,U$543,U$618,U$243,U$693,U$393";"#SCK_#54";10;"";;;
50;"U$312,U$462,U$162,U$87,U$537,U$387,U$17,U$237,U$687,U$612";"#A0_#54";10;"";;;
51;"D16,D41,D26,D6,D11,D21,D31,D46,D36,D5";"LED-0603";10;"Yellow";;;
52;"U$542,U$617,U$692,U$242,U$22,U$167,U$467,U$92,U$392,U$317";"#A5_#54";10;"";;;
53;"U40,U19,U5,U26,U12,U68,U61,U54,U33,U47";"DFN-8";10;"MAX17048";;;
54;"U$173,U$623,U$248,U$698,U$323,U$25,U$98,U$548,U$473,U$398";"#POCI_#61";10;"";;;
55;"D47,D17,D37,D22,D32,D12,D7,D42,D3,D27";"SOD-323";10;"3A/10V/280mV";;;
56;"S4,S2,S8,S5,S3,S10,S6,S1,S7,S9";"TACTILE_SWITCH_SMD_4.6X2.8MM";10;"Reset";;;
57;"R29,R94,R55,R42,R9,R107,R68,R81,R120,R13";"0402-TIGHT";10;"4.7k";;;
58;"U$65,U$354,U$579,U$429,U$504,U$204,U$129,U$729,U$279,U$654";"STAT30711";10;"";;;
59;"R46,R7,R98,R112,R35,R126,R111,R21,R33,R22,R85,R4,R74,R59,R72,R125,R100,R124,R113,R60,R61,R5,R34,R48,R47,R20,R86,R99,R73,R87";"0402-TIGHT";30;"2.2k";;;
60;"U$443,U$668,U$143,U$593,U$293,U$743,U$5,U$518,U$368,U$218";"#3V3_#0";10;"";;;
61;"U$581,U$656,U$506,U$67,U$131,U$356,U$206,U$431,U$731,U$281";"NINA#B30630713";10;"";;;
62;"LOGO44,LOGO24,LOGO34,LOGO14,LOGO29,LOGO4,LOGO9,LOGO19,LOGO39,LOGO49";"QWIIC_4MM";10;"QWIIC_LOGO_4MM";;;
63;"C20,C68,C100,C132,C52,C8,C148,C116,C36,C84";"0402-TIGHT";10;"2.2uF";;;
64;"U$96,U$246,U$546,U$171,U$621,U$28,U$471,U$696,U$321,U$396";"#38_#60";10;"";;;
65;"U$136,U$361,U$436,U$72,U$736,U$511,U$586,U$661,U$211,U$286";"IO34414130630716";10;"";;;
66;"U$611,U$461,U$686,U$236,U$161,U$86,U$311,U$386,U$536,U$16";"#GND_#53";10;"";;;
67;"U$307,U$157,U$682,U$382,U$532,U$457,U$232,U$607,U$9,U$82";"#_3#49";10;"";;;
68;"U39,U60,U25,U3,U67,U32,U11,U18,U46,U53";"SOT23-5";10;"XC6222B331MR-G";;;
