"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"B9,B4,B13,B3,B10,B1,B5,B2,B14,B7,B8,B6,B12,B16,B11,B15";"ML414H_IV01E";16;"ML414H_IV01E_BATTERY";;;
2;"R31,R12,R4,R67,R76,R21,R72,R3,R52,R47,R71,R42,R6,R27,R32,R51,R66,R41,R62,R61,R56,R17,R7,R11,R16,R57,R37,R22,R46,R77,R36,R26";"0603";32;"2.2k";;;
3;"J12,J24,J52,J20,J40,J60,J44,J28,J56,J32,J5,J16,J8,J64,J48,J36";"1X04_NO_SILK";16;"";;;
4;"U$61,U$349,U$457,U$313,U$565,U$241,U$421,U$133,U$529,U$169,U$97,U$205,U$385,U$493,U$20,U$277";"BLK0";16;"";;;
5;"U$289,U$325,U$37,U$469,U$217,U$73,U$145,U$505,U$253,U$541,U$433,U$397,U$109,U$181,U$1,U$361,U$259,U$187,U$10,U$79,U$439,U$511,U$151,U$475,U$403,U$331,U$223,U$43,U$295,U$547,U$367,U$115";"3V3-03";32;"";;;
6;"U$141,U$536,U$428,U$140,U$104,U$573,U$321,U$249,U$69,U$357,U$464,U$501,U$177,U$68,U$213,U$284,U$356,U$500,U$33,U$537,U$320,U$176,U$392,U$572,U$285,U$465,U$429,U$393,U$22,U$105,U$248,U$212,U$215,U$539,U$574,U$502,U$34,U$71,U$431,U$214,U$430,U$358,U$467,U$107,U$359,U$70,U$142,U$286,U$178,U$143,U$538,U$251,U$35,U$106,U$575,U$322,U$466,U$394,U$287,U$503,U$250,U$395,U$179,U$323";"NC0";64;"";;;
7;"U$424,U$11,U$388,U$244,U$280,U$208,U$64,U$316,U$100,U$172,U$136,U$496,U$568,U$460,U$352,U$532,U$533,U$137,U$245,U$353,U$281,U$209,U$497,U$65,U$569,U$101,U$317,U$389,U$18,U$425,U$173,U$461";"#INT0";32;"";;;
8;"FB15,FB3,FB7,FB16,FB9,FB1,FB5,FB11,FB8,FB4,FB13,FB12,FB2,FB14,FB10,FB6";"0402";16;"FERRITE_BEAD-120_OHM-0402";;;
9;"C14,C47,C11,C23,C32,C17,C44,C8,C3,C26,C38,C5,C35,C41,C29,C20";"0603";16;"47pF";;;
10;"Y2,Y11,Y12,Y14,Y15,Y4,Y13,Y8,Y6,Y9,Y3,Y16,Y1,Y10,Y5,Y7";"CRYSTAL-SMD-3.2X1.5MM";16;"32.768kHz";;;
11;"U$304,U$268,U$196,U$15,U$340,U$484,U$52,U$448,U$232,U$88,U$520,U$160,U$376,U$412,U$124,U$556";"TXO0";16;"";;;
12;"J14,J54,J62,J6,J50,J26,J22,J38,J30,J34,J18,J42,J4,J10,J58,J46";"U.FL";16;"U.FL";;;
13;"FD9,FD44,FD40,FD17,FD20,FD45,FD52,FD36,FD21,FD33,FD56,FD57,FD24,FD4,FD5,FD1,FD12,FD60,FD37,FD32,FD13,FD64,FD61,FD28,FD25,FD48,FD41,FD8,FD53,FD49,FD29,FD16,FD19,FD38,FD42,FD10,FD43,FD11,FD22,FD51,FD39,FD31,FD55,FD59,FD18,FD34,FD54,FD7,FD3,FD47,FD50,FD30,FD26,FD46,FD62,FD63,FD35,FD6,FD58,FD14,FD27,FD15,FD2,FD23";"FIDUCIAL-MICRO";64;"FIDUCIALUFIDUCIAL";;;
14;"U$398,U$290,U$182,U$2,U$506,U$254,U$470,U$74,U$146,U$110,U$434,U$326,U$362,U$542,U$38,U$218";"SDA0";16;"";;;
15;"U$98,U$62,U$31,U$530,U$170,U$278,U$494,U$386,U$242,U$422,U$566,U$458,U$134,U$206,U$350,U$314";"GRN0";16;"";;;
16;"J63,J43,J15,J55,J47,J31,J23,J39,J11,J51,J59,J19,J7,J27,J3,J35";"1X08_NO_SILK";16;"";;;
17;"R20,R75,R55,R45,R60,R30,R15,R25,R35,R10,R70,R50,R5,R80,R65,R40";"0603";16;"10";;;
18;"C25,C43,C34,C19,C37,C22,C13,C1,C40,C16,C7,C4,C31,C28,C10,C46";"0603";16;"4.7uF";;;
19;"U$447,U$303,U$483,U$123,U$159,U$267,U$339,U$195,U$87,U$375,U$51,U$519,U$411,U$555,U$26,U$231";"PWR-()-03";16;"";;;
20;"U$348,U$132,U$420,U$204,U$456,U$528,U$168,U$240,U$276,U$312,U$96,U$492,U$384,U$564,U$30,U$60,U$188,U$476,U$440,U$116,U$152,U$404,U$260,U$512,U$368,U$224,U$44,U$80,U$296,U$332,U$548,U$16";"ZOE#M8Q0";32;"";;;
21;"U$47,U$371,U$515,U$23,U$155,U$335,U$479,U$551,U$263,U$227,U$299,U$443,U$191,U$83,U$119,U$407,U$370,U$13,U$298,U$514,U$226,U$334,U$406,U$478,U$442,U$550,U$262,U$118,U$190,U$154,U$82,U$46";"PPS0";32;"";;;
22;"LOGO15,LOGO27,LOGO21,LOGO6,LOGO33,LOGO48,LOGO45,LOGO42,LOGO24,LOGO30,LOGO18,LOGO12,LOGO9,LOGO36,LOGO3,LOGO39";"SFE_LOGO_FLAME_.1";16;"SFE_LOGO_FLAME.1_INCH";;;
23;"R2,R69,R24,R14,R74,R29,R9,R34,R54,R64,R59,R79,R49,R39,R19,R44";"0603";16;"1k";;;
24;"U$399,U$75,U$147,U$327,U$291,U$255,U$507,U$183,U$543,U$219,U$435,U$471,U$3,U$363,U$39,U$111";"SCL0";16;"";;;
