"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R69,R73,R142,R5,R129,R14,R53,R126,R85,R130,R46,R61,R58,R74,R90,R18,R22,R137,R134,R118,R78,R33,R17,R9,R57,R122,R25,R102,R114,R133,R66,R62,R10,R21,R37,R138,R70,R98,R113,R86,R50,R41,R109,R97,R3,R49,R141,R38,R65,R110,R30,R121,R105,R125,R82,R45,R26,R106,R13,R77,R2,R94,R29,R54,R89,R117,R93,R81,R6,R101,R42,R34";"0603-RES";72;"2.2k";;;
2;"FID59,FID61,FID34,FID7,FID21,FID60,FID15,FID64,FID5,FID38,FID70,FID57,FID28,FID29,FID46,FID65,FID20,FID43,FID25,FID36,FID24,FID1,FID53,FID51,FID49,FID72,FID32,FID35,FID12,FID42,FID45,FID10,FID33,FID23,FID54,FID68,FID9,FID26,FID56,FID19,FID4,FID58,FID55,FID63,FID2,FID8,FID40,FID30,FID31,FID44,FID13,FID22,FID3,FID39,FID6,FID16,FID48,FID11,FID18,FID17,FID41,FID47,FID69,FID14,FID50,FID66,FID62,FID37,FID71,FID27,FID52,FID67";"FIDUCIAL-1X2";72;"FIDUCIAL1X2";;;
3;"STANDOFF43,STANDOFF59,STANDOFF44,STANDOFF49,STANDOFF19,STANDOFF36,STANDOFF30,STANDOFF38,STANDOFF3,STANDOFF51,STANDOFF67,STANDOFF17,STANDOFF16,STANDOFF4,STANDOFF63,STANDOFF68,STANDOFF34,STANDOFF41,STANDOFF31,STANDOFF25,STANDOFF61,STANDOFF13,STANDOFF7,STANDOFF56,STANDOFF39,STANDOFF40,STANDOFF32,STANDOFF60,STANDOFF45,STANDOFF69,STANDOFF14,STANDOFF64,STANDOFF35,STANDOFF21,STANDOFF62,STANDOFF10,STANDOFF15,STANDOFF72,STANDOFF23,STANDOFF5,STANDOFF12,STANDOFF6,STANDOFF66,STANDOFF57,STANDOFF70,STANDOFF27,STANDOFF22,STANDOFF65,STANDOFF37,STANDOFF42,STANDOFF9,STANDOFF52,STANDOFF55,STANDOFF29,STANDOFF20,STANDOFF46,STANDOFF47,STANDOFF8,STANDOFF2,STANDOFF58,STANDOFF53,STANDOFF71,STANDOFF11,STANDOFF48,STANDOFF50,STANDOFF33,STANDOFF24,STANDOFF1,STANDOFF54,STANDOFF18,STANDOFF26,STANDOFF28";"STAND-OFF";72;"STAND-OFF";;;
4;"SJ27,SJ11,SJ31,SJ16,SJ20,SJ23,SJ17,SJ5,SJ9,SJ1,SJ4,SJ18,SJ6,SJ21,SJ10,SJ22,SJ30,SJ25,SJ2,SJ32,SJ13,SJ15,SJ28,SJ35,SJ29,SJ8,SJ14,SJ24,SJ19,SJ3,SJ26,SJ12,SJ36,SJ7,SJ33,SJ34";"PAD-JUMPER-3-NC_BY_PASTE_YES_SILK_FULL_BOX";36;"";;;
5;"U$26,U$9,U$20,U$33,U$36,U$1,U$30,U$28,U$29,U$4,U$32,U$24,U$18,U$13,U$15,U$12,U$16,U$27,U$14,U$3,U$17,U$8,U$21,U$31,U$35,U$22,U$11,U$7,U$19,U$34,U$10,U$25,U$23,U$5,U$2,U$6";"SFE_LOGO_FLAME_.1";36;"";;;
6;"C15,C31,C55,C7,C17,C29,C23,C69,C71,C49,C37,C45,C63,C51,C33,C35,C25,C9,C27,C41,C53,C65,C13,C11,C3,C67,C5,C47,C59,C43,C19,C61,C39,C57,C1,C21";"0603-CAP";36;"4.7uF";;;
7;"U14,U22,U36,U31,U7,U28,U19,U33,U30,U32,U35,U10,U6,U13,U1,U23,U26,U18,U29,U27,U4,U15,U24,U9,U11,U12,U16,U8,U17,U2,U21,U25,U20,U3,U34,U5";"VL6180";36;"VL6180";;;
8;"C58,C56,C38,C20,C70,C18,C36,C62,C8,C64,C60,C30,C66,C6,C48,C32,C4,C34,C40,C26,C12,C2,C24,C10,C50,C22,C46,C44,C16,C42,C28,C14,C72,C54,C68,C52";"0603-CAP";36;"0.1uF";;;
9;"JP19,JP21,JP24,JP28,JP13,JP5,JP10,JP18,JP23,JP14,JP27,JP26,JP16,JP6,JP20,JP32,JP7,JP17,JP35,JP25,JP34,JP36,JP22,JP31,JP12,JP11,JP2,JP30,JP8,JP15,JP9,JP29,JP4,JP33,JP3,JP1";"1X06";36;"";;;
10;"R127,R80,R103,R16,R120,R39,R19,R123,R47,R99,R119,R116,R100,R96,R8,R32,R131,R23,R72,R68,R111,R143,R135,R104,R12,R43,R136,R71,R15,R84,R75,R1,R67,R83,R27,R128,R36,R108,R144,R92,R59,R24,R140,R31,R40,R28,R79,R60,R20,R95,R124,R52,R139,R115,R91,R11,R4,R107,R35,R112,R7,R51,R76,R56,R64,R87,R48,R132,R44,R63,R55,R88";"0603-RES";72;"47K";;;
11;"E$4,E$6";"FIDUCIAL-1X2";2;"";;;
12;"E$1";"FIDUCIAL-1.5X3";1;"";;;
13;"LOGO21,LOGO25,LOGO13,LOGO49,LOGO7,LOGO71,LOGO41,LOGO45,LOGO3,LOGO55,LOGO31,LOGO37,LOGO47,LOGO39,LOGO53,LOGO27,LOGO15,LOGO67,LOGO5,LOGO35,LOGO61,LOGO51,LOGO69,LOGO33,LOGO1,LOGO11,LOGO29,LOGO9,LOGO19,LOGO65,LOGO23,LOGO17,LOGO63,LOGO43,LOGO57,LOGO59";"SFE_LOGO_NAME_FLAME_.1";36;"SFE_LOGO_NAME_FLAME.1_INCH";;;
14;"LOGO30,LOGO66,LOGO8,LOGO50,LOGO34,LOGO42,LOGO2,LOGO20,LOGO38,LOGO46,LOGO28,LOGO40,LOGO32,LOGO14,LOGO68,LOGO56,LOGO10,LOGO64,LOGO60,LOGO70,LOGO4,LOGO72,LOGO22,LOGO48,LOGO52,LOGO6,LOGO62,LOGO12,LOGO54,LOGO16,LOGO26,LOGO58,LOGO18,LOGO36,LOGO44,LOGO24";"OSHW-LOGO-S";36;"OSHW-LOGOS";;;
