"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FD3,FD9,FD17,FD15,FD1,FD27,FD31,FD13,FD19,FD7,FD11,FD25,FD29,FD21,FD23,FD5,FD16,FD8,FD2,FD12,FD32,FD28,FD20,FD30,FD14,FD4,FD6,FD24,FD18,FD26,FD22,FD10";"FIDUCIAL-1X2";32;"FIDUCIAL1X2";;;
2;"U$27,U$28,U$105,U$67,U$143,U$124,U$48,U$86";"#PWR#0";8;"";;;
3;"D9,D1,D4,D13,D7,D15,D11,D3";"LED-0603";8;"RED";;;
4;"@HOLE17,@HOLE16,@HOLE5,@HOLE3,@HOLE29,@HOLE27,@HOLE12,@HOLE19,@HOLE6,@HOLE23,@HOLE31,@HOLE24,@HOLE21,@HOLE2,@HOLE11,@HOLE14,@HOLE4,@HOLE9,@HOLE22,@HOLE0,@HOLE26,@HOLE13,@HOLE8,@HOLE7,@HOLE18,@HOLE20,@HOLE28,@HOLE1,@HOLE15,@HOLE25,@HOLE30,@HOLE10";"";32;"";;;
5;"R2,R4,R8,R16,R6,R12,R10,R14";"0402-TIGHT";8;"100k";;;
6;"LOGO9,LOGO7,LOGO1,LOGO13,LOGO2,LOGO15,LOGO5,LOGO11,LOGO8,LOGO3,LOGO6,LOGO12,LOGO4,LOGO14,LOGO10,LOGO16";"OSHW-LOGO-S";16;"OSHW-LOGOS";;;
7;"Q5,Q4,Q1,Q2,Q8,Q7,Q6,Q3";"SOT23-3";8;"3.1A/30V/105mΩ";;;
8;"C2,C3,C47,C1,C7,C6,C4,C5";"0402-TIGHT";8;"2.2uF";;;
9;"D5,D12,D14,D8,D16,D6,D2,D10";"SOD-323";8;"1A/23V/620mV";;;
10;"U7,U8,U2,U6,U5,U3,U4,U1";"SOT23-5";8;"3.3V";;;
11;"R11,R3,R5,R1,R9,R7,R13,R15";"0402-TIGHT";8;"1k";;;
12;"E6,E4,E5,E3,E1,E2,E7,E8";"SMA-EDGE-SMD";8;"ANTENNA-SMA-GROUNDEDEDGE_SMA_SMD";;;
13;"U$34,U$148,U$72,U$91,U$53,U$3,U$110,U$129";"ARTIC_R2_MODULE";8;"ARTIC_R2_MODULE";;;
14;"E$3,E$1,E$4,E$2";"FIDUCIAL-1X2";4;"";;;
15;"E$5,E$6";"FIDUCIAL-1.5X3";2;"";;;
16;"U$43,U$17,U$119,U$138,U$62,U$100,U$81,U$24";"#BOOT0";8;"";;;
17;"SPARKX5,SPARKX7,SPARKX8,SPARKX3,SPARKX4,SPARKX2,SPARKX6,SPARKX1";"SPARKX-MEDIUM";8;"SPARKX-LOGO4";;;
18;"U$6,U$107,U$31,U$126,U$69,U$50,U$88,U$145";"#G8#0";8;"";;;
19;"U$103,U$141,U$22,U$46,U$122,U$65,U$84,U$26";"#INT20";8;"";;;
20;"U$79,U$41,U$13,U$98,U$117,U$136,U$60,U$14";"SCLK#0";8;"";;;
21;"U$15,U$80,U$61,U$42,U$99,U$137,U$16,U$118";"CS#0";8;"";;;
22;"U$2,U$147,U$71,U$52,U$128,U$109,U$90,U$33";"#3#3V#0";8;"";;;
23;"JP3,JP5,JP11,JP13,JP15,JP1,JP9,JP7";"SMT-JUMPER_2_NC_TRACE_SILK";8;"JUMPER-SMT_2_NC_TRACE_SILK";;;
24;"U$74,U$93,U$112,U$36,U$55,U$131,U$7,U$150";"#EN#0";8;"";;;
25;"U$64,U$121,U$21,U$140,U$19,U$83,U$102,U$45";"#PWR_EN0";8;"";;;
26;"J16,J32,J7,J11,J31,J28,J2,J12,J23,J27,J8,J15,J19,J1,J24,J20";"1X06_SMD_MALE";16;"";;;
27;"U$40,U$59,U$12,U$78,U$116,U$97,U$11,U$135";"COPI#0";8;"";;;
28;"JP10,JP16,JP14,JP2,JP4,JP8,JP12,JP6";"SMT-JUMPER_3_1-NC_TRACE_SILK";8;"JUMPER-SMT_3_1-NC_TRACE_SILK";;;
29;"U$37,U$151,U$75,U$56,U$94,U$8,U$132,U$113";"#VUSB#0";8;"";;;
30;"U$134,U$9,U$58,U$77,U$96,U$10,U$115,U$39";"CIPO#0";8;"";;;
31;"J9,J3,J18,J21,J4,J30,J26,J14,J5,J13,J22,J29,J17,J10,J25,J6";"1X08_SMD_MALE";16;"";;;
32;"U$125,U$106,U$68,U$29,U$87,U$49,U$144,U$30";"ARTIC_R2_BREAKOUT0";8;"";;;
33;"U$54,U$5,U$35,U$73,U$149,U$130,U$111,U$92";"#VBAT#0";8;"";;;
34;"U$1,U$146,U$32,U$89,U$127,U$51,U$70,U$108";"#GND#0";8;"";;;
35;"U$133,U$57,U$95,U$76,U$114,U$4,U$38,U$152";"#FLASH_PWR#0";8;"";;;
36;"U$18,U$20,U$44,U$63,U$82,U$139,U$101,U$120";"#RESETB0";8;"";;;
37;"U$23,U$142,U$104,U$47,U$25,U$66,U$85,U$123";"#INT10";8;"";;;
