"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"L77,L255,L262,L18,L288,L224,L48,L78,L202,L211,L93,L119,L96,L271,L185,L232,L150,L216,L284,L75,L141,L300,L273,L76,L182,L1,L64,L277,L125,L152,L228,L240,L199,L60,L109,L292,L209,L142,L231,L183,L15,L19,L61,L122,L286,L13,L289,L32,L136,L217,L275,L81,L261,L270,L290,L140,L256,L257,L149,L254,L105,L31,L258,L167,L112,L212,L9,L230,L94,L195,L120,L36,L166,L80,L46,L156,L184,L10,L226,L52,L276,L137,L91,L2,L47,L79,L89,L127,L21,L90,L180,L20,L200,L14,L121,L139,L269,L214,L187,L3,L225,L74,L181,L201,L164,L104,L138,L272,L95,L243,L65,L82,L134,L62,L44,L215,L213,L285,L154,L153,L49,L157,L123,L196,L22,L16,L246,L45,L244,L165,L198,L4,L179,L299,L59,L106,L172,L194,L67,L210,L50,L63,L245,L126,L229,L29,L135,L227,L241,L33,L110,L17,L124,L34,L170,L169,L247,L66,L97,L242,L168,L259,L37,L171,L35,L274,L92,L186,L260,L107,L51,L291,L197,L111,L30,L155,L239,L287,L108,L151";"0402-TIGHT";180;"30Ω";;;
2;"L253,L58,L193,L148,L133,L283,L298,L103,L28,L268,L43,L88,L163,L73,L238,L118,L223,L12,L178,L208";"0402_COILCRAFT";20;"51nH";;;
3;"L162,L11,L87,L192,L102,L222,L207,L132,L267,L117,L42,L57,L237,L282,L252,L177,L147,L27,L297,L72";"0402_COILCRAFT";20;"30nH";;;
4;"C661,C910,C693,C840,C301,C934,C296,C812,C911,C122,C52,C379,C664,C125,C420,C960,C11,C224,C835,C862,C861,C787,C24,C493,C204,C22,C737,C909,C176,C921,C324,C967,C416,C765,C889,C444,C939,C419,C100,C813,C786,C676,C497,C345,C19,C126,C491,C371,C154,C333,C518,C469,C448,C933,C764,C480,C297,C382,C517,C715,C30,C520,C330,C128,C25,C431,C295,C225,C774,C612,C220,C323,C883,C938,C808,C273,C710,C820,C918,C759,C514,C350,C275,C399,C127,C21,C43,C785,C47,C906,C688,C589,C344,C689,C519,C771,C714,C498,C321,C834,C248,C274,C884,C246,C253,C373,C468,C302,C970,C540,C541,C823,C367,C175,C105,C529,C149,C400,C428,C546,C393,C370,C148,C716,C563,C79,C624,C155,C763,C575,C203,C199,C183,C547,C76,C232,C616,C471,C687,C742,C814,C470,C578,C186,C791,C85,C567,C247,C743,C961,C857,C443,C738,C235,C465,C722,C590,C591,C617,C694,C639,C958,C860,C644,C137,C595,C77,C872,C645,C666,C346,C150,C37,C627,C526,C223,C372,C811,C197,C272,C542,C792,C78,C869,C762,C959,C395,C421,C226,C713,C31,C615,C841,C477,C56,C269,C569,C88,C174,C422,C36,C638,C394,C57,C351,C284,C51,C134,C442,C177,C171,C955,C281,C618,C863,C198,C492,C449,C596,C673,C912,C932,C73,C42,C252,C836,C890,C725,C736,C640,C568,C101,C566,C885,C322,C106,C99,C318,C667,C665";"0402-TIGHT";240;"100pF";;;
5;"U101,U87,U52,U5,U24,U10,U80,U73,U45,U129,U59,U38,U66,U108,U122,U136,U115,U31,U17,U94";"SOT65P220X100-6N";20;"AS179-92LF";;;
6;"U132,U27,U97,U139,U104,U1,U83,U62,U55,U41,U20,U69,U34,U76,U118,U125,U111,U48,U90,U13";"TSOT6";20;"ADM4210-1";;;
7;"C680,C549,C700,C190,C630,C800,C306,C853,C65,C110,C880,C827,C679,C924,C208,C588,C931,C751,C586,C582,C894,C238,C551,C553,C484,C216,C243,C798,C439,C974,C343,C294,C357,C406,C50,C929,C390,C259,C794,C826,C876,C559,C600,C385,C453,C581,C32,C733,C978,C532,C255,C412,C312,C728,C500,C602,C408,C336,C108,C92,C490,C189,C684,C947,C98,C892,C145,C308,C898,C875,C698,C206,C441,C404,C265,C35,C212,C510,C502,C363,C292,C310,C359,C539,C41,C506,C488,C63,C802,C941,C533,C116,C8,C796,C753,C851,C304,C147,C214,C159,C461,C355,C604,C196,C631,C845,C896,C392,C91,C804,C745,C637,C606,C341,C314,C163,C925,C747,C702,C735,C410,C435,C165,C118,C843,C902,C686,C337,C696,C973,C847,C782,C239,C49,C263,C38,C451,C777,C457,C161,C67,C48,C943,C167,C245,C951,C455,C729,C882,C257,C778,C210,C833,C653,C59,C157,C96,C483,C402,C434,C261,C608,C61,C353,C459,C6,C945,C706,C980,C755,C112,C647,C386,C784,C831,C114,C849,C287,C504,C649,C288,C69,C555,C141,C704,C598,C657,C508,C900,C635,C194,C537,C26,C651,C140,C557,C749,C949,C655,C361";"0402-TIGHT";200;"0.1uF";;;
8;"SCREEN3,SCREEN12,SCREEN4,SCREEN15,SCREEN19,SCREEN17,SCREEN9,SCREEN18,SCREEN6,SCREEN14,SCREEN0,SCREEN8,SCREEN16,SCREEN7,SCREEN1,SCREEN10,SCREEN13,SCREEN11,SCREEN2,SCREEN5";"ARTIC_R2_CASTELLATED";20;"ARTIC_R2_CASTELLATED_CAN";;;
9;"FD5,FD27,FD73,FD35,FD43,FD55,FD79,FD29,FD13,FD25,FD71,FD49,FD65,FD51,FD61,FD77,FD19,FD7,FD37,FD57,FD33,FD1,FD9,FD67,FD15,FD23,FD53,FD75,FD47,FD41,FD39,FD63,FD21,FD59,FD11,FD31,FD17,FD45,FD69,FD3,FD38,FD34,FD28,FD44,FD36,FD64,FD80,FD10,FD56,FD78,FD68,FD72,FD62,FD70,FD60,FD4,FD6,FD24,FD2,FD12,FD66,FD14,FD52,FD76,FD16,FD48,FD42,FD58,FD8,FD50,FD30,FD22,FD26,FD46,FD32,FD54,FD40,FD18,FD74,FD20";"FIDUCIAL-1X2";80;"FIDUCIAL1X2";;;
10;"L280,L205,L85,L220,L235,L115,L100,L70,L175,L130,L145,L40,L250,L6,L25,L265,L295,L55,L160,L190";"0402_COILCRAFT";20;"27nH";;;
