"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J6,J34,J14,J30,J3,J22,J26,J18,J10";"1X04_NO_SILK";9;"PTH";;;
2;"JP42,JP26,JP36,JP11,JP12,JP1,JP37,JP5,JP21,JP32,JP3,JP22,JP31,JP17,JP41,JP4,JP16,JP27";"STAND-OFF";18;"STAND-OFF";;;
3;"JP24,JP19,JP33,JP38,JP28,JP34,JP2,JP14,JP9,JP23,JP43,JP13,JP8,JP44,JP18,JP39,JP6,JP29";"MICRO-FIDUCIAL";18;"FIDUCIALUFIDUCIAL";;;
4;"U$9,U$5,U$3,U$13,U$7,U$2,U$15,U$17,U$11,U$18,U$12,U$4,U$6,U$16,U$1,U$10,U$8,U$14";"SPARKX-MEDIUM";18;"SPARKX-LOGO4";;;
5;"C31,C7,C27,C23,C2,C15,C19,C11,C35";"0603";9;"2.2uF";;;
6;"R24,R12,R16,R1,R20,R32,R36,R28,R8";"0603";9;"20";;;
7;"U7,U5,U6,U9,U8,U2,U4,U3,U1";"GRIDEYE-AMG88";9;"GRIDEYE";;;
8;"R5,R14,R6,R21,R9,R26,R25,R29,R33,R30,R4,R34,R13,R17,R18,R10,R3,R22";"0603";18;"4.7k";;;
9;"R19,R15,R23,R35,R11,R31,R7,R2,R27";"0603";9;"10k";;;
10;"J1,J36,J16,J32,J24,J20,J28,J8,J12";"1X01_NO_SILK";9;"";;;
11;"JP10,JP25,JP45,JP40,JP35,JP15,JP7,JP30,JP20";"SMT-JUMPER_3_2-NC_PASTE_SILK";9;"";;;
12;"C16,C28,C3,C12,C8,C20,C24,C36,C32";"0603";9;"10uF";;;
13;"C4,C13,C21,C9,C33,C29,C25,C5,C17";"0603";9;"0.1uF";;;
14;"C30,C26,C1,C34,C18,C22,C6,C10,C14";"0603";9;"1.0uF";;;
15;"J27,J13,J7,J5,J35,J33,J19,J11,J9,J2,J4,J21,J15,J17,J25,J29,J31,J23";"1X04_1MM_RA";18;"SMD";;;
16;"LOGO4,LOGO7,LOGO2,LOGO9,LOGO1,LOGO8,LOGO6,LOGO3,LOGO5";"OSHW-LOGO-MINI";9;"OSHW-LOGOMINI";;;
17;"SJ4,SJ5,SJ8,SJ6,SJ9,SJ2,SJ3,SJ7,SJ1";"SJ_2S-NO";9;"";;;
