"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$95,U$47,U$303,U$159,U$31,U$287,U$11,U$239,U$143,U$191,U$255,U$127,U$383,U$399,U$63,U$223,U$111,U$207,U$175,U$335,U$319,U$79,U$367,U$351,U$271,U$192,U$80,U$400,U$288,U$32,U$144,U$240,U$336,U$384,U$160,U$272,U$224,U$208,U$176,U$368,U$128,U$304,U$256,U$48,U$320,U$96,U$112,U$12,U$64,U$352";"QWIIC_5.5MM";50;"";;;
2;"U$50,U$306,U$82,U$354,U$34,U$98,U$146,U$242,U$66,U$114,U$194,U$274,U$1,U$290,U$14,U$210,U$370,U$130,U$258,U$322,U$226,U$338,U$162,U$386,U$178,U$337,U$65,U$289,U$385,U$209,U$321,U$257,U$2,U$113,U$13,U$145,U$241,U$193,U$97,U$353,U$81,U$161,U$369,U$33,U$225,U$177,U$273,U$305,U$49,U$129";"SPARKX-MEDIUM";50;"SPARKX-LOGO4";;;
3;"U$235,U$219,U$155,U$331,U$91,U$25,U$123,U$267,U$59,U$299,U$363,U$251,U$283,U$395,U$315,U$187,U$379,U$75,U$10,U$203,U$139,U$347,U$171,U$43,U$107";"(PWR)";25;"";;;
4;"U$173,U$301,U$141,U$61,U$397,U$285,U$125,U$381,U$333,U$157,U$205,U$365,U$29,U$77,U$109,U$349,U$317,U$221,U$189,U$93,U$45,U$237,U$8,U$269,U$253,U$348,U$236,U$300,U$284,U$7,U$268,U$220,U$172,U$28,U$396,U$140,U$60,U$124,U$364,U$92,U$204,U$156,U$332,U$108,U$252,U$76,U$380,U$188,U$316,U$44";"SHTC3_HUMIDITY1";50;"";;;
5;"J29,J53,J59,J38,J8,J50,J23,J20,J44,J32,J71,J14,J26,J11,J62,J41,J47,J65,J56,J68,J5,J74,J3,J35,J17";"1X04_NO_SILK";25;"PTH";;;
6;"U$163,U$355,U$179,U$243,U$21,U$35,U$51,U$227,U$195,U$131,U$211,U$307,U$67,U$15,U$323,U$339,U$291,U$115,U$387,U$147,U$99,U$371,U$259,U$83,U$275,U$136,U$4,U$328,U$56,U$376,U$20,U$312,U$40,U$216,U$88,U$104,U$232,U$392,U$152,U$120,U$296,U$168,U$344,U$200,U$248,U$360,U$184,U$264,U$72,U$280";"3#3V2";50;"";;;
7;"R7,R13,R64,R73,R4,R16,R61,R3,R46,R34,R37,R70,R55,R31,R25,R28,R10,R49,R43,R40,R67,R22,R52,R58,R19";"0603";25;"1k";;;
8;"J73,J48,J31,J55,J25,J21,J39,J72,J1,J16,J45,J63,J58,J34,J60,J49,J43,J66,J30,J57,J51,J12,J10,J2,J7,J67,J37,J61,J13,J70,J40,J4,J6,J69,J28,J22,J36,J54,J64,J18,J27,J15,J24,J19,J42,J46,J33,J75,J52,J9";"1X04_1MM_RA";50;"";;;
9;"JP165,JP39,JP88,JP157,JP80,JP11,JP144,JP137,JP109,JP2,JP171,JP53,JP115,JP81,JP122,JP24,JP66,JP101,JP60,JP94,JP102,JP25,JP150,JP17,JP87,JP158,JP59,JP6,JP151,JP32,JP116,JP130,JP52,JP95,JP67,JP18,JP31,JP164,JP10,JP143,JP74,JP45,JP172,JP38,JP108,JP136,JP123,JP46,JP129,JP73,JP5,JP76,JP167,JP34,JP96,JP40,JP166,JP103,JP68,JP1,JP33,JP48,JP90,JP12,JP131,JP83,JP138,JP62,JP110,JP117,JP111,JP89,JP139,JP132,JP61,JP145,JP159,JP146,JP153,JP173,JP41,JP19,JP47,JP20,JP118,JP13,JP27,JP55,JP125,JP75,JP97,JP82,JP174,JP69,JP104,JP54,JP26,JP124,JP152,JP160";"MICRO-FIDUCIAL";100;"FIDUCIALUFIDUCIAL";;;
10;"C23,C25,C15,C4,C24,C7,C13,C12,C10,C21,C5,C18,C6,C20,C16,C2,C1,C8,C9,C3,C11,C22,C14,C17,C19";"0603";25;"0.1uF";;;
