"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$229,U$37,U$64,U$130,U$295,U$97,U$262,U$163,U$196,U$131,U$197,U$1,U$164,U$263,U$230,U$98,U$296,U$65";"QWIIC_PRESSURE1";18;"";;;
2;"U$22,U$14,U$224,U$158,U$267,U$234,U$59,U$92,U$135,U$168,U$125,U$191,U$290,U$102,U$31,U$201,U$257,U$69,U$225,U$159,U$39,U$270,U$32,U$192,U$105,U$3,U$171,U$60,U$291,U$126,U$93,U$237,U$204,U$72,U$138,U$258";"GND1";36;"";;;
3;"U$101,U$134,U$223,U$68,U$30,U$167,U$91,U$157,U$266,U$190,U$200,U$13,U$289,U$233,U$124,U$58,U$256,U$21,U$193,U$33,U$259,U$271,U$94,U$40,U$160,U$139,U$127,U$205,U$73,U$4,U$226,U$172,U$292,U$238,U$106,U$61";"3#3V2";36;"";;;
4;"D8,D1,D7,D6,D5,D3,D4,D2,D9";"LED-0603";9;"RED";;;
5;"J15,J40,J25,J10,J30,J6,J45,J20,J35";"1X07_NO_SILK";9;"";;;
6;"U$181,U$247,U$115,U$82,U$280,U$148,U$49,U$17,U$214,U$48,U$147,U$180,U$246,U$279,U$16,U$114,U$213,U$81";"MOSI";18;"";;;
7;"C6,C12,C14,C10,C1,C16,C18,C8,C4";"0603";9;"4.7uF";;;
8;"R8,R5,R32,R20,R19,R7,R26,R49,R31,R50,R44,R25,R43,R14,R13,R4,R37,R38";"0603";18;"2.2k";;;
9;"JP26,JP37,JP3,JP25,JP7,JP19,JP44,JP14,JP31,JP13,JP8,JP4,JP38,JP49,JP32,JP43,JP50,JP20";"STAND-OFF";18;"STAND-OFF";;;
10;"U$96,U$294,U$195,U$63,U$228,U$35,U$261,U$162,U$129,U$165,U$132,U$66,U$297,U$7,U$264,U$99,U$231,U$198";"LPS25HB0";18;"";;;
11;"R27,R9,R3,R51,R33,R39,R15,R45,R21";"0603";9;"1k";;;
12;"R40,R2,R17,R30,R18,R47,R36,R54,R16,R35,R22,R48,R29,R10,R46,R42,R41,R11,R24,R53,R6,R1,R28,R12,R52,R34,R23";"0603";27;"10k";;;
13;"U$26,U$36,U$202,U$169,U$268,U$70,U$235,U$136,U$103,U$75,U$174,U$141,U$273,U$6,U$207,U$42,U$240,U$108";"SCL9";18;"";;;
14;"E$1,E$2";"FIDUCIAL-1X2";2;"";;;
15;"J41,J31,J16,J11,J13,J18,J8,J28,J26,J38,J21,J2,J4,J5,J43,J33,J23,J36";"1X04_1MM_RA";18;"";;;
16;"U$184,U$283,U$250,U$217,U$118,U$52,U$85,U$151,U$20,U$218,U$284,U$251,U$86,U$53,U$23,U$185,U$152,U$119";"CS#-[_";18;"";;;
17;"U$269,U$27,U$137,U$236,U$38,U$71,U$104,U$170,U$203,U$5,U$272,U$173,U$74,U$206,U$239,U$41,U$107,U$140";"SDA8";18;"";;;
18;"JP2,JP21,JP22,JP34,JP40,JP52,JP45,JP28,JP10,JP6,JP9,JP46,JP51,JP16,JP15,JP39,JP27,JP33,JP23,JP36,JP24,JP5,JP18,JP1,JP53,JP35,JP47,JP11,JP30,JP29,JP48,JP17,JP54,JP41,JP42,JP12";"MICRO-FIDUCIAL";36;"FIDUCIALUFIDUCIAL";;;
19;"U$182,U$149,U$83,U$248,U$281,U$215,U$50,U$18,U$116,U$249,U$150,U$216,U$84,U$183,U$19,U$51,U$282,U$117";"SCK-[)";18;"";;;
20;"U$277,U$112,U$211,U$145,U$46,U$244,U$10,U$79,U$178,U$47,U$80,U$212,U$11,U$278,U$146,U$245,U$113,U$179";"MISO";18;"";;;
21;"U4,U8,U2,U1,U3,U6,U5,U9,U7";"LPS25HB";9;"LPS25HB";;;
22;"J44,J39,J24,J19,J34,J9,J14,J29,J1";"1X01_NO_SILK";9;"";;;
23;"U$122,U$219,U$254,U$87,U$221,U$252,U$56,U$153,U$24,U$28,U$186,U$287,U$285,U$188,U$89,U$54,U$120,U$155,U$220,U$121,U$25,U$29,U$222,U$286,U$55,U$189,U$57,U$154,U$156,U$255,U$187,U$90,U$288,U$88,U$253,U$123";"INT#-[_";36;"";;;
24;"J3,J32,J12,J27,J42,J17,J37,J22,J7";"1X04_NO_SILK";9;"PTH";;;
25;"C17,C13,C2,C11,C3,C7,C5,C9,C15";"0603";9;"0.1uF";;;
26;"U$276,U$243,U$15,U$111,U$210,U$78,U$177,U$144,U$45";"PWR-()-03";9;"";;;
27;"E$3";"FIDUCIAL-1.5X3";1;"";;;
28;"U$260,U$95,U$293,U$194,U$128,U$34,U$62,U$227,U$161";"ADR-()-03";9;"";;;
29;"I2C0,I2C5,I2C2,I2C7,I2C4,I2C3,I2C8,I2C6,I2C1";"SMT-JUMPER_3_2-NC_TRACE_SILK";9;"";;;
30;"ADR1,ADR4,ADR2,ADR8,ADR7,ADR3,ADR0,ADR6,ADR5";"SMT-JUMPER_2_NO_SILK";9;"";;;
31;"U$109,U$9,U$208,U$76,U$175,U$274,U$142,U$43,U$241";"QWIIC-LOGO-MEDIUM";9;"";;;
32;"U$67,U$166,U$8,U$199,U$133,U$265,U$232,U$2,U$100";"SPARKX-MEDIUM";9;"SPARKX-LOGO4";;;
33;"U$44,U$275,U$77,U$143,U$176,U$110,U$12,U$209,U$242";"I_SUPER2_C-()-03";9;"";;;
34;"LOGO3,LOGO9,LOGO6,LOGO2,LOGO8,LOGO7,LOGO4,LOGO5,LOGO1";"OSHW-LOGO-MINI";9;"OSHW-LOGOMINI";;;
