"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D9,D6,D4,D3,D8,D7,D2,D5";"LED-0603";9;"RED";;;
2;"R17,R29,R26,R25,R18,R10,R14,R9,R13,R2,R33,R21,R30,R34,R4,R22,R6,R5";"0603";18;"2.2k";;;
3;"JP59,JP52,JP25,JP6,JP38,JP45,JP46,JP11,JP31,JP24,JP39,JP60,JP53,JP18,JP10,JP32,JP2,JP17,JP62,JP12,JP34,JP48,JP54,JP41,JP55,JP40,JP20,JP5,JP19,JP1,JP47,JP33,JP27,JP61,JP26,JP13";"MICRO-FIDUCIAL";36;"FIDUCIALUFIDUCIAL";;;
4;"U$91,U$10,U$167,U$110,U$53,U$34,U$129,U$148,U$72";"(PWR)";9;"";;;
5;"J7,J33,J23,J9,J15,J29,J27,J21,J31,J13,J17,J1,J19,J35,J4,J25,J11,J2";"1X04_1MM_RA";18;"SMD";;;
6;"C7,C2,C13,C17,C1,C9,C11,C5,C15";"0603";9;"2.2uF";;;
7;"U$23,U$102,U$121,U$140,U$45,U$159,U$64,U$83,U$25,U$109,U$7,U$147,U$71,U$128,U$90,U$33,U$166,U$52";"#INT14";18;"";;;
8;"U$62,U$43,U$157,U$18,U$119,U$21,U$138,U$100,U$81,U$68,U$144,U$4,U$106,U$163,U$125,U$49,U$87,U$30";"3#3V2";18;"";;;
9;"J3,J30,J18,J6,J10,J34,J14,J26,J22";"1X04_NO_SILK";9;"PTH";;;
10;"U$120,U$22,U$63,U$139,U$158,U$44,U$20,U$82,U$101,U$29,U$67,U$3,U$86,U$105,U$162,U$124,U$143,U$48";"GND1";18;"";;;
11;"JP51,JP15,JP22,JP58,JP8,JP3,JP44,JP43,JP30,JP36,JP16,JP57,JP29,JP4,JP7,JP50,JP37,JP23";"STAND-OFF";18;"STAND-OFF";;;
12;"J20,J12,J8,J5,J32,J36,J28,J24,J16";"1X01_NO_SILK";9;"";;;
13;"R7,R1,R31,R11,R19,R35,R27,R15,R23";"0603";9;"10k";;;
14;"U$17,U$99,U$156,U$118,U$19,U$80,U$61,U$42,U$137";"QWIIC_DISTANCE9";9;"";;;
15;"U4,U6,U2,U7,U1,U9,U3,U5,U8";"VCNL4040";9;"VCNL4040";;;
16;"R16,R20,R12,R8,R24,R36,R32,R28,R3";"0603";9;"1k";;;
17;"U$75,U$37,U$56,U$13,U$151,U$170,U$132,U$113,U$94";"VCNL40400";9;"";;;
18;"U$122,U$46,U$24,U$160,U$26,U$84,U$141,U$103,U$65,U$146,U$89,U$108,U$32,U$70,U$51,U$165,U$6,U$127";"SCL9";18;"";;;
19;"U$28,U$66,U$104,U$142,U$161,U$47,U$27,U$85,U$123,U$69,U$107,U$31,U$164,U$126,U$5,U$50,U$88,U$145";"SDA8";18;"";;;
20;"U$9,U$97,U$40,U$135,U$1,U$116,U$59,U$78,U$154,U$2,U$153,U$39,U$77,U$58,U$8,U$134,U$115,U$96";"SPARKX-MEDIUM";18;"SPARKX-LOGO4";;;
21;"C4,C10,C8,C12,C18,C14,C16,C6,C3";"0603";9;"0.1uF";;;
22;"E$3";"FIDUCIAL-1.5X3";1;"";;;
23;"E$1,E$2";"FIDUCIAL-1X2";2;"";;;
24;"U$117,U$136,U$15,U$41,U$155,U$98,U$79,U$16,U$60";"QWIIC_DISTANCE7";9;"";;;
25;"U$111,U$11,U$54,U$35,U$92,U$168,U$149,U$130,U$73";"(I_SUPER2_C)";9;"";;;
26;"U$93,U$74,U$55,U$112,U$150,U$169,U$36,U$131,U$12";"(INT)";9;"";;;
27;"LOGO5,LOGO7,LOGO4,LOGO3,LOGO1,LOGO8,LOGO9,LOGO6,LOGO2";"OSHW-LOGO-MINI";9;"OSHW-LOGOMINI";;;
28;"I2C5,I2C2,I2C0,I2C4,I2C1,I2C7,I2C6,I2C8,I2C3";"SMT-JUMPER_3_2-NC_TRACE_SILK";9;"";;;
29;"JP42,JP21,JP35,JP56,JP28,JP9,JP63,JP49,JP14";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";9;"INT";;;
30;"U$76,U$133,U$171,U$57,U$14,U$38,U$114,U$152,U$95";"VCNL40401";9;"";;;
