"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$348,U$377,U$319,U$14,U$435,U$464,U$232,U$145,U$406,U$290,U$116,U$261,U$174,U$58,U$87,U$203";"TIME#OF#FLIGHT0";16;"";;;
2;"R26,R66,R37,R16,R71,R1,R11,R21,R32,R77,R67,R52,R12,R31,R57,R46,R27,R17,R61,R41,R2,R7,R22,R62,R47,R56,R42,R72,R6,R36,R76,R51";"0603";32;"2.2k";;;
3;"E$5,E$6";"FIDUCIAL-1.5X3";2;"";;;
4;"R43,R30,R38,R58,R50,R63,R45,R65,R20,R13,R48,R33,R25,R80,R70,R4,R15,R28,R78,R23,R53,R8,R73,R10,R55,R3,R18,R75,R35,R68,R40,R60";"0603";32;"10k";;;
5;"U$149,U$352,U$350,U$436,U$293,U$31,U$349,U$234,U$439,U$89,U$177,U$409,U$380,U$61,U$204,U$381,U$379,U$60,U$117,U$320,U$119,U$120,U$15,U$62,U$118,U$1,U$2,U$4,U$233,U$264,U$292,U$408,U$205,U$235,U$351,U$294,U$3,U$148,U$88,U$321,U$176,U$437,U$407,U$178,U$91,U$90,U$32,U$146,U$410,U$236,U$323,U$265,U$206,U$291,U$263,U$59,U$207,U$378,U$175,U$147,U$33,U$262,U$438,U$322";"STAND-OFF";64;"";;;
6;"C39,C24,C17,C33,C34,C14,C32,C10,C23,C45,C12,C5,C8,C16,C27,C3,C44,C28,C13,C21,C19,C26,C15,C48,C31,C22,C46,C20,C47,C36,C40,C2,C43,C38,C4,C6,C25,C41,C37,C11,C18,C1,C30,C42,C7,C35,C29,C9";"0603";48;"0.1uF";;;
7;"U$150,U$208,U$266,U$411,U$20,U$237,U$382,U$353,U$34,U$324,U$63,U$295,U$179,U$121,U$92,U$440";"SPARKX-TINY";16;"";;;
8;"U3,U4,U10,U12,U14,U11,U6,U5,U13,U8,U7,U1,U16,U9,U15,U2";"TMF8801-CUSTOM";16;"TMF8801";;;
9;"U$55,U$316,U$200,U$432,U$142,U$30,U$171,U$345,U$229,U$258,U$374,U$287,U$461,U$84,U$403,U$113";"PWR2";16;"";;;
10;"J43,J31,J7,J15,J52,J64,J59,J60,J20,J35,J36,J55,J28,J2,J51,J24,J63,J23,J11,J39,J56,J1,J8,J16,J19,J27,J44,J48,J47,J32,J12,J40";"JST04_1MM_RA";32;"Qwiic";;;
11;"U$186,U$99,U$360,U$302,U$70,U$447,U$244,U$215,U$10,U$389,U$128,U$157,U$273,U$331,U$418,U$41,U$168,U$284,U$52,U$255,U$371,U$313,U$226,U$81,U$139,U$429,U$26,U$197,U$342,U$400,U$458,U$110";"#GPIO1#7";32;"";;;
12;"FRAME7,FRAME12,FRAME15,FRAME14,FRAME3,FRAME4,FRAME10,FRAME5,FRAME8,FRAME9,FRAME1,FRAME6,FRAME11,FRAME16,FRAME2,FRAME13";"DUMMY";16;"FRAME-LETTERNO_PACKAGE";;;
13;"FD18,FD45,FD42,FD25,FD57,FD26,FD5,FD9,FD22,FD13,FD17,FD58,FD34,FD46,FD29,FD41,FD21,FD6,FD49,FD50,FD53,FD61,FD14,FD1,FD33,FD3,FD54,FD37,FD10,FD38,FD62,FD30,FD12,FD40,FD35,FD63,FD36,FD48,FD32,FD15,FD4,FD52,FD59,FD60,FD2,FD23,FD8,FD44,FD56,FD47,FD19,FD24,FD11,FD28,FD43,FD7,FD27,FD51,FD64,FD16,FD39,FD20,FD55,FD31";"FIDUCIAL-1X2";64;"FIDUCIAL1X2";;;
14;"J62,J9,J58,J30,J14,J4,J25,J42,J54,J3,J13,J33,J53,J49,J45,J26,J37,J41,J50,J18,J6,J34,J29,J46,J10,J57,J38,J17,J22,J21,J5,J61";"1X04_NO_SILK";32;"";;;
15;"U$329,U$97,U$300,U$271,U$184,U$155,U$387,U$39,U$8,U$242,U$68,U$213,U$126,U$416,U$358,U$445,U$369,U$195,U$253,U$398,U$50,U$282,U$108,U$79,U$24,U$224,U$340,U$137,U$166,U$456,U$427,U$311";"##INT##7";32;"";;;
