"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$1,U$34";"D42";2;"";;;
2;"U$117";"G01";1;"";;;
3;"U$6,U$79";"____2____1";2;"";;;
4;"U$53,U$75";"__GND__14";2;"";;;
5;"U$21,U$37,U$22,U$108,U$109";"GND40";5;"";;;
6;"U$118";"G14";1;"";;;
7;"U$17,U$88";"____11____11";2;"";;;
8;"U$32,U$113,U$3";"C37";3;"";;;
9;"J7";"SCREWTERMINAL-5MM-2";1;"Screw Terminal";;;
10;"U$4,U$38";"GND48";2;"";;;
11;"U$48,U$43";"__5V__26";2;"";;;
12;"U$55,U$54,U$67,U$68";"__GND__25";4;"";;;
13;"U$120";"R12";1;"";;;
14;"U$61,U$70";"__VIN__24";2;"";;;
15;"U$112";"B15";1;"";;;
16;"J4";"1X06_NO_SILK";1;"";;;
17;"U$91";"SPARKX-MEDIUM";1;"SPARKX-LOGO4";;;
18;"U$14,U$86";"____9____9";2;"";;;
19;"U$23";"RGB_PANEL2";1;"";;;
20;"U$56,U$71";"__IRF__29";2;"";;;
21;"U$26,U$107";"5V47";2;"";;;
22;"U$9,U$82";"____5____5";2;"";;;
23;"U$10,U$83";"____6____6";2;"";;;
24;"U$15,U$87";"____10____10";2;"";;;
25;"U$40,U$122";"OE39";2;"";;;
26;"U$44,U$62";"__A0__23";2;"";;;
27;"U$46,U$63";"__A1__22";2;"";;;
28;"U$114,U$31";"B43";2;"";;;
29;"U$35";"G0#G145";1;"";;;
30;"U$57,U$69";"__RES__28";2;"";;;
31;"U$33,U$121";"CLK38";2;"";;;
32;"U$2,U$128";"SPARKX-MEDIUM";2;"";;;
33;"J2";"1X08_NO_SILK";1;"";;;
34;"U$124";"SHIELD0";1;"";;;
35;"U$51,U$72";"__A5__18";2;"";;;
36;"U$123";"LAT0";1;"";;;
37;"U$42";"R1#R234";1;"";;;
38;"U$29";"B0#B132";1;"";;;
39;"U$18,U$89";"____12____12";2;"";;;
40;"FD2,FD1,FD4,FD3";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
41;"U$12,U$84";"____7____7";2;"";;;
42;"U$47,U$64";"__A2__21";2;"";;;
43;"U$20,U$90";"____13____13";2;"";;;
44;"J8";"2X8-SHROUDED_LOCK";1;"SparkFun Panel";;;
45;"U$52,U$74";"__ARF__15";2;"";;;
46;"U$13,U$85";"____8____8";2;"";;;
47;"U$49,U$65";"__A3__20";2;"";;;
48;"J3";"1X10_NO_SILK";1;"";;;
49;"U$60,U$78";"__TX__0";2;"";;;
50;"U$24,U$73";"__RX__0";2;"";;;
51;"U$116";"B03";1;"";;;
52;"U$50,U$66";"__A4__19";2;"";;;
53;"J6";"1X07_NO_SILK";1;"";;;
54;"U$16";"PANEL0";1;"";;;
55;"U$5";"3#5V3";1;"";;;
56;"U$41";"R0#R131";1;"";;;
57;"U$58,U$76";"__SCL__17";2;"";;;
58;"U$7,U$80";"____3____3";2;"";;;
59;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
60;"U$11";"GND2";1;"";;;
61;"U$45,U$27";"__3#3__27";2;"";;;
62;"U$119";"R00";1;"";;;
63;"U$59,U$77";"__SDA__16";2;"";;;
64;"U$39";"LAT#STB41";1;"";;;
65;"U$36";"G1#G244";1;"";;;
66;"U$25,U$110";"3#3V46";2;"";;;
67;"U$28,U$115";"A36";2;"";;;
68;"U$19";"POWER1";1;"";;;
69;"U1";"UNO_R3_SHIELD_NOLABELS";1;"ARDUINO UNO";;;
70;"U$8,U$81";"____4____4";2;"";;;
71;"U$30";"B1#B235";1;"";;;
72;"LOGO1";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
