Ref,Val,Package,PosX,PosY,Rot,Side
"@HOLE0","","",165.0111,-85.9536,0.0000,top
"C1","10uF","EIA3216",132.1181,-102.8446,180.0000,top
"C2","15pF","0603",161.2011,-106.7816,90.0000,top
"C3","15pF","0603",155.7401,-106.7816,90.0000,top
"C4","0.1uF","0603",161.3281,-110.5916,-90.0000,top
"C5","1.0uF","0603",143.2433,-99.2886,-90.0000,top
"C6","0.1uF","0603",148.8821,-116.6876,0.0000,top
"C7","10uF","EIA3216",145.3261,-98.2726,90.0000,top
"C8","0.1uF","0603",141.7701,-99.2886,90.0000,top
"C9","4.7uF","0603",138.7221,-99.2886,-90.0000,top
"C10","0.1uF","0603",162.5981,-116.0526,-90.0000,top
"C11","0.1uF","0603",137.0711,-88.4936,-90.0000,top
"C12","1.0uF","0603",153.9621,-98.9076,-90.0000,top
"C13","10uF","EIA3216",151.9301,-98.2726,90.0000,top
"C14","0.1uF","0603",155.4861,-98.9076,90.0000,top
"C15","0.1uF","0603",152.9461,-106.9086,-90.0000,top
"D1","Green","LED-0603",169.7355,-118.4021,180.0000,top
"D3","3A/10V/300mV","SOD-323",143.2941,-95.8596,90.0000,top
"D4","BLUE","LED-0603",169.7355,-115.3541,180.0000,top
"D5","3A/10V/300mV","SOD-323",141.7701,-95.8596,90.0000,top
"D6","Yellow","LED-0603",169.7355,-116.8781,180.0000,top
"F1","6V 0.5A","0805",148.6281,-95.7326,180.0000,top
"FD3","FIDUCIAL1X2","FIDUCIAL-1X2",129.4511,-122.5296,0.0000,top
"FD4","FIDUCIAL1X2","FIDUCIAL-1X2",173.9011,-88.4936,0.0000,top
"FRAME2","FRAME-LEDGER","CREATIVE_COMMONS",107.8611,-138.0236,0.0000,top
"J1","","USB-MICROB-PTH-MILL",127.0381,-99.9236,-90.0000,top
"J2","","1X04_1MM_RA",170.0911,-89.7636,180.0000,top
"J3","","1X10_NO_SILK",139.6111,-121.5136,0.0000,top
"J4","","1X01_NO_SILK",165.0111,-88.4936,0.0000,top
"J5","","1X09_NO_SILK",142.1511,-85.9536,0.0000,top
"J6","","1X10_NO_SILK",139.6111,-124.0536,0.0000,top
"J7","PTH","1X02_NO_SILK",123.1011,-121.5136,90.0000,top
"J8","","1X02_NO_SILK",139.6111,-85.9536,-90.0000,top
"J9","External On/Off","1X02_NO_SILK",137.0711,-121.5136,-90.0000,top
"J10","AVR_SPI_PROG_3X2TESTPOINTS","2X3_TEST_POINTS",165.9001,-105.2576,-90.0000,top
"J11","","1X09_NO_SILK",142.1511,-88.4936,0.0000,top
"J12","5.5x2.1mm Barrel","POWER_JACK_SMD",126.6571,-112.1156,0.0000,top
"J13","U.FL","U.FL",172.6311,-94.2086,180.0000,top
"J15","","1X04_1MM_RA",170.0911,-120.2436,0.0000,top
"L1","","0603",151.4221,-106.9086,-90.0000,top
"LED1","RED","LED-0603",169.7355,-113.8301,0.0000,top
"Q1","310mA/60V/1.6Ω","SOT323",145.0721,-105.6386,0.0000,top
"R1","10k","0603",137.0711,-103.4796,90.0000,top
"R2","10k","0603",135.5471,-103.4796,-90.0000,top
"R5","2.0k","0603",140.2461,-99.2886,-90.0000,top
"R6","10k","0603",161.0741,-116.0526,-90.0000,top
"R7","1k","0603",166.6875,-118.4021,0.0000,top
"R8","10k","0603",141.3891,-113.1570,0.0000,top
"R9","1k","0603",166.6875,-115.3541,0.0000,top
"R10","1k","0603",166.6875,-116.8781,0.0000,top
"R12","10k","0603",145.0721,-107.7976,180.0000,top
"R13","1k","0603",166.6875,-113.8301,180.0000,top
"R14","750K","0603",137.1981,-99.2886,90.0000,top
"R15","240","0603",137.1981,-95.9866,90.0000,top
"R16","10k","0603",147.4851,-106.9086,-90.0000,top
"S1","Power","SWITCH_SPST_SMD_A",129.4511,-122.5042,180.0000,top
"S3","","TACTILE_SWITCH_SMD_RIGHT_ANGLE",129.4511,-87.4776,180.0000,top
"U1","MCP73831","SOT23-5",139.4841,-95.4786,180.0000,top
"U3","3.3V","SOT23-5",148.6281,-98.2726,-90.0000,top
"U4","ATSAMD21G","QFN-48_NO_EXPOSED_PAD",155.9941,-113.1316,-90.0000,top
"U5","4MB Flash","SO08",141.3891,-116.8400,-90.0000,top
"U7","ADJ5","SOT223",133.0071,-96.7486,0.0000,top
"U8","TXB0108DQSR","UFDFN-20",141.1351,-106.9086,0.0000,top
"U$1","","VUSB7",137.4521,-90.0176,0.0000,top
"U$3","","A43",150.9141,-90.0176,0.0000,top
"U$4","","A34",153.4541,-90.0176,0.0000,top
"U$5","","A25",155.9941,-90.0176,0.0000,top
"U$6","","A16",158.5341,-90.0176,0.0000,top
"U$7","","A07",160.9471,-90.0176,0.0000,top
"U$8","","MISO8",142.5321,-90.0176,0.0000,top
"U$9","","MOSI9",145.3261,-90.0176,0.0000,top
"U$10","","SCK10",148.2471,-90.0176,0.0000,top
"U$11","","ANT11",163.1061,-90.0176,0.0000,top
"U$12","","GND0",135.5471,-85.9536,0.0000,top
"U$13","","RST2",155.8671,-119.9896,0.0000,top
"U$15","","D90",143.2941,-119.9896,0.0000,top
"U$18","","D20",150.9141,-119.9896,0.0000,top
"U$20","","D30",148.5011,-119.9896,0.0000,top
"U$22","","D40",145.8341,-119.9896,0.0000,top
"U$23","","3V320",140.5001,-119.9896,0.0000,top
"U$24","","RAW21",137.8331,-119.9896,0.0000,top
"U$26","SPECIAL_INSTRUCTIONS-ORDERING","ORDERING_INSTRUCTIONS",87.5411,-139.2936,0.0000,top
"U$27","","SWITCH6",135.2931,-125.0696,90.0000,top
"U$28","","RST2",127.8001,-89.8906,0.0000,top
"U$51","","SPARKX-MEDIUM",170.0911,-105.0036,90.0000,top
"U$55","","D514",153.4541,-119.9896,0.0000,top
"U$60","","QWIIC-TEXT-04",174.0281,-107.6706,90.0000,top
"U$61","","OSHW-LOGO-MINI",124.3711,-88.6206,90.0000,top
"U$62","","GND0",164.2491,-124.0536,90.0000,top
"U$63","","PWR-()-03",171.1325,-113.8301,0.0000,top
"U$65","","CHG1",171.2595,-115.3541,0.0000,top
"U$69","","TX3",158.4071,-119.9896,0.0000,top
"U$70","","TX6",171.2595,-118.4021,0.0000,top
"U$72","","RX7",171.2595,-116.8781,0.0000,top
"U$73","","RX2",161.0741,-119.9896,0.0000,top
"U$81","","SAMD21_PRORF_1W5",172.3771,-113.8936,90.0000,top
"Y1","32.768kHz","CRYSTAL-SMD-3.2X1.5MM",158.4706,-107.1626,0.0000,top
