Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,1.0NF/1000PF-0402_TIGHT-50V-10%,C17,1.0nF,0402-TIGHT,1, ,
2,,47NF-0402_TIGHT-25V-10%-X7R,C10,47nF,0402-TIGHT,1, ,
3,,0.1UF-0402T-10V-10%-X7R,C49 C51,0.1UF-0402T-10V-10%-X7R,0402-TIGHT,2, ,
4,,0.1UF-0402T-6.3V-10%-X7R,C6 C8 C26 C32 C35 C38 C41 C50,0.1UF-0402T-6.3V-10%-X7R,0402-TIGHT,8, ,
5,,1.0UF-0402T-16V-10%,C3 C4 C9 C12 C23 C46,1.0UF-0402T-16V-10%,0402-TIGHT,6, ,
6,,100PF-0402T-50V-5%,C11 C19 C21 C22 C24 C25 C30 C31 C36 C37 C42 C43 C47,100PF-0402T-50V-5%,0402-TIGHT,13, ,
7,,10NF-0402T-25V-10%,C2,10NF-0402T-25V-10%,0402-TIGHT,1, ,
8,,10UF-0402T-6.3V-20%,C13 C14,10UF-0402T-6.3V-20%,0402-TIGHT,2, ,
9,,2.2UF-0402_TIGHT-10V-10%-X5R,C1 C15 C16 C20 C44 C45 C48 C52 C53,2.2UF-0402_TIGHT-10V-10%-X5R,0402-TIGHT,9, ,
10,,2.4PF-0402,C29,2.4PF-0402,0402_MURATA,1, ,
11,,22PF-0402T-16V-10%,C5 C7 C18 C27 C33 C34 C39 C40,22PF-0402T-16V-10%,0402-TIGHT,8, ,
12,,9.1PF-0402-TIGHT,C28,9.1PF-0402-TIGHT,0402-TIGHT,1, ,
13,,FRAME-LEDGER,FRAME1,FRAME-LEDGER,CREATIVE_COMMONS,1, ,
14,,JUMPER-SMT_2_NC_TRACE_NO-SILK,G16,JUMPER-SMT_2_NC_TRACE_NO-SILK,SMT-JUMPER_2_NC_TRACE_NO-SILK,1, ,
15,,CONN_16FPC_16_0.5MM,IN0 OUT0,CONN_16FPC_16_0.5MM,FPC_16_0.5MM,2, ,
