"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"UNK202,UNK245,UNK71,UNK230,UNK542,UNK276,UNK627,UNK207,UNK237,UNK641,UNK433,UNK651,UNK564,UNK378,UNK400,UNK33,UNK78,UNK190,UNK288,UNK602,UNK127,UNK124,UNK466,UNK532,UNK594,UNK223,UNK387,UNK39,UNK125,UNK166,UNK386,UNK323,UNK380,UNK104,UNK43,UNK431,UNK23,UNK265,UNK586,UNK363,UNK217,UNK686,UNK295,UNK442,UNK302,UNK666,UNK508,UNK716,UNK6,UNK65,UNK544,UNK555,UNK116,UNK266,UNK224,UNK84,UNK557,UNK225,UNK231,UNK371,UNK745,UNK251,UNK648,UNK357,UNK349,UNK418,UNK69,UNK589,UNK162,UNK97,UNK725,UNK750,UNK481,UNK456,UNK281,UNK238,UNK301,UNK294,UNK560,UNK449,UNK287,UNK206,UNK485,UNK509,UNK261,UNK308,UNK550,UNK734,UNK584,UNK657,UNK677,UNK88,UNK175,UNK569,UNK538,UNK642,UNK669,UNK179,UNK291,UNK672,UNK283,UNK7,UNK553,UNK390,UNK506,UNK366,UNK93,UNK421,UNK327,UNK601,UNK492,UNK479,UNK614,UNK140,UNK489,UNK399,UNK736,UNK330,UNK710,UNK346,UNK416,UNK698,UNK2,UNK165,UNK493,UNK609,UNK403,UNK362,UNK72,UNK471,UNK460,UNK743,UNK658,UNK40,UNK110,UNK235,UNK581,UNK728,UNK593,UNK31,UNK478,UNK134,UNK419,UNK705,UNK89,UNK169,UNK620,UNK173,UNK551,UNK545,UNK376,UNK311,UNK404,UNK273,UNK632,UNK729,UNK304,UNK407,UNK292,UNK480,UNK533,UNK121,UNK541,UNK525,UNK161,UNK437,UNK701,UNK55,UNK211,UNK222,UNK588,UNK452,UNK246,UNK744,UNK233,UNK32,UNK675,UNK136,UNK415,UNK365,UNK232,UNK598,UNK388,UNK424,UNK615,UNK443,UNK262,UNK398,UNK155,UNK483,UNK79,UNK141,UNK733,UNK249,UNK300,UNK767,UNK516,UNK405,UNK15,UNK20,UNK693,UNK477,UNK435,UNK707,UNK199,UNK280,UNK361,UNK289,UNK513,UNK764,UNK200,UNK372,UNK440,UNK676,UNK98,UNK277,UNK290,UNK685,UNK163,UNK25,UNK451,UNK188,UNK105,UNK133,UNK486,UNK730,UNK455,UNK28,UNK369,UNK368,UNK358,UNK568,UNK274,UNK286,UNK436,UNK306,UNK332,UNK241,UNK500,UNK552,UNK426,UNK193,UNK282,UNK183,UNK373,UNK587,UNK340,UNK168,UNK429,UNK417,UNK505,UNK611,UNK656,UNK457,UNK563,UNK719,UNK203,UNK243,UNK74,UNK684,UNK68,UNK158,UNK608,UNK498,UNK406,UNK315,UNK394,UNK157,UNK156,UNK655,UNK636,UNK102,UNK682,UNK242,UNK654,UNK18,UNK464,UNK582,UNK395,UNK695,UNK665,UNK524,UNK537,UNK575,UNK592,UNK189,UNK397,UNK401,UNK472,UNK438,UNK187,UNK732,UNK146,UNK413,UNK637,UNK47,UNK619,UNK137,UNK21,UNK748,UNK348,UNK638,UNK44,UNK309,UNK184,UNK180,UNK326,UNK142,UNK264,UNK567,UNK109,UNK453,UNK328,UNK152,UNK60,UNK470,UNK57,UNK385,UNK255,UNK198,UNK278,UNK606,UNK150,UNK473,UNK475,UNK766,UNK143,UNK11,UNK37,UNK755,UNK338,UNK194,UNK704,UNK411,UNK81,UNK16,UNK226,UNK635,UNK410,UNK585,UNK484,UNK59,UNK425,UNK612,UNK46,UNK313,UNK624,UNK561,UNK663,UNK739,UNK111,UNK228,UNK144,UNK87,UNK298,UNK735,UNK757,UNK522,UNK353,UNK630,UNK616,UNK75,UNK374,UNK122,UNK42,UNK574,UNK275,UNK629,UNK27,UNK738,UNK257,UNK692,UNK29,UNK197,UNK396,UNK174,UNK145,UNK765,UNK321,UNK724,UNK652,UNK610,UNK213,UNK333,UNK591,UNK339,UNK430,UNK570,UNK82,UNK465,UNK668,UNK113,UNK236,UNK448,UNK324,UNK66,UNK160,UNK670,UNK171,UNK244,UNK320,UNK76,UNK647,UNK521,UNK128,UNK674,UNK494,UNK623,UNK490,UNK762,UNK62,UNK38,UNK502,UNK680,UNK94,UNK529,UNK13,UNK234,UNK649,UNK350,UNK526,UNK441,UNK297,UNK279,UNK718,UNK344,UNK329,UNK115,UNK86,UNK746,UNK347,UNK341,UNK703,UNK112,UNK554,UNK547,UNK711,UNK596,UNK412,UNK214,UNK204,UNK296,UNK377,UNK70,UNK100,UNK597,UNK428,UNK422,UNK19,UNK491,UNK454,UNK409,UNK250,UNK30,UNK220,UNK689,UNK687,UNK583,UNK307,UNK132,UNK149,UNK726,UNK414,UNK240,UNK383,UNK195,UNK618,UNK459,UNK753,UNK352,UNK671,UNK272,UNK667,UNK318,UNK580,UNK446,UNK768,UNK690,UNK696,UNK628,UNK331,UNK520,UNK64,UNK58,UNK546,UNK468,UNK153,UNK356,UNK51,UNK176,UNK91,UNK129,UNK640,UNK108,UNK247,UNK758,UNK135,UNK534,UNK530,UNK24,UNK139,UNK514,UNK209,UNK201,UNK210,UNK576,UNK172,UNK607,UNK579,UNK1,UNK565,UNK254,UNK562,UNK96,UNK688,UNK148,UNK159,UNK708,UNK535,UNK444,UNK613,UNK702,UNK119,UNK355,UNK80,UNK317,UNK34,UNK151,UNK103,UNK212,UNK497,UNK118,UNK182,UNK595,UNK314,UNK22,UNK336,UNK763,UNK691,UNK310,UNK95,UNK219,UNK53,UNK578,UNK599,UNK474,UNK634,UNK717,UNK605,UNK382,UNK268,UNK167,UNK639,UNK63,UNK49,UNK26,UNK205,UNK536,UNK99,UNK364,UNK741,UNK384,UNK312,UNK322,UNK408,UNK402,UNK626,UNK269,UNK345,UNK216,UNK617,UNK61,UNK622,UNK503,UNK742,UNK558,UNK722,UNK662,UNK208,UNK664,UNK50,UNK531,UNK487,UNK697,UNK694,UNK507,UNK370,UNK299,UNK334,UNK85,UNK178,UNK721,UNK170,UNK126,UNK713,UNK218,UNK335,UNK566,UNK759,UNK52,UNK185,UNK154,UNK661,UNK540,UNK267,UNK749,UNK138,UNK106,UNK381,UNK5,UNK77,UNK36,UNK590,UNK461,UNK700,UNK737,UNK751,UNK499,UNK4,UNK644,UNK515,UNK523,UNK3,UNK41,UNK462,UNK761,UNK756,UNK673,UNK83,UNK423,UNK754,UNK427,UNK633,UNK120,UNK316,UNK181,UNK604,UNK319,UNK715,UNK196,UNK645,UNK573,UNK147,UNK621,UNK354,UNK723,UNK600,UNK511,UNK239,UNK512,UNK714,UNK392,UNK221,UNK625,UNK337,UNK740,UNK720,UNK260,UNK12,UNK389,UNK284,UNK731,UNK325,UNK681,UNK646,UNK709,UNK90,UNK215,UNK577,UNK186,UNK476,UNK450,UNK519,UNK259,UNK571,UNK643,UNK229,UNK434,UNK293,UNK572,UNK263,UNK35,UNK10,UNK391,UNK270,UNK48,UNK659,UNK603,UNK393,UNK727,UNK45,UNK747,UNK482,UNK517,UNK164,UNK518,UNK192,UNK107,UNK556,UNK360,UNK510,UNK559,UNK54,UNK271,UNK548,UNK67,UNK73,UNK130,UNK92,UNK699,UNK447,UNK101,UNK375,UNK117,UNK248,UNK9,UNK549,UNK678,UNK432,UNK131,UNK527,UNK495,UNK488,UNK367,UNK227,UNK528,UNK114,UNK256,UNK712,UNK343,UNK458,UNK379,UNK285,UNK501,UNK504,UNK14,UNK177,UNK305,UNK191,UNK543,UNK445,UNK653,UNK351,UNK752,UNK496,UNK359,UNK539,UNK303,UNK469,UNK760,UNK439,UNK650,UNK420,UNK17,UNK56,UNK123,UNK253,UNK679,UNK8,UNK660,UNK631,UNK258,UNK706,UNK467,UNK342,UNK252,UNK683,UNK463";"1X01_NO_SILK";768;"";;;
2;"U$206,U$986,U$1571,U$1064,U$1103,U$245,U$830,U$1025,U$479,U$557,U$50,U$1532,U$1766,U$596,U$1493,U$791,U$1259,U$1298,U$167,U$1727,U$713,U$128,U$947,U$752,U$362,U$323,U$1454,U$89,U$1376,U$635,U$440,U$1649,U$401,U$1220,U$1688,U$12,U$908,U$1610,U$1415,U$518,U$1844,U$869,U$1805,U$1181,U$284,U$1142,U$674,U$1337,U$1199,U$1004,U$809,U$1706,U$1355,U$1316,U$1589,U$887,U$224,U$965,U$614,U$770,U$263,U$692,U$1238,U$419,U$107,U$1082,U$458,U$146,U$185,U$1745,U$1472,U$731,U$1394,U$1823,U$926,U$1511,U$653,U$1121,U$1862,U$302,U$848,U$497,U$380,U$1277,U$536,U$1160,U$341,U$1043,U$31,U$1784,U$1628,U$575,U$1433,U$1667,U$1550,U$68";"#CIPO#0";96;"";;;
3;"U$1851,U$720,U$1110,U$1656,U$291,U$213,U$759,U$1149,U$1071,U$837,U$1461,U$1812,U$1539,U$369,U$1422,U$330,U$1734,U$1266,U$135,U$1227,U$1188,U$252,U$954,U$486,U$993,U$1383,U$96,U$447,U$525,U$798,U$876,U$642,U$1695,U$1500,U$174,U$1305,U$1344,U$1578,U$915,U$564,U$681,U$9,U$1773,U$408,U$1032,U$57,U$603,U$1617,U$932,U$1283,U$1712,U$1790,U$1595,U$425,U$1205,U$386,U$659,U$1634,U$581,U$1244,U$503,U$815,U$1439,U$230,U$1556,U$1361,U$152,U$776,U$1829,U$1517,U$893,U$464,U$74,U$1322,U$1127,U$1478,U$347,U$1049,U$1400,U$737,U$971,U$1751,U$854,U$542,U$1166,U$113,U$38,U$1868,U$308,U$191,U$1010,U$269,U$1088,U$620,U$1673,U$698";"#SCL#0";96;"";;;
4;"J34,J15,J40,J22,J2,J41,J20,J11,J12,J42,J35,J6,J25,J47,J30,J38,J13,J31,J5,J18,J9,J45,J27,J23,J19,J21,J14,J46,J10,J37,J44,J32,J33,J29,J7,J39,J26,J1,J28,J24,J36,J17,J8,J43,J48,J3,J16,J4";"JST04_1MM_RA";48;"QWIIC_RIGHT_ANGLE";;;
5;"U$3,U$1523,U$1679,U$353,U$587,U$1172,U$1484,U$548,U$821,U$1757,U$704,U$1562,U$860,U$509,U$1718,U$41,U$665,U$1835,U$1094,U$977,U$1016,U$1406,U$1445,U$899,U$431,U$80,U$119,U$158,U$470,U$743,U$938,U$1250,U$626,U$1367,U$197,U$1796,U$1289,U$1055,U$275,U$1328,U$1211,U$236,U$782,U$1601,U$1640,U$392,U$1133,U$314,U$332,U$605,U$410,U$449,U$1034,U$1307,U$1385,U$1424,U$761,U$1736,U$917,U$1346,U$488,U$1112,U$566,U$839,U$1619,U$59,U$878,U$800,U$527,U$1775,U$1229,U$1268,U$644,U$176,U$1658,U$1697,U$1814,U$1541,U$1502,U$293,U$1463,U$1073,U$371,U$1151,U$98,U$1580,U$1853,U$254,U$215,U$137,U$683,U$956,U$722,U$1190,U$995,U$22";"#V_USB#0";96;"";;;
6;"FD135,FD157,FD69,FD91,FD149,FD25,FD47,FD187,FD159,FD125,FD185,FD143,FD23,FD153,FD175,FD167,FD115,FD59,FD7,FD179,FD97,FD145,FD41,FD57,FD137,FD191,FD151,FD181,FD39,FD1,FD121,FD17,FD163,FD9,FD27,FD29,FD95,FD105,FD53,FD81,FD31,FD67,FD171,FD45,FD3,FD73,FD51,FD5,FD21,FD99,FD141,FD113,FD139,FD147,FD107,FD109,FD79,FD173,FD75,FD111,FD19,FD61,FD43,FD189,FD165,FD33,FD161,FD117,FD133,FD15,FD123,FD71,FD11,FD65,FD63,FD129,FD35,FD87,FD183,FD77,FD85,FD119,FD131,FD127,FD93,FD89,FD155,FD101,FD55,FD103,FD37,FD13,FD177,FD49,FD169,FD83,FD30,FD184,FD66,FD178,FD46,FD84,FD90,FD180,FD130,FD52,FD96,FD88,FD126,FD118,FD188,FD174,FD18,FD114,FD76,FD42,FD186,FD34,FD44,FD40,FD72,FD64,FD8,FD124,FD14,FD98,FD168,FD190,FD150,FD144,FD26,FD182,FD92,FD94,FD116,FD36,FD82,FD170,FD48,FD16,FD50,FD136,FD162,FD104,FD74,FD176,FD166,FD78,FD68,FD108,FD122,FD20,FD24,FD160,FD2,FD58,FD80,FD120,FD22,FD172,FD112,FD4,FD28,FD132,FD134,FD38,FD32,FD164,FD54,FD138,FD128,FD56,FD62,FD60,FD154,FD110,FD106,FD100,FD142,FD152,FD70,FD158,FD192,FD10,FD12,FD86,FD156,FD146,FD102,FD148,FD6,FD140";"FIDUCIAL-MICRO";192;"FIDUCIALUFIDUCIAL";;;
7;"U$1492,U$244,U$985,U$1414,U$11,U$205,U$1297,U$907,U$1375,U$1609,U$1063,U$1843,U$673,U$556,U$1219,U$88,U$1570,U$1453,U$49,U$1804,U$751,U$1687,U$166,U$1258,U$283,U$127,U$1531,U$1765,U$1102,U$322,U$595,U$829,U$946,U$1141,U$517,U$1024,U$478,U$1726,U$712,U$790,U$1336,U$634,U$868,U$400,U$1648,U$439,U$361,U$1180,U$535,U$730,U$145,U$847,U$1744,U$652,U$769,U$1120,U$1393,U$1471,U$1159,U$379,U$30,U$1003,U$1042,U$808,U$496,U$1822,U$613,U$1237,U$964,U$418,U$340,U$691,U$262,U$1354,U$106,U$223,U$1549,U$1666,U$1510,U$886,U$1627,U$1588,U$1198,U$1432,U$574,U$1705,U$301,U$1081,U$457,U$925,U$1276,U$67,U$1315,U$1783,U$1861,U$184";"#SDA#0";96;"";;;
8;"R92,R21,R16,R43,R77,R39,R12,R73,R48,R80,R32,R47,R81,R96,R6,R68,R30,R91,R58,R78,R86,R64,R51,R38,R90,R4,R57,R60,R41,R85,R20,R3,R10,R11,R26,R28,R34,R42,R56,R50,R95,R67,R62,R65,R55,R1,R70,R23,R52,R93,R36,R94,R59,R61,R7,R19,R37,R84,R40,R45,R25,R17,R27,R69,R35,R83,R33,R74,R75,R89,R5,R63,R24,R71,R2,R31,R29,R53,R54,R88,R13,R79,R76,R49,R22,R44,R18,R72,R9,R14,R66,R8,R46,R87,R15,R82";"0603";96;"2.2k";;;
9;"U$636,U$987,U$1338,U$90,U$1455,U$1299,U$831,U$1806,U$753,U$948,U$1767,U$1104,U$324,U$1065,U$1260,U$285,U$1689,U$1026,U$207,U$51,U$558,U$363,U$1377,U$480,U$909,U$14,U$714,U$1611,U$597,U$246,U$792,U$129,U$1845,U$1221,U$870,U$402,U$519,U$1533,U$1650,U$1143,U$675,U$1572,U$1728,U$168,U$441,U$1182,U$1416,U$1494,U$264,U$1200,U$342,U$732,U$108,U$1551,U$1746,U$1395,U$1278,U$771,U$225,U$537,U$303,U$1356,U$1161,U$1512,U$69,U$1785,U$1707,U$1590,U$927,U$888,U$654,U$693,U$1083,U$615,U$1629,U$498,U$1668,U$420,U$1122,U$1044,U$1239,U$186,U$1473,U$849,U$1863,U$1317,U$966,U$381,U$1005,U$32,U$810,U$1824,U$147,U$1434,U$576,U$459";"#GPIO1#0";96;"";;;
10;"OUT29,OUT35,OUT18,OUT24,OUT39,OUT9,OUT27,OUT34,OUT42,OUT20,OUT38,OUT3,OUT15,OUT47,OUT28,OUT26,OUT30,OUT13,OUT36,OUT37,OUT0,OUT2,OUT5,OUT1,OUT46,OUT19,OUT33,OUT41,OUT10,OUT8,OUT16,OUT6,OUT32,OUT21,OUT31,OUT7,OUT14,OUT11,OUT4,OUT25,OUT40,OUT45,OUT43,OUT44,OUT22,OUT23,OUT12,OUT17";"FPC_16_0.5MM";48;"";;;
