"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R6,R51,R123,R103,R4,R2,R92,R132,R99,R64,R128,R11,R91,R30,R107,R35,R52,R65,R48,R124,R94,R82,R98,R127,R24,R25,R18,R31,R108,R85,R115,R59,R56,R90,R116,R93,R17,R54,R55,R86,R88,R73,R119,R36,R58,R21,R5,R89,R69,R81,R53,R87,R133,R104,R120,R122,R126,R22,R23,R20,R40,R70,R125,R3,R26,R57,R47,R39,R19,R74,R60,R121";"0603";72;"33";;;
2;"J8,J39,J20,J30,J7,J19,J29,J40";"1X06_NO_SILK";8;"";;;
3;"U$289,U$13,U$133,U$211,U$210,U$132,U$288,U$9";"#SCL#0";8;"";;;
4;"C43,C11,C22,C35,C44,C5,C21,C24,C32,C13,C10,C33";"0603";12;"0.1uF";;;
5;"J32,J12,J4,J21,J31,J22,J2,J11";"JST04_1MM_RA";8;"Qwiic Right Angle";;;
6;"U10,U1,U14,U6";"NEO-M9N_M8T_M8U_D9S";4;"U-BLOX_NEO-D9S-00B";;;
7;"JP3,JP61,JP19,JP20,JP12,JP4,JP11,JP21,JP5,JP6,JP22,JP23,JP14,JP71,JP13,JP81";"MICRO-FIDUCIAL";16;"FIDUCIALUFIDUCIAL";;;
8;"C39,C38,C16,C27,C3,C4,C42,C9,C36,C17,C30,C28,C20,C19,C34,C41,C2,C25,C31,C23,C14,C6,C12,C8";"0603";24;"1.0uF";;;
9;"U$259,U$181,U$18,U$103";"#GEO#0";4;"";;;
10;"J6,J26,J3,J13,J36,J33,J23,J16";"USB-C-16P_4LAYER-PADS";8;"USB Female Type C Connector";;;
11;"R72,R105,R38,R37,R106,R8,R71,R7";"0603";8;"2.2k";;;
12;"U$166,U$176,U$98,U$244,U$254,U$56,U$22,U$88,U$23,U$89,U$245,U$167";"#3V3#0";12;"";;;
13;"U$291,U$213,U$30,U$135,U$15,U$134,U$290,U$212";"#SCL#1";8;"";;;
14;"J18,J27,J9,J28,J38,J10,J37,J17";"1X04_NO_SILK";8;"";;;
15;"U$201,U$123,U$60,U$279,U$280,U$202,U$61,U$124";"#TX1#2";8;"";;;
16;"R33,R13,R34,R45,R79,R136,R46,R113,R67,R101,R12,R114,R102,R80,R68,R135";"0603";16;"5.1k";;;
17;"U$275,U$197,U$49,U$119,U$276,U$198,U$120,U$50";"#RX1#2";8;"";;;
18;"FB4,FB3,FB1,FB2";"0603";4;"30Ω/1.8A";;;
19;"R10,R117,R77,R50,R111,R43,R83,R42,R9,R118,R49,R84,R76,R16,R15,R110";"0603";16;"27";;;
20;"U$47,U$172,U$94,U$250";"#EXT_INT#0";4;"";;;
21;"R62,R63,R130,R1,R41,R75,R109,R28,R27,R61,R29,R131,R95,R129,R96,R97";"0603";16;"1k";;;
22;"LED6,LED12,LED11,LED15,LED8,LED3,LED16,LED2,LED14,LED10,LED7,LED4";"LED-0603";12;"BLUE";;;
23;"U$191,U$113,U$39,U$269,U$40,U$270,U$136,U$292,U$214,U$114,U$192,U$31";"#TX2#0";12;"";;;
24;"U$2,U$158,U$236,U$81,U$80,U$237,U$1,U$159,U$160,U$3,U$82,U$238";"#GND#0";12;"";;;
25;"LED13,LED1,LED9,LED5";"LED-0603";4;"RED";;;
26;"L1,L3,L2,L4";"0603_NO-CREAM";4;"DNP";;;
27;"J14,J34,J1,J24";"SMA-EDGE";4;"ANTENNA-SMA-GROUNDEDEDGE_SMA";;;
28;"JP1,JP91,JP2,JP41,JP101,JP17,JP10,JP24,JP18,JP25,JP7,JP15,JP8,JP9,JP31,JP16";"STAND-OFF";16;"STAND-OFF";;;
29;"BT3,BT1,BT4,BT2";"MS421R_IV03E";4;"RELOWABLE_BATTERY_MS421R";;;
30;"C1,C40,C29,C26,C15,C7,C37,C18";"0603";8;"47pF";;;
31;"R100,R32,R134,R66";"0603";4;"3.3k";;;
32;"LOGO3,LOGO8,LOGO6,LOGO1,LOGO2,LOGO4,LOGO7,LOGO5";"OSHW-LOGO-S";8;"OSHW-LOGOS";;;
33;"U$170,U$248,U$45,U$92";"##RESET##0";4;"";;;
34;"U$121,U$277,U$51,U$199,U$122,U$200,U$278,U$57";"#TX1#0";8;"";;;
35;"U9,U5,U13,U2";"SOT23-5";4;"3.3V";;;
36;"!SAFEBOOT_NEO!0,!SAFEBOOT_ZED!0,!SAFEBOOT_NEO!1,!SAFEBOOT_ZED!1,!SAFEBOOT_ZED!3,!SAFEBOOT_ZED!2,!SAFEBOOT_NEO!2,!SAFEBOOT_NEO!3";"1X01_NO_SILK";8;"TEST-POINTPOGO_PTH";;;
37;"D19,D22,D7,D16,D10,D4,D2,D13";"SOT886";8;"PRTR5V0U2F";;;
38;"D14,D1,D20,D8";"0402";4;"PESD0402-0402";;;
39;"U$109,U$34,U$187,U$265,U$110,U$137,U$293,U$266,U$188,U$215,U$32,U$35";"#RX2#0";12;"";;;
40;"U$219,U$297,U$141,U$66";"NEO#D9S10";4;"";;;
41;"U$65,U$139,U$295,U$217";"ZED#F9P10";4;"";;;
42;"D5,D6,D24,D23,D11,D17,D12,D18";"SOD-323";8;"1A/23V/620mV";;;
43;"U$175,U$235,U$97,U$157,U$14,U$79,U$253,U$38";"QWIIC_4MM";8;"";;;
44;"U$242,U$164,U$20,U$86";"#5V#0";4;"";;;
45;"R78,R44,R112,R14";"0603";4;"10";;;
46;"U$36,U$111,U$267,U$189,U$190,U$37,U$268,U$112";"#RX2#3";8;"";;;
47;"U$153,U$309,U$75,U$231";"ZED#F9P_NEO#D9S_COMBO_BREAKOUT0";4;"";;;
48;"U15,U3,U11,U7";"PD0922J5050S2HF_ANA";4;"POWER-DIVIDER";;;
49;"U$239,U$4,U$83,U$161,U$240,U$241,U$6,U$5,U$163,U$85,U$84,U$162";"#GND#1";12;"";;;
50;"D9,D21,D15,D3";"SOD-323";4;"0.5A/40V/420mV";;;
51;"U$155,U$311,U$77,U$233,U$156,U$312,U$78,U$234";"SPARKX-MEDIUM";8;"SPARKX-LOGO4";;;
52;"U8,U12,U4,U16";"ZED-F9P";4;"U-BLOX_ZED-F9P";;;
53;"U$91,U$247,U$169,U$25,U$225,U$168,U$90,U$70,U$303,U$24,U$246,U$147";"#3V3#4";12;"";;;
54;"U$28,U$107,U$185,U$263";"#TX_RDY#0";4;"";;;
55;"U$100,U$178,U$256,U$59";"#ANT_PWR#1";4;"";;;
