"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R15,R19,R17,R13,R11,R10,R9,R6,R5,R4,R1,R23,R24";"R_0603";13;"5k";;;
2;"RV10,RV2";"ST-4";2;"v5k";;;
3;"RV9,RV8,RV7,RV6,RV5,RV4,RV3,RV1";"ST-4";8;"v10k";;;
4;"U6,U5,U4,U3,U2,U1";"SOT-23-5";6;"MCP601";;;
5;"R22,R20,R18,R16,R14";"R_0603";5;"470R";;;
6;"R21,R8,R7,R3,R2,R12";"R_0603";6;"10k";;;
7;"Q3,Q2,Q1";"SOT-23";3;"BC550";;;
8;"P12,P11,P9,P5";"Pin_Header_Straight_1x03";4;"CONN_01X03";;;
9;"P3";"2013499-1";1;"USB_OTG";;;
10;"D3,D2,D1";"LED_0603";3;"LED";;;
11;"C6,C5,C3,C2";"C_0603";4;"0.1 uF";;;
12;"C4,C1";"C_0603";2;"1 uF";;;
13;"P1,P2,P6,P7,P8,P10,P4,P13";"Pin_Header_Straight_2x02";8;"CONN_02X02";;;
