"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"SOT23GDS";1;"2N7002";;;
2;"R1,R2,R3,R4";"R0603F";4;"10k";;;
3;"VAL";"CE_5mm";1;"CE_5mm";;;
4;"VAL";"WEEE_7mm";1;"WEEE_7mm";;;
5;"G***";"Logo_31x31";1;"LOGO";;;
6;"RP2,RP1";"4X0402";2;"82";;;
7;"U2";"TSSOP20";1;"74AHC244";;;
8;"C1,C3";"C0805E";2;"10uF";;;
9;"C2,C4";"C0603F";2;"1uF";;;
10;"CP1,CP2";"4X0402";2;"220pF";;;
11;"P1";"CON-SENSOR2";1;"Port A";;;
12;"P5";"CON-SENSOR2";1;"Port B";;;
13;"U3,U4,U5,U6";"DRILL_NP";4;"DRILL";;;
14;"C5";"C0603F";1;"100nF";;;
15;"P2";"pin_array_1x5-P2mm_D1mm";1;"CONN_01X05";;;
16;"P3";"pin_array_1x2-P2mm_D1mm";1;"CONN_01X02";;;
17;"P4";"pin_array_1x3-P2mm_D1mm";1;"CONN_01X03";;;
18;"R5,R6";"R0603F";2;"100";;;
19;"RP3";"4X0402";1;"100k";;;
20;"U1";"SOT-223";1;"LD1117";;;
