"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U101";"QFN24-4x4mm-0.5mm";1;"XMC1100-16";;;
2;"G***";"Logo_31x31";1;"Logo_31x31";;;
3;"P102";"DEBUG_PAD";1;"DEBUG";;;
4;"P103";"SolderJumper";1;"BOOT";;;
5;"Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";2;"VAL**";;;
6;"U102";"DFN6-30x30_humidity";1;"HDC1080";;;
7;"C101";"C0805";1;"10uF";;;
8;"C102";"C0402F";1;"220pF";;;
9;"C103";"C0603F";1;"1uF";;;
10;"C104,C105";"C0603F";2;"100nF";;;
11;"D101";"D0603F";1;"blue";;;
12;"P101";"CON-SENSOR2";1;"CON-SENSOR2";;;
13;"R101";"R0603F";1;"1k";;;
14;"RP101";"4X0402";1;"82";;;
15;"RP102";"0603X4";1;"4k7";;;
16;"U103,U104,U105,U106";"DRILL_NP";4;"DRILL";;;
17;"G***";"Logo_CoMCU";1;"LOGO";;;
18;"G***";"WEEE_7mm";1;"LOGO";;;
19;"VAL";"CE_5mm";1;"CE_5mm";;;
