"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C11,C2,C4,C6";"0603";5;"100nF";;;
2;"C10,C8";"0603";2;"1µF";;;
3;"P1";"CON-SENSOR";1;"CON-SENSOR";;;
4;"R1";"0603";1;"390k";;;
5;"U1";"SOIC8";1;"M24C64";;;
6;"U4,U5,U6,U7";"DRILL_NP";4;"DRILL";;;
7;"G***";"WEEE_7mm";1;"LOGO";;;
8;"VAL";"CE_5mm";1;"CE_5mm";;;
9;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
10;"G***";"Logo_31x31m";1;"LOGO";;;
11;"RP1";"0603X4";1;"220";;;
12;"C3,C5,C7";"0805";3;"4.7µF/25V";;;
13;"C9";"0805";1;"10µF";;;
14;"U2";"SC70-5";1;"SNGL_NAND";;;
15;"U3";"OLED066";1;"OLED066";;;
