"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN24-4x4mm-0.5mm";1;"XMC1100";;;
2;"RP2";"4X0603";1;"2k2";;;
3;"RP1";"4X0402";1;"82";;;
4;"R1";"R0603F";1;"1k";;;
5;"P3";"SolderJumper";1;"Boot";;;
6;"P2";"DEBUG_PAD";1;"Debug";;;
7;"P1";"CON-SENSOR2";1;"CON-SENSOR";;;
8;"D1";"D0603F";1;"blue";;;
9;"C6,C5,C4,C3";"C0603F";4;"100nF";;;
10;"C2";"C0805E";1;"10uF";;;
11;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
12;"VAL";"CE_5mm";1;"CE_5mm";;;
13;"G***";"Logo_31x31";1;"Logo_31x31";;;
14;"U3,U6,U5,U4";"DRILL_NP";4;"DRILL";;;
15;"G***";"Logo_CoMCU";1;"LOGO";;;
16;"VAL";"WEEE_7mm";1;"WEEE_7mm_back";;;
17;"BT1";"BATTERY_HOLDER_2998";1;"BATTERY";;;
18;"U2";"SO-8";1;"PCF85263AT";;;
19;"X1";"AB26TRQ";1;"32.768kHz";;;
20;"C1";"C0402F";1;"220pF";;;
