"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3,U4,U5,U6";"DRILL_NP";4;"DRILL";;;
2;"G***";"Logo_31x31";1;"Logo_31x31";;;
3;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
4;"C1";"C0402F";1;"220pF";;;
5;"C3";"C0805";1;"10uF";;;
6;"C4";"C0603F";1;"1uF";;;
7;"C5";"C0603F";1;"100nF";;;
8;"D1";"D0603F";1;"blue";;;
9;"D2";"PLCC6-RGB";1;"QBLP679E-RGB";;;
10;"P1";"CON-SENSOR2";1;"CON-SENSOR2";;;
11;"P2";"DEBUG_PAD";1;"DEBUG";;;
12;"P3";"SolderJumper";1;"BOOT";;;
13;"R1";"R0603F";1;"91";;;
14;"R2";"R0603F";1;"68";;;
15;"R3";"R0603F";1;"1k";;;
16;"R4";"R0603F";1;"22";;;
17;"RP1";"4X0402";1;"82";;;
18;"U1";"QFN24-4x4mm-0.5mm";1;"XMC1100";;;
19;"G***";"Logo_CoMCU";1;"LOGO";;;
20;"VAL";"WEEE_7mm";1;"WEEE_7mm";;;
21;"VAL";"CE_5mm";1;"CE_5mm";;;
