"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOP20";1;"TM1637";;;
2;"U8";"SOIC8";1;"PCA9306D";;;
3;"U1";"QFN24-4x4mm-0.5mm";1;"XMC1100";;;
4;"RP1";"4X0402";1;"82";;;
5;"R2";"R0603F";1;"200k";;;
6;"R1";"R0603F";1;"1k";;;
7;"P3";"SolderJumper";1;"BOOT";;;
8;"P2";"DEBUG_PAD";1;"DEBUG";;;
9;"P1";"CON-SENSOR2";1;"CON-SENSOR2";;;
10;"D1";"D0603F";1;"blue";;;
11;"C8,C7,C5";"C0603F";3;"100nF";;;
12;"C6";"C0603F";1;"1uF";;;
13;"C4";"C0805";1;"10uF";;;
14;"C3,C1";"C0603F";2;"1nF";;;
15;"C2";"C0402F";1;"220pF";;;
16;"U3";"SEGMENT_4X7";1;"SEGMENT_4X7";;;
17;"U4,U6,U5,U7";"DRILL_NP";4;"DRILL";;;
18;"G***";"Logo_31x31";1;"Logo_31x31";;;
19;"VAL";"WEEE_7mm";1;"WEEE_7mm";;;
20;"VAL";"CE_5mm";1;"CE_5mm";;;
21;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
22;"G***";"Logo_CoMCU";1;"LOGO";;;
23;"RP3,RP2";"4X0402";2;"2k2";;;
