"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C12";"C0805";2;"10uF";;;
2;"C2";"C0603F";1;"1uF";;;
3;"C4,C5,C3";"C0603F";3;"100nF";;;
4;"C6";"C0603F";1;"220nF";;;
5;"C7";"C0402F";1;"220pF";;;
6;"C10,C11";"C0603";2;"100nF";;;
7;"D1";"SOD-123";1;"Z12V";;;
8;"D3";"D0603E";1;"blue";;;
9;"P1";"CON-SENSOR2";1;"CON-SENSOR2";;;
10;"P2";"SolderJumper";1;"BOOT";;;
11;"P3";"DEBUG_PAD";1;"DEBUG";;;
12;"Q1";"SOIC-8-MOSFET";1;"FDS8449";;;
13;"R1,R3";"R0603F";2;"1k";;;
14;"R2";"R0603F";1;"10k";;;
15;"R16";"R0603F";1;"100k";;;
16;"RP1";"4X0402";1;"82";;;
17;"U2,U3,U5,U4";"DRILL_NP";4;"DRILL";;;
18;"U8,U9";"pin_array_5x3";2;"Con_Servo_5x";;;
19;"P4";"OQ_2P";1;"black";;;
20;"R7,R4,R8,R6,R5,R10,R13,R11,R12,R9";"R0805E";10;"0R1";;;
21;"U6,U7";"TSSOP20";2;"74HC245";;;
22;"U1";"QFN48-EP2";1;"XMC1404";;;
23;"C8,C9";"C0603F";2;"10pF";;;
24;"X1";"CRYSTAL_3225";1;"16MHz";;;
25;"G***";"Logo_31x31";1;"LOGO";;;
26;"VAL";"CE_5mm";1;"CE_5mm";;;
27;"G***";"Logo_CoMCU";1;"LOGO";;;
28;"VAL";"WEEE_7mm";1;"WEEE_7mm";;;
