"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
2;"VAL";"CE_5mm";1;"CE_5mm";;;
3;"VAL";"WEEE_7mm";1;"WEEE_7mm";;;
4;"G***";"Logo_CoMCU";1;"LOGO";;;
5;"G***";"Logo_31x31";1;"LOGO";;;
6;"R18,R17";"R0402F";2;"10K";;;
7;"R16,R1";"R0402F";2;"100";;;
8;"P6";"JST-PH-3-THT";1;"CONN_01X03";;;
9;"C30,C29,C1";"C0805";3;"10uF";;;
10;"D3";"D0603F";1;"blue";;;
11;"C10,C27,C26,C18";"C0402F";4;"100nF";;;
12;"D1";"SOD-123";1;"Z12V";;;
13;"P5";"OQ_4P";1;"green";;;
14;"R13,R12";"R1206E";2;"0.12/0.5W";;;
15;"R11";"R0402F";1;"560";;;
16;"R10";"R0402F";1;"3.9k";;;
17;"R9,R6,R4";"R0402F";3;"1k";;;
18;"R8";"R0402F";1;"2R2";;;
19;"R7";"R0402F";1;"220";;;
20;"R5";"R0603F";1;"FB";;;
21;"R3";"R0402F";1;"15k";;;
22;"R2";"R0402F";1;"100k";;;
23;"C25,C23,C21,C19";"C0603F";4;"470pF/100V";;;
24;"C24";"C1206E";1;"4.7µF/50V";;;
25;"C22,C20,C17,C15";"C0603F";4;"100nF/50V";;;
26;"C16";"C0603F";1;"22nF/50V-low";;;
27;"C13";"C0603F";1;"4.7µF";;;
28;"C12";"C0402F";1;"470nF";;;
29;"C2";"C0603F";1;"1uF";;;
30;"C3,C4,C5,C14";"C0603F";4;"100nF";;;
31;"C6";"C0603F";1;"220nF";;;
32;"C7";"C0402F";1;"220pF";;;
33;"C8,C9";"C0603F";2;"10pF";;;
34;"C11";"ELKO_103";1;"330µF/50V";;;
35;"P1";"CON-SENSOR2";1;"CON-SENSOR2";;;
36;"P2";"SolderJumper";1;"BOOT";;;
37;"P3";"DEBUG_PAD";1;"DEBUG";;;
38;"P4";"OQ_2P";1;"black";;;
39;"Q1";"SOIC-8-MOSFET";1;"AO4438";;;
40;"RP1";"4X0402";1;"82";;;
41;"RP2";"4X0402";1;"220";;;
42;"U1";"QFN48-EP2";1;"XMC1404";;;
43;"U2,U3,U4,U5";"DRILL_NP";4;"DRILL";;;
44;"U6";"QFN36_5X6";1;"TMC2130";;;
45;"X1";"CRYSTAL_3225";1;"16MHz";;;
46;"C28";"C0603F";1;"DNP";;;
47;"R14";"R0603F";1;"470";;;
48;"R15";"R0603F";1;"0";;;
49;"D2";"D0603F";1;"red";;;
50;"RP3";"4X0603";1;"1k";;;
