"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C103,C204,C205,C206,C208,C210,C211,C212,C215,C216,C101,C202";"0603E";12;"100nF";;;
2;"C104,C105";"0603E";2;"DNP";;;
3;"C106,C107,C108,C109,C209";"0603E";5;"1µF";;;
4;"C203,C214,C220,C221";"0603E";4;"4.7µF";;;
5;"C207,C218,C219";"0603E";3;"2.2µF";;;
6;"L101,L102";"0603E";2;"INDUCT";;;
7;"R101,R102";"0603E";2;"10k";;;
8;"R103";"0603E";1;"100k";;;
9;"R201,R202";"0603E";2;"27";;;
10;"R203";"0603E";1;"1R0";;;
11;"U101";"LQFP64";1;"AT91SAM3SXB";;;
12;"BT201";"JST-PH-SM4-2";1;"BATTERY";;;
13;"C213,C217,C201";"0805E";3;"10µF";;;
14;"F201";"1206E";1;"PTC";;;
15;"FILTER101";"DFN16-33x135";1;"Filter-8x";;;
16;"J201";"USB-MINI-B-SMD";1;"USB-MINI-B-SMD";;;
17;"L203,L201";"0603E";2;"FB";;;
18;"L204";"0805E";1;"LBR2012T100K";;;
19;"L205";"0805E";1;"1µH";;;
20;"L206";"0805E";1;"4.7µH";;;
21;"Q101";"SOT23GDS";1;"NTR2101P";;;
22;"R204";"0603E";1;"3.24k";;;
23;"R205";"0603E";1;"470k";;;
24;"R206";"0603E";1;"1M";;;
25;"RP101,RP102";"0603X4";2;"4k7";;;
26;"U203";"TSOT-25";1;"PAM2301";;;
27;"U204";"UMLP_22";1;"FAN4860";;;
28;"X101";"CRYSTAL_3225";1;"16MHz";;;
29;"L202";"WE-CNSW-0603";1;"744230900";;;
30;"U102";"ESP8266_WROOM02";1;"ESP8266_WROOM02";;;
31;"U103";"SOIC8";1;"M24C64";;;
32;"U201";"SOT563-SPEC";1;"82400152";;;
33;"U202";"SC70JW-8";1;"AAT3681A";;;
34;"U104,U105,U106,U107";"DRILL_NP";4;"DRILL";;;
35;"C102";"ELKO_63";1;"TBD";;;
36;"SW101";"TACT-SWITCH";1;"ERASE";;;
37;"SW102";"TACT-SWITCH";1;"RESET";;;
38;"D101,D102";"0603E";2;"LED";;;
39;"D103";"SOD-323";1;"ESD3V3D3B-TP";;;
40;"D104";"SOD-323";1;"ESD5V0D3B-TP";;;
41;"P104";"CON-SENSOR";1;"CON-SENSOR";;;
42;"R104,R105";"0603E";2;"2k2";;;
43;"P101,P102,P103";"TSTPT";3;"CONN_1";;;
44;"G***";"Logo_31x31";1;"Logo_31x31";;;
45;"VAL";"WEEE_7mm_back";1;"WEEE_7mm_back";;;
46;"VAL";"CE_5mm";1;"CE_5mm";;;
47;"Fiducial_Mark,Fiducial_Mark,Fiducial_Mark";"Fiducial_Mark";3;"VAL**";;;
